,on,what,date,was,victoria,declared,independent,from,new,south,wales,?
on,0.9999999403953552,0.34226128458976746,0.21806180477142334,0.3909217119216919,0.17229951918125153,0.26188743114471436,0.2345636934041977,0.36926645040512085,0.31106263399124146,0.22021299600601196,0.1974547952413559,0.2714994251728058
1,-0.09574633836746216,-0.21266892552375793,-0.144832044839859,-0.2275921255350113,-0.053033240139484406,-0.13538025319576263,-0.16846491396427155,-0.06897146999835968,-0.12179357558488846,0.09002417325973511,-0.059983059763908386,-0.249979168176651
july,0.36770564317703247,0.22688010334968567,0.22159135341644287,0.40724116563796997,0.1575554460287094,0.23936812579631805,0.16873380541801453,0.18728196620941162,0.25710630416870117,0.19931505620479584,0.17968179285526276,0.2897891402244568
1851,0.0416087806224823,0.09412921965122223,0.061650969088077545,0.16452156007289886,-0.025721434503793716,0.09968219697475433,0.09317004680633545,0.027960198000073433,0.046845342963933945,-0.01635824888944626,0.05236438289284706,0.04808126762509346
",",0.49057599902153015,0.3087472915649414,0.2279704213142395,0.45456063747406006,0.2279360294342041,0.2511547803878784,0.24115799367427826,0.39760664105415344,0.36073189973831177,0.3256652057170868,0.19783782958984375,0.31091248989105225
writs,0.248369500041008,0.4133121967315674,0.2079828977584839,0.264241486787796,0.14547012746334076,0.18660597503185272,0.18818995356559753,0.2163396030664444,0.1330367624759674,0.14110733568668365,0.20951329171657562,0.2774500548839569
were,0.2774328887462616,0.22298263013362885,0.11676280200481415,0.590133786201477,0.19546319544315338,0.22894038259983063,0.19525553286075592,0.29991888999938965,0.21711495518684387,0.258012980222702,0.18159276247024536,0.17890112102031708
issued,0.2797412872314453,0.18988175690174103,0.1943538784980774,0.273990273475647,0.17983192205429077,0.3418554365634918,0.20062369108200073,0.17961321771144867,0.17297647893428802,0.11748363822698593,0.2032209038734436,0.169851616024971
for,0.36199691891670227,0.3017193675041199,0.1509818285703659,0.3863949179649353,0.18287640810012817,0.17945273220539093,0.22318588197231293,0.314039945602417,0.2700757384300232,0.17502866685390472,0.19005458056926727,0.264628142118454
the,0.5107308030128479,0.42745697498321533,0.25333094596862793,0.48711544275283813,0.2204313427209854,0.260531485080719,0.2927691638469696,0.40150508284568787,0.3845241069793701,0.3129390776157379,0.23852568864822388,0.22068053483963013
