,when,did,warsaw,become,the,center,of,the,congress,poland,?
following,0.3263498842716217,0.28040066361427307,0.10067931562662125,0.14803755283355713,0.39779382944107056,0.15569855272769928,0.3576679527759552,0.39779382944107056,0.1568595916032791,0.14026997983455658,0.1555173695087433
the,0.5091903209686279,0.34736719727516174,0.23137180507183075,0.31731709837913513,1.0,0.29064592719078064,0.733189046382904,1.0,0.27082565426826477,0.24871079623699188,0.22068053483963013
congress,0.16769059002399445,0.18929614126682281,0.22240714728832245,0.15317320823669434,0.27082565426826477,0.19577749073505402,0.2447044849395752,0.27082565426826477,1.0,0.16838981211185455,0.2020287960767746
of,0.3757161796092987,0.2513895630836487,0.19253842532634735,0.31678006052970886,0.733189046382904,0.24526838958263397,1.0,0.733189046382904,0.2447044849395752,0.26632049679756165,0.1826142966747284
vienna,0.161239892244339,0.18163874745368958,0.4835520386695862,0.19008274376392365,0.25491636991500854,0.1313963681459427,0.2354029268026352,0.25491636991500854,0.3109692335128784,0.36107030510902405,0.1090276837348938
of,0.3757161796092987,0.2513895630836487,0.19253842532634735,0.31678006052970886,0.733189046382904,0.24526838958263397,1.0,0.733189046382904,0.2447044849395752,0.26632049679756165,0.1826142966747284
1815,0.028235681354999542,-0.011616675183176994,-0.15098345279693604,0.02020140551030636,0.00013407401274889708,0.029192140325903893,-0.03185788542032242,0.00013407401274889708,-0.031380217522382736,-0.12533146142959595,0.03588240221142769
",",0.36674630641937256,0.3015086054801941,0.25300899147987366,0.29676204919815063,0.4933079481124878,0.1905742734670639,0.4946078956127167,0.4933079481124878,0.1747896373271942,0.2751549184322357,0.31091248989105225
warsaw,0.1615014374256134,0.1939365565776825,1.0,0.1807192862033844,0.23137180507183075,0.16993287205696106,0.19253842532634735,0.23137180507183075,0.22240714728832245,0.6352760195732117,0.09769917279481888
became,0.32363733649253845,0.3632316589355469,0.1935342699289322,0.6258460283279419,0.36325156688690186,0.22309988737106323,0.3638904094696045,0.36325156688690186,0.20276810228824615,0.1915486454963684,0.11374033987522125
the,0.5091903209686279,0.34736719727516174,0.23137180507183075,0.31731709837913513,1.0,0.29064592719078064,0.733189046382904,1.0,0.27082565426826477,0.24871079623699188,0.22068053483963013
centre,0.13267141580581665,0.13387377560138702,0.2525712847709656,0.09786077588796616,0.32783594727516174,0.5607178807258606,0.2769378423690796,0.32783594727516174,0.14010541141033173,0.16325384378433228,0.019365152344107628
of,0.3757161796092987,0.2513895630836487,0.19253842532634735,0.31678006052970886,0.733189046382904,0.24526838958263397,1.0,0.733189046382904,0.2447044849395752,0.26632049679756165,0.1826142966747284
the,0.5091903209686279,0.34736719727516174,0.23137180507183075,0.31731709837913513,1.0,0.29064592719078064,0.733189046382904,1.0,0.27082565426826477,0.24871079623699188,0.22068053483963013
congress,0.16769059002399445,0.18929614126682281,0.22240714728832245,0.15317320823669434,0.27082565426826477,0.19577749073505402,0.2447044849395752,0.27082565426826477,1.0,0.16838981211185455,0.2020287960767746
poland,0.1766313761472702,0.1852528303861618,0.6352760195732117,0.22288833558559418,0.24871079623699188,0.09998121857643127,0.26632049679756165,0.24871079623699188,0.16838981211185455,0.9999999403953552,0.14259830117225647
",",0.36674630641937256,0.3015086054801941,0.25300899147987366,0.29676204919815063,0.4933079481124878,0.1905742734670639,0.4946078956127167,0.4933079481124878,0.1747896373271942,0.2751549184322357,0.31091248989105225
a,0.44397395849227905,0.2552328109741211,0.19591784477233887,0.3215816617012024,0.5829201340675354,0.2640431225299835,0.5052502155303955,0.5829201340675354,0.1857503354549408,0.19834734499454498,0.23916715383529663
constitutional,0.1960805505514145,0.2400074154138565,0.1568230837583542,0.18938647210597992,0.2926941215991974,0.1657768338918686,0.3563419580459595,0.2926941215991974,0.5497737526893616,0.2087046205997467,0.2199033498764038
monarchy,0.22725696861743927,0.21432536840438843,0.12054449319839478,0.21536166965961456,0.28540515899658203,0.1457187682390213,0.3121633231639862,0.28540515899658203,0.3187345266342163,0.22576957941055298,0.22125276923179626
under,0.3172987401485443,0.20815621316432953,0.11571282148361206,0.15131238102912903,0.3348022699356079,0.17615067958831787,0.32766106724739075,0.3348022699356079,0.11883725225925446,0.15030714869499207,0.18233340978622437
a,0.44397395849227905,0.2552328109741211,0.19591784477233887,0.3215816617012024,0.5829201340675354,0.2640431225299835,0.5052502155303955,0.5829201340675354,0.1857503354549408,0.19834734499454498,0.23916715383529663
