,who,said,tesla,had,a,``,distinguished,sweetness,'',?
however,0.4020770490169525,0.5114462375640869,0.1715826392173767,0.5096299052238464,0.38150349259376526,0.035520195960998535,0.1864112913608551,0.3084079325199127,-0.049120448529720306,0.2152075469493866
",",0.3365725874900818,0.34496036171913147,0.20599327981472015,0.35487717390060425,0.427140474319458,0.09681109338998795,0.2457086145877838,0.22498975694179535,-0.037358131259679794,0.31091248989105225
when,0.48282691836357117,0.34706082940101624,0.1504557579755783,0.37526828050613403,0.44397395849227905,0.07174111902713776,0.1204124167561531,0.24432003498077393,-0.07688097655773163,0.22841128706932068
he,0.5500732064247131,0.3578285872936249,0.12373391538858414,0.43657350540161133,0.4393508732318878,0.05585138872265816,0.18920110166072845,0.16082261502742767,0.039060186594724655,0.2089974731206894
did,0.34038686752319336,0.5119821429252625,0.09757418930530548,0.540525496006012,0.2552328109741211,-0.029888948425650597,0.09719182550907135,0.187871515750885,0.01978493109345436,0.3023456633090973
engage,0.24786707758903503,0.1589767038822174,0.11251207441091537,0.1958516538143158,0.22857552766799927,0.06481461971998215,0.2743779420852661,0.283580482006073,-0.08505096286535263,0.1593245565891266
in,0.2792111933231354,0.23461468517780304,0.17097744345664978,0.385026752948761,0.539380669593811,0.04765888676047325,0.23769603669643402,0.1825987845659256,0.07432962208986282,0.20430970191955566
a,0.36608949303627014,0.31069710850715637,0.2211925983428955,0.34897568821907043,1.0,0.07272057235240936,0.21404969692230225,0.22317592799663544,0.04890415817499161,0.23916715383529663
social,0.26409217715263367,0.2202378362417221,0.15858037769794464,0.1503865122795105,0.2286769598722458,0.0685405433177948,0.24315403401851654,0.2590712010860443,0.01732291281223297,0.1615191102027893
life,0.2577245533466339,0.2719329595565796,0.07371766865253448,0.25265681743621826,0.27076753973960876,0.020149845629930496,0.23557037115097046,0.20427268743515015,-0.05567263066768646,0.21677987277507782
",",0.3365725874900818,0.34496036171913147,0.20599327981472015,0.35487717390060425,0.427140474319458,0.09681109338998795,0.2457086145877838,0.22498975694179535,-0.037358131259679794,0.31091248989105225
many,0.4149286150932312,0.3219377398490906,0.15282970666885376,0.40130746364593506,0.2872205972671509,0.012824942357838154,0.21966852247714996,0.3160456120967865,-0.016843097284436226,0.2124512493610382
people,0.3933800458908081,0.2570343613624573,0.1363585740327835,0.2759630084037781,0.3483705520629883,0.08962737023830414,0.08604896068572998,0.19395297765731812,0.0037952337879687548,0.23739641904830933
spoke,0.3549655079841614,0.4410756230354309,0.045321621000766754,0.4033616781234741,0.18961507081985474,0.06329567730426788,0.15831954777240753,0.15967747569084167,0.009258952923119068,0.16296985745429993
very,0.34641316533088684,0.31932708621025085,0.15882818400859833,0.3685664236545563,0.45312565565109253,0.009530685842037201,0.1720559448003769,0.2863955497741699,-0.04080035910010338,0.20864155888557434
positively,0.2305677980184555,0.2394019514322281,0.2315763235092163,0.22924010455608368,0.29441437125205994,0.1459369659423828,0.1566443294286728,0.2559967041015625,-0.03567156195640564,0.19553256034851074
and,0.41279885172843933,0.2940692901611328,0.19560420513153076,0.3872550129890442,0.3739250600337982,0.036644238978624344,0.2505932152271271,0.26135876774787903,0.021612688899040222,0.20544172823429108
admiringly,0.4089401066303253,0.2968871295452118,0.11957154422998428,0.3007882833480835,0.2485024333000183,0.018092717975378036,0.29840782284736633,0.31747087836265564,-0.053461335599422455,0.1972697377204895
of,0.2827862501144409,0.29014745354652405,0.18837453424930573,0.37755560874938965,0.5052502155303955,0.06780257821083069,0.2957158386707306,0.19559772312641144,0.13035868108272552,0.1826142966747284
tesla,0.1520961970090866,0.1453642100095749,0.9999999403953552,0.12050733715295792,0.2211925983428955,0.04274534806609154,0.14274996519088745,0.20499972999095917,0.048713020980358124,0.10250775516033173
.,0.3541337847709656,0.33782967925071716,0.17949827015399933,0.37348684668540955,0.50484299659729,0.05720457062125206,0.21457570791244507,0.17619165778160095,-0.07181349396705627,0.4130953550338745
