,why,should,someone,not,commit,a,crime,when,they,are,protesting,?
likewise,0.3241419792175293,0.3827722668647766,0.29945796728134155,0.4169143736362457,0.16800813376903534,0.3300539255142212,0.15939046442508698,0.32729578018188477,0.3539038896560669,0.3701762855052948,0.22567333281040192,0.2001093626022339
",",0.2827242314815521,0.2706286907196045,0.23755213618278503,0.3769696354866028,0.22574645280838013,0.427140474319458,0.21491537988185883,0.36674630641937256,0.390799880027771,0.4062570035457611,0.3004133105278015,0.31091248989105225
a,0.2667238116264343,0.2715131938457489,0.4145890474319458,0.3791346549987793,0.2070140689611435,1.0,0.22928372025489807,0.44397395849227905,0.3528250455856323,0.265255331993103,0.2591511309146881,0.23916715383529663
protestor,0.10088492929935455,0.1687229424715042,0.19132182002067566,0.1747245490550995,0.315253883600235,0.25398367643356323,0.24927769601345062,0.1929069310426712,0.22281867265701294,0.12059316039085388,0.7776390314102173,0.17670513689517975
who,0.36697277426719666,0.2982507050037384,0.47259387373924255,0.369414746761322,0.30431413650512695,0.36608949303627014,0.24320223927497864,0.48282691836357117,0.47879111766815186,0.27294138073921204,0.24106939136981964,0.26220351457595825
attempts,0.16657814383506775,0.23201295733451843,0.18953843414783478,0.23930291831493378,0.2895330786705017,0.2561189830303192,0.1509426385164261,0.23838594555854797,0.19420155882835388,0.11473678797483444,0.19178993999958038,0.09428907185792923
to,0.4100138247013092,0.44452130794525146,0.38986673951148987,0.5149973034858704,0.2989535629749298,0.45503583550453186,0.20496699213981628,0.5423505902290344,0.5452046394348145,0.3504326641559601,0.2454739362001419,0.29463258385658264
escape,0.15072135627269745,0.1436285674571991,0.15627361834049225,0.22931596636772156,0.2989456057548523,0.18111899495124817,0.18292364478111267,0.26963287591934204,0.2394457459449768,0.13797125220298767,0.2199370265007019,0.11586874723434448
punishment,0.21781277656555176,0.28934940695762634,0.28967660665512085,0.34782421588897705,0.39272770285606384,0.1934642344713211,0.4695490896701813,0.27127915620803833,0.2663463056087494,0.2139361947774887,0.29483357071876526,0.23842233419418335
by,0.19170543551445007,0.2928081750869751,0.21211211383342743,0.291808545589447,0.22258785367012024,0.32094135880470276,0.24834075570106506,0.4376842677593231,0.3391372263431549,0.37842893600463867,0.21867947280406952,0.17966607213020325
committing,0.25661012530326843,0.27295586466789246,0.40711501240730286,0.329251229763031,0.8087372183799744,0.28919801115989685,0.5575551986694336,0.330346018075943,0.3020368814468384,0.25261929631233215,0.38500526547431946,0.23165062069892883
