,what,is,the,service,sector,dominated,by,?
kenya,0.18398970365524292,0.17591087520122528,0.21657514572143555,0.1482851207256317,0.18393830955028534,0.13610096275806427,0.1010202169418335,0.17197901010513306
's,0.02692362666130066,0.02396530658006668,-0.01540423184633255,0.017307469621300697,0.06473074108362198,0.0071812765672802925,-0.010884488001465797,-0.023395681753754616
services,0.16048473119735718,0.2128378003835678,0.2381475418806076,0.7696225047111511,0.4179188907146454,0.11977973580360413,0.2132156491279602,0.1328447163105011
sector,0.18244388699531555,0.22561627626419067,0.27798449993133545,0.37127581238746643,1.0000001192092896,0.2597965598106384,0.13565200567245483,0.06294605135917664
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2389259785413742,0.23930709064006805,0.27990370988845825,0.3680937886238098,0.31091248989105225
which,0.5261979103088379,0.4457404911518097,0.6521818041801453,0.25458550453186035,0.3005475103855133,0.27477967739105225,0.40543368458747864,0.25814583897590637
contributes,0.3393528163433075,0.28037264943122864,0.2711111307144165,0.2264591008424759,0.24058017134666443,0.24544747173786163,0.22408871352672577,0.26828473806381226
61,0.030599193647503853,0.06823175400495529,0.044257789850234985,-0.03107941895723343,0.06431322544813156,-0.006847678683698177,0.02301204390823841,-0.039689820259809494
%,0.20738190412521362,0.18672586977481842,0.21490740776062012,0.14213192462921143,0.2509334087371826,0.1954512894153595,0.13780950009822845,0.21441808342933655
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.18425606191158295,0.23412683606147766,0.2971191704273224,0.3646814823150635,0.1826142966747284
gdp,0.2943311929702759,0.1348358541727066,0.16116170585155487,0.24556602537631989,0.3653808832168579,0.14452263712882996,0.08834438025951385,0.232579305768013
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2389259785413742,0.23930709064006805,0.27990370988845825,0.3680937886238098,0.31091248989105225
is,0.28837618231773376,1.0,0.5823672413825989,0.15705204010009766,0.22561627626419067,0.18273897469043732,0.3899846076965332,0.22961433231830597
dominated,0.145044207572937,0.18273897469043732,0.33543094992637634,0.10090655088424683,0.2597965598106384,1.0,0.25790226459503174,0.04715321213006973
by,0.2455483376979828,0.3899846076965332,0.4408751428127289,0.20538176596164703,0.13565200567245483,0.25790226459503174,1.0000001192092896,0.17966607213020325
tourism,0.09624189138412476,0.22605954110622406,0.26230889558792114,0.27027881145477295,0.3934839963912964,0.18917247653007507,0.10054231435060501,0.08465105295181274
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2115515172481537,0.2173098623752594,0.20676423609256744,0.3936232924461365,0.4130953550338745
