,when,did,kenya,gain,independance,?
after,0.5331412553787231,0.30330467224121094,0.2081187516450882,0.22570830583572388,0.22077202796936035,0.16608688235282898
kenya,0.11853623390197754,0.16214214265346527,1.0,0.07696641236543655,0.26198476552963257,0.17197901010513306
's,-0.03368149697780609,0.05069678649306297,-0.02908705547451973,0.05691658332943916,0.07100919634103775,-0.023395681753754616
independence,0.1640492081642151,0.19588761031627655,0.2788098156452179,0.31618088483810425,0.6666408181190491,0.12301119416952133
on,0.37706470489501953,0.2670976221561432,0.18445201218128204,0.18712006509304047,0.2860018312931061,0.2714994251728058
12,0.24838608503341675,0.11160892248153687,0.10184599459171295,0.07881844788789749,0.035868361592292786,0.10021790862083435
december,0.28435230255126953,0.2542226016521454,0.15531376004219055,0.09371219575405121,0.2632247507572174,0.2480352818965912
1963,-0.029794543981552124,0.022874606773257256,0.0339445136487484,0.04003605246543884,-0.05811241269111633,0.03411978855729103
",",0.36674630641937256,0.3015086054801941,0.23432263731956482,0.2041122019290924,0.2784444987773895,0.31091248989105225
an,0.33026179671287537,0.22598257660865784,0.1525012105703354,0.1725332885980606,0.2237100601196289,0.19793890416622162
authority,0.1910407692193985,0.23189641535282135,0.12147800624370575,0.23210400342941284,0.2810337245464325,0.18404170870780945
named,0.2802571952342987,0.1507878601551056,0.15598544478416443,0.07052986323833466,0.1288079470396042,0.1297498345375061
the,0.5091903209686279,0.34736719727516174,0.21657514572143555,0.2682225704193115,0.3591524660587311,0.22068053483963013
ominde,0.11144758015871048,0.12689125537872314,0.19313322007656097,0.11343055963516235,0.30199381709098816,0.33824461698532104
commission,0.19186250865459442,0.18697425723075867,0.22079746425151825,0.13001760840415955,0.24698372185230255,0.16231559216976166
was,0.37326499819755554,0.41399896144866943,0.17758844792842865,0.11071235686540604,0.31303682923316956,0.18412111699581146
formed,0.3096277713775635,0.17168700695037842,0.18930140137672424,0.12479840219020844,0.24566194415092468,0.09686966985464096
to,0.5423505902290344,0.4452643394470215,0.17769291996955872,0.3898973762989044,0.23747403919696808,0.29463258385658264
introduce,0.2529946267604828,0.24205434322357178,0.05362944304943085,0.26805710792541504,0.170818492770195,0.22698114812374115
changes,0.3188721537590027,0.18026256561279297,0.12346294522285461,0.2381867915391922,0.19811353087425232,0.21264225244522095
that,0.5860282182693481,0.47518548369407654,0.18006594479084015,0.24831576645374298,0.3118736743927002,0.32716336846351624
would,0.4219970703125,0.6268245577812195,0.1261807531118393,0.3017168641090393,0.26220113039016724,0.37178951501846313
reflect,0.19664636254310608,0.22968211770057678,0.06735118478536606,0.2584543526172638,0.2780601978302002,0.1725967973470688
the,0.5091903209686279,0.34736719727516174,0.21657514572143555,0.2682225704193115,0.3591524660587311,0.22068053483963013
nation,0.1968017816543579,0.23396416008472443,0.30210545659065247,0.21345049142837524,0.3540217876434326,0.17865248024463654
's,-0.03368149697780609,0.05069678649306297,-0.02908705547451973,0.05691658332943916,0.07100919634103775,-0.023395681753754616
sovereignty,0.1481887549161911,0.1916259080171585,0.19420814514160156,0.29761195182800293,0.36126428842544556,0.1958751529455185
.,0.475719153881073,0.35288307070732117,0.24234211444854736,0.20901274681091309,0.29322221875190735,0.4130953550338745
