,who,led,the,north,american,huguenot,colonial,expedition,?
barred,0.1875184178352356,0.18108141422271729,0.30019018054008484,0.19954733550548553,0.15281344950199127,0.19450226426124573,0.17704835534095764,0.1275113970041275,0.15961766242980957
by,0.39727845788002014,0.30694612860679626,0.4408751428127289,0.22664140164852142,0.2777634859085083,0.1813904494047165,0.19209767878055573,0.17232175171375275,0.17966607213020325
the,0.3733934462070465,0.3267505168914795,1.0,0.36298373341560364,0.24562937021255493,0.29557526111602783,0.2715741693973541,0.26213887333869934,0.22068053483963013
government,0.27194860577583313,0.35539230704307556,0.31798112392425537,0.22843784093856812,0.11797977238893509,0.26682791113853455,0.32100310921669006,0.26773521304130554,0.18851417303085327
from,0.27839982509613037,0.2455430030822754,0.40150508284568787,0.3180590271949768,0.20110583305358887,0.1858682930469513,0.20479470491409302,0.17816905677318573,0.19969791173934937
settling,0.23135945200920105,0.17297768592834473,0.3075377941131592,0.18838666379451752,0.14780287444591522,0.2718975245952606,0.32582587003707886,0.2963835597038269,0.12231551110744476
in,0.2792111933231354,0.2990247309207916,0.6662389636039734,0.39050599932670593,0.22871561348438263,0.26198551058769226,0.25196215510368347,0.19481515884399414,0.20430970191955566
new,0.2378052920103073,0.21234406530857086,0.3845241069793701,0.24270093441009521,0.24982258677482605,0.20695649087429047,0.3134441077709198,0.131717249751091,0.14782847464084625
france,0.18489117920398712,0.2015276998281479,0.35517507791519165,0.28069406747817993,0.21813958883285522,0.44110438227653503,0.21477702260017395,0.16752885282039642,0.15069349110126495
",",0.3365725874900818,0.22548827528953552,0.4933079481124878,0.31834840774536133,0.3048616647720337,0.24752236902713776,0.2506951689720154,0.17991885542869568,0.31091248989105225
huguenots,0.30634063482284546,0.2371187061071396,0.30745792388916016,0.24482622742652893,0.14889417588710785,0.9459913372993469,0.3678382635116577,0.2568511962890625,0.16010338068008423
led,0.2450801581144333,0.9999999403953552,0.3267505168914795,0.17305970191955566,0.18820922076702118,0.25171127915382385,0.25739189982414246,0.409701406955719,0.09273858368396759
by,0.39727845788002014,0.30694612860679626,0.4408751428127289,0.22664140164852142,0.2777634859085083,0.1813904494047165,0.19209767878055573,0.17232175171375275,0.17966607213020325
jessé,0.21540924906730652,0.08044541627168655,0.15366947650909424,0.2033257782459259,0.3293215334415436,0.2521086633205414,0.18932987749576569,0.14706392586231232,0.10367649048566818
de,0.18189555406570435,0.1650221049785614,0.23491892218589783,0.2310589700937271,0.17058883607387543,0.3515174984931946,0.26790738105773926,0.22248412668704987,0.11064168810844421
forest,0.1734786182641983,0.18096701800823212,0.24134553968906403,0.26929935812950134,0.09308288991451263,0.11212732642889023,0.17181414365768433,0.19020546972751617,0.1214437186717987
",",0.3365725874900818,0.22548827528953552,0.4933079481124878,0.31834840774536133,0.3048616647720337,0.24752236902713776,0.2506951689720154,0.17991885542869568,0.31091248989105225
sailed,0.28922784328460693,0.3115932047367096,0.26329153776168823,0.32107487320899963,0.09831999242305756,0.3015376329421997,0.304810494184494,0.4936743974685669,0.12435378134250641
to,0.42656609416007996,0.21815308928489685,0.535392165184021,0.2743184268474579,0.16338081657886505,0.24496324360370636,0.22932834923267365,0.2431555688381195,0.29463258385658264
north,0.11026738584041595,0.17305970191955566,0.36298373341560364,1.0,0.2107747346162796,0.22711920738220215,0.26874417066574097,0.2719041407108307,0.11829731613397598
america,0.1830417811870575,0.11462203413248062,0.37090015411376953,0.4837384521961212,0.3915616571903229,0.1636737585067749,0.28972792625427246,0.21568933129310608,0.19333907961845398
in,0.2792111933231354,0.2990247309207916,0.6662389636039734,0.39050599932670593,0.22871561348438263,0.26198551058769226,0.25196215510368347,0.19481515884399414,0.20430970191955566
1624,0.038577206432819366,0.12283355742692947,0.18963690102100372,0.14091138541698456,0.2561238706111908,-0.040835943073034286,0.0893486738204956,0.08022463321685791,0.02735440619289875
