,on,what,day,were,images,of,the,moon,'s,surface,transmitted,to,earth,via,television,images,?
gemini,0.25157874822616577,0.16078095138072968,0.1743527203798294,0.12325634807348251,0.27016058564186096,0.1731637418270111,0.24857638776302338,0.43889614939689636,0.0022355299443006516,0.2965359091758728,0.23287659883499146,0.17533832788467407,0.307539701461792,0.12423621863126755,0.20366604626178741,0.27016058564186096,0.14296509325504303
veterans,0.2600739896297455,0.1860266625881195,0.2519164979457855,0.2785716950893402,0.13880367577075958,0.30576401948928833,0.3290243446826935,0.06825549155473709,-0.0014934757491573691,0.043307553976774216,0.1676260530948639,0.23743145167827606,0.08093133568763733,0.09816164523363113,0.17827917635440826,0.13880367577075958,0.17911319434642792
frank,0.19603559374809265,0.13072191178798676,0.14689449965953827,0.24766764044761658,0.09749838709831238,0.15825092792510986,0.23372484743595123,0.13758741319179535,0.03106875717639923,0.10470035672187805,0.02162444405257702,0.18102532625198364,0.15641026198863983,0.03341280296444893,0.17177461087703705,0.09749838709831238,0.14052411913871765
borman,0.22048701345920563,0.21163837611675262,0.21174857020378113,0.2636879086494446,0.09117178618907928,0.22303563356399536,0.29972293972969055,0.2511899471282959,-0.06928873062133789,0.1477728933095932,0.1913287192583084,0.23041678965091705,0.23341014981269836,0.05053253099322319,0.30459076166152954,0.09117178618907928,0.1907854825258255
and,0.4077630043029785,0.31309178471565247,0.26673999428749084,0.42175528407096863,0.1939600706100464,0.5116966962814331,0.5171257257461548,0.2018347829580307,0.06895173341035843,0.2626544237136841,0.20762556791305542,0.48971283435821533,0.27524080872535706,0.20018906891345978,0.29514092206954956,0.1939600706100464,0.20544172823429108
james,0.22752492129802704,0.20536290109157562,0.1359003484249115,0.20760557055473328,0.08264261484146118,0.18323110044002533,0.22481533885002136,0.08890990912914276,0.043919146060943604,0.1030837818980217,0.1124441847205162,0.22204333543777466,0.15007442235946655,0.09231248497962952,0.19567570090293884,0.08264261484146118,0.12139993160963058
lovell,0.22794030606746674,0.21972987055778503,0.14564158022403717,0.17377054691314697,0.15489722788333893,0.1924947202205658,0.22076375782489777,0.27705082297325134,0.0902077779173851,0.20401550829410553,0.12828712165355682,0.17399685084819794,0.21268953382968903,0.1252935379743576,0.24251461029052734,0.15489722788333893,0.20327162742614746
",",0.49057599902153015,0.3087472915649414,0.30821847915649414,0.36755475401878357,0.23035936057567596,0.4946078956127167,0.4933079481124878,0.18567080795764923,-0.0016132977325469255,0.23000483214855194,0.2063266634941101,0.44245919585227966,0.23186853528022766,0.26232874393463135,0.27995240688323975,0.23035936057567596,0.31091248989105225
and,0.4077630043029785,0.31309178471565247,0.26673999428749084,0.42175528407096863,0.1939600706100464,0.5116966962814331,0.5171257257461548,0.2018347829580307,0.06895173341035843,0.2626544237136841,0.20762556791305542,0.48971283435821533,0.27524080872535706,0.20018906891345978,0.29514092206954956,0.1939600706100464,0.20544172823429108
rookie,0.19121524691581726,0.119657002389431,0.2456466555595398,0.16584043204784393,0.14330369234085083,0.15998511016368866,0.2438497394323349,0.18629314005374908,-0.02346658706665039,0.12469307333230972,0.05388982221484184,0.10144312679767609,0.14934733510017395,0.11288230121135712,0.2262752652168274,0.14330369234085083,0.14955708384513855
