,was,was,the,plan,for,langlades,mission,?
his,0.4405253231525421,0.4405253231525421,0.4394008219242096,0.24869509041309357,0.39312878251075745,0.19388441741466522,0.18896536529064178,0.18075084686279297
objective,0.1799817830324173,0.1799817830324173,0.24117743968963623,0.3122659921646118,0.3174678385257721,0.18128618597984314,0.284380167722702,0.2514022886753082
was,1.0000001192092896,1.0000001192092896,0.48711544275283813,0.2407723069190979,0.3863949179649353,0.23041260242462158,0.20951420068740845,0.18412111699581146
to,0.3636345863342285,0.3636345863342285,0.535392165184021,0.36421895027160645,0.4451248347759247,0.2455790638923645,0.26700642704963684,0.29463258385658264
punish,0.15436358749866486,0.15436358749866486,0.1862790733575821,0.156405508518219,0.1872103065252304,0.13449126482009888,0.08607612550258636,0.23481756448745728
the,0.48711544275283813,0.48711544275283813,1.0,0.2852855324745178,0.4739971458911896,0.31977608799934387,0.22673439979553223,0.22068053483963013
miami,0.22150732576847076,0.22150732576847076,0.19180938601493835,0.11958473920822144,0.19339090585708618,0.2723495662212372,0.16356298327445984,0.14054250717163086
people,0.2518421411514282,0.2518421411514282,0.36838498711586,0.1575266420841217,0.24900002777576447,0.2324821949005127,0.18269939720630646,0.23739641904830933
of,0.4069072902202606,0.4069072902202606,0.733189046382904,0.2742128372192383,0.4185989499092102,0.2843032479286194,0.20170781016349792,0.1826142966747284
pickawillany,0.3848986029624939,0.3848986029624939,0.44554853439331055,0.3176179528236389,0.2968069314956665,0.449101060628891,0.2909734547138214,0.2701047658920288
for,0.3863949179649353,0.3863949179649353,0.4739971458911896,0.22760893404483795,0.9999999403953552,0.2687772214412689,0.18326549232006073,0.264628142118454
not,0.2888734042644501,0.2888734042644501,0.4310511648654938,0.30275988578796387,0.39280617237091064,0.1798328161239624,0.09891936182975769,0.41942933201789856
following,0.16493390500545502,0.16493390500545502,0.39779382944107056,0.2572343945503235,0.2965082824230194,0.17275331914424896,0.1384420096874237,0.1555173695087433
céloron,0.2376924753189087,0.2376924753189087,0.31858551502227783,0.16110897064208984,0.22248125076293945,0.3449079692363739,0.1638062447309494,0.21622054278850555
's,0.008974763564765453,0.008974763564765453,-0.01540423184633255,0.014385199174284935,-0.07241261005401611,0.09850645810365677,-0.010545115917921066,-0.023395681753754616
orders,0.2057829052209854,0.2057829052209854,0.26927345991134644,0.2541479766368866,0.11300233006477356,0.11281850188970566,0.21099521219730377,0.18005457520484924
to,0.3636345863342285,0.3636345863342285,0.535392165184021,0.36421895027160645,0.4451248347759247,0.2455790638923645,0.26700642704963684,0.29463258385658264
cease,0.1867532879114151,0.1867532879114151,0.317424476146698,0.2530922591686249,0.1859368085861206,0.10075545310974121,0.19961249828338623,0.19625024497509003
trading,0.22348220646381378,0.22348220646381378,0.27514398097991943,0.15075115859508514,0.2608646750450134,0.14968645572662354,0.23443599045276642,0.15743456780910492
with,0.27411898970603943,0.27411898970603943,0.4223487675189972,0.2686347961425781,0.39140474796295166,0.23223073780536652,0.13122236728668213,0.2433311939239502
the,0.48711544275283813,0.48711544275283813,1.0,0.2852855324745178,0.4739971458911896,0.31977608799934387,0.22673439979553223,0.22068053483963013
british,0.31934812664985657,0.31934812664985657,0.28973397612571716,0.2022715061903,0.1970057189464569,0.2567562460899353,0.12534089386463165,0.09711728990077972
.,0.40146201848983765,0.40146201848983765,0.5934505462646484,0.2966235876083374,0.4726039469242096,0.33455026149749756,0.2227463275194168,0.4130953550338745
