,what,is,the,norman,architecture,idiom,?
they,0.4431931674480438,0.330102801322937,0.49925389885902405,0.1342334747314453,0.1419280469417572,0.1895182728767395,0.2753053903579712
spread,0.22287604212760925,0.17351946234703064,0.28994160890579224,0.13544242084026337,0.17693401873111725,0.18262088298797607,0.16482828557491302
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.16633400321006775,0.2194099873304367,0.27277106046676636,0.23916715383529663
unique,0.2536143958568573,0.3167116045951843,0.26165643334388733,0.18025889992713928,0.2952221632003784,0.19253437221050262,0.17680858075618744
romanesque,0.19080480933189392,0.1872614324092865,0.23890739679336548,0.3146589994430542,0.584858775138855,0.2577384412288666,0.15453757345676422
idiom,0.3471832871437073,0.29858508706092834,0.22585733234882355,0.18191029131412506,0.1897798627614975,1.0000001192092896,0.22624355554580688
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.16204318404197693,0.23015062510967255,0.23156222701072693,0.29463258385658264
england,0.21399550139904022,0.19271282851696014,0.28280043601989746,0.3501497805118561,0.19321592152118683,0.1925475299358368,0.13436897099018097
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.21611377596855164,0.2369556725025177,0.116755910217762,0.20544172823429108
italy,0.16949890553951263,0.16406619548797607,0.2633645832538605,0.20724600553512573,0.17044225335121155,0.15649081766605377,0.11567100137472153
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.20281735062599182,0.2120368629693985,0.22247448563575745,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.21611377596855164,0.2369556725025177,0.116755910217762,0.20544172823429108
the,0.42745697498321533,0.5823672413825989,1.0,0.23459704220294952,0.24488379061222076,0.22585733234882355,0.22068053483963013
encastellation,0.23956841230392456,0.3247073292732239,0.38114306330680847,0.183176651597023,0.1818181276321411,0.31947728991508484,0.1929832398891449
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.15827171504497528,0.2756515443325043,0.19563157856464386,0.1826142966747284
these,0.4164220690727234,0.2498808652162552,0.49086877703666687,0.11661530286073685,0.17645283043384552,0.1542232632637024,0.2571668326854706
regions,0.22129066288471222,0.28507089614868164,0.36158451437950134,0.10225331783294678,0.18181663751602173,0.15599800646305084,0.11608363687992096
with,0.2464839518070221,0.3250955045223236,0.4223487675189972,0.18110549449920654,0.1400839239358902,0.14134101569652557,0.2433311939239502
keeps,0.21853329241275787,0.30355021357536316,0.26333102583885193,0.1528230458498001,0.12036745250225067,0.18669244647026062,0.21800975501537323
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.17613162100315094,0.2624244689941406,0.14184264838695526,0.20430970191955566
their,0.35142919421195984,0.2101074606180191,0.516537070274353,0.15736374258995056,0.1119595468044281,0.1724260300397873,0.1898253709077835
north,0.18673177063465118,0.2993389368057251,0.36298373341560364,0.1623515635728836,0.2001844048500061,0.1476307362318039,0.11829731613397598
french,0.17393042147159576,0.19312386214733124,0.2555147111415863,0.2732321619987488,0.15162427723407745,0.21564851701259613,0.1386883556842804
style,0.2488866001367569,0.16587691009044647,0.2331719547510147,0.23403604328632355,0.37103867530822754,0.20014075934886932,0.19862167537212372
fundamentally,0.36680668592453003,0.2469208836555481,0.3023602068424225,0.1851014345884323,0.20297561585903168,0.15305519104003906,0.23505090177059174
altered,0.2624957263469696,0.2137126922607422,0.3240741193294525,0.17241504788398743,0.18480752408504486,0.21418091654777527,0.2274777591228485
the,0.42745697498321533,0.5823672413825989,1.0,0.23459704220294952,0.24488379061222076,0.22585733234882355,0.22068053483963013
military,0.18809624016284943,0.139249786734581,0.2290858030319214,0.1744297444820404,0.2686012089252472,0.15848767757415771,0.1890317052602768
landscape,0.22357456386089325,0.20707780122756958,0.19639281928539276,0.1760176420211792,0.39132869243621826,0.1271771341562271,0.11197245866060257
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.24800069630146027,0.21623484790325165,0.12626191973686218,0.4130953550338745
