,how,are,the,combs,spaced,?
there,0.3328511416912079,0.5433560013771057,0.47025805711746216,0.15232007205486298,0.24503719806671143,0.29405656456947327
are,0.311818927526474,1.0,0.40399202704429626,0.23614484071731567,0.2825653553009033,0.24591213464736938
eight,0.222213014960289,0.28273332118988037,0.34254369139671326,0.20535102486610413,0.1970844268798828,0.11634626984596252
rows,0.23732048273086548,0.38430702686309814,0.2598671019077301,0.2509155571460724,0.3707151710987091,0.1265581250190735
of,0.2480744868516922,0.39081433415412903,0.733189046382904,0.18958649039268494,0.1785961240530014,0.1826142966747284
combs,0.2265683263540268,0.23614484071731567,0.2017894983291626,1.0,0.24858403205871582,0.24039559066295624
that,0.557814359664917,0.45265161991119385,0.5473989248275757,0.21876102685928345,0.25905776023864746,0.32716336846351624
run,0.2245650738477707,0.2580355107784271,0.27883726358413696,0.16074134409427643,0.1692366600036621,0.17904110252857208
from,0.22939439117908478,0.2674213647842407,0.40150508284568787,0.2005806863307953,0.11408182233572006,0.19969791173934937
near,0.10767845064401627,0.20196682214736938,0.2879819869995117,0.03927438333630562,0.04321525990962982,0.10734958201646805
the,0.33890387415885925,0.40399202704429626,1.0,0.2017894983291626,0.22072622179985046,0.22068053483963013
mouth,0.13989293575286865,0.20501531660556793,0.3073960244655609,0.2474782019853592,0.16039907932281494,0.21761061251163483
to,0.44169697165489197,0.3504326641559601,0.535392165184021,0.17389018833637238,0.19996711611747742,0.29463258385658264
the,0.33890387415885925,0.40399202704429626,1.0,0.2017894983291626,0.22072622179985046,0.22068053483963013
opposite,0.2080988585948944,0.30710941553115845,0.2730693221092224,0.1347743421792984,0.18726666271686554,0.0778411254286766
end,0.2481066733598709,0.18067817389965057,0.39658910036087036,0.1635402888059616,0.17712299525737762,0.12543344497680664
",",0.22659391164779663,0.4062570035457611,0.4933079481124878,0.34822797775268555,0.22425691783428192,0.31091248989105225
and,0.33647966384887695,0.48576638102531433,0.5171257257461548,0.34910082817077637,0.2790592908859253,0.20544172823429108
are,0.311818927526474,1.0,0.40399202704429626,0.23614484071731567,0.2825653553009033,0.24591213464736938
spaced,0.2522858679294586,0.2825653553009033,0.22072622179985046,0.24858403205871582,1.0000001192092896,0.19201503694057465
evenly,0.32761380076408386,0.37778252363204956,0.3584669828414917,0.17482827603816986,0.3792373836040497,0.10661140084266663
round,0.1945047229528427,0.20373912155628204,0.19933617115020752,0.1572006344795227,0.27730727195739746,0.17003268003463745
the,0.33890387415885925,0.40399202704429626,1.0,0.2017894983291626,0.22072622179985046,0.22068053483963013
body,0.27980050444602966,0.2451179027557373,0.31682634353637695,0.27258986234664917,0.18660558760166168,0.20136451721191406
.,0.3287222981452942,0.3452940285205841,0.5934505462646484,0.32467591762542725,0.2193194478750229,0.4130953550338745
