,during,which,period,in,history,was,the,amazon,rainforest,a,narrow,band,of,forest,?
during,1.0,0.3590145409107208,0.5020045042037964,0.4627237319946289,0.3088737428188324,0.4470829963684082,0.4838213622570038,0.11170908063650131,0.1900283694267273,0.30341604351997375,0.14361810684204102,0.20518505573272705,0.3869180977344513,0.181576669216156,0.1325719803571701
the,0.4838213622570038,0.6521818041801453,0.3125074505805969,0.6662389636039734,0.33215048909187317,0.48711544275283813,1.0,0.260541707277298,0.2571161389350891,0.5829201340675354,0.3104094862937927,0.25564542412757874,0.733189046382904,0.24134553968906403,0.22068053483963013
oligocene,0.29575201869010925,0.2598618268966675,0.4053249955177307,0.24344049394130707,0.2354021668434143,0.1627073884010315,0.22206999361515045,0.1992366909980774,0.36742180585861206,0.14887689054012299,0.22182761132717133,0.1820468008518219,0.19176936149597168,0.22623026371002197,0.17752304673194885
",",0.3225448727607727,0.3658004403114319,0.25030651688575745,0.5201468467712402,0.2728564441204071,0.45456063747406006,0.4933079481124878,0.2214922308921814,0.2737860679626465,0.427140474319458,0.2165912240743637,0.281078964471817,0.4946078956127167,0.2901519536972046,0.31091248989105225
for,0.3448435664176941,0.44095608592033386,0.27999383211135864,0.4322226941585541,0.25068506598472595,0.3863949179649353,0.4739971458911896,0.165912926197052,0.18492411077022552,0.44038116931915283,0.16946011781692505,0.19538703560829163,0.4185989499092102,0.20533806085586548,0.264628142118454
example,0.19390994310379028,0.45943138003349304,0.2542102634906769,0.30483278632164,0.21363943815231323,0.16563157737255096,0.3755223751068115,0.15987248718738556,0.17980517446994781,0.40234753489494324,0.18152347207069397,0.1583166867494583,0.3570667505264282,0.12674051523208618,0.30374911427497864
",",0.3225448727607727,0.3658004403114319,0.25030651688575745,0.5201468467712402,0.2728564441204071,0.45456063747406006,0.4933079481124878,0.2214922308921814,0.2737860679626465,0.427140474319458,0.2165912240743637,0.281078964471817,0.4946078956127167,0.2901519536972046,0.31091248989105225
the,0.4838213622570038,0.6521818041801453,0.3125074505805969,0.6662389636039734,0.33215048909187317,0.48711544275283813,1.0,0.260541707277298,0.2571161389350891,0.5829201340675354,0.3104094862937927,0.25564542412757874,0.733189046382904,0.24134553968906403,0.22068053483963013
rainforest,0.1900283694267273,0.2796969711780548,0.17127172648906708,0.2207682877779007,0.15045608580112457,0.13883572816848755,0.2571161389350891,0.48046615719795227,1.0,0.2497720569372177,0.2928636372089386,0.19688038527965546,0.22522282600402832,0.664979100227356,0.1917492002248764
spanned,0.3911505937576294,0.22617612779140472,0.5146721005439758,0.22257088124752045,0.19476541876792908,0.2960544228553772,0.2710992097854614,0.07212705165147781,0.14219892024993896,0.22149311006069183,0.1927802860736847,0.1784570962190628,0.20722739398479462,0.09937842935323715,0.17097629606723785
a,0.30341604351997375,0.56894451379776,0.25205814838409424,0.539380669593811,0.2123815417289734,0.4508470594882965,0.5829201340675354,0.1865728348493576,0.2497720569372177,1.0,0.31331387162208557,0.23926927149295807,0.5052502155303955,0.24025723338127136,0.23916715383529663
relatively,0.2874126732349396,0.45062434673309326,0.32668599486351013,0.2696114182472229,0.19810134172439575,0.21360629796981812,0.33481109142303467,0.18730537593364716,0.3158150911331177,0.3819689452648163,0.37053003907203674,0.07866885513067245,0.2916591167449951,0.1257728934288025,0.1281091868877411
narrow,0.14361810684204102,0.3670823872089386,0.1418052613735199,0.23286917805671692,0.14154961705207825,0.129268616437912,0.3104094862937927,0.1305283159017563,0.2928636372089386,0.31331387162208557,1.0,0.16192002594470978,0.248264878988266,0.2242787629365921,0.1023377925157547
band,0.20518505573272705,0.21879728138446808,0.16698399186134338,0.2001747488975525,0.06390980631113052,0.25975263118743896,0.25564542412757874,0.13035067915916443,0.19688038527965546,0.23926927149295807,0.16192002594470978,1.0000001192092896,0.2142038196325302,0.18109799921512604,0.1476995348930359
.,0.3485563397407532,0.45942068099975586,0.2575049102306366,0.5591574311256409,0.30310705304145813,0.40146201848983765,0.5934505462646484,0.262887567281723,0.25713270902633667,0.50484299659729,0.19551116228103638,0.26936691999435425,0.5352458953857422,0.2418428510427475,0.4130953550338745
