,in,which,year,did,benjamin,lamme,achieve,success,making,the,motor,more,efficient,?
at,0.4374977946281433,0.3286694884300232,0.3146436810493469,0.28390252590179443,0.17491266131401062,0.21649384498596191,0.16264165937900543,0.18115924298763275,0.23679713904857635,0.457212895154953,0.19066749513149261,0.2627858817577362,0.1422393023967743,0.21978627145290375
the,0.6662389636039734,0.6521818041801453,0.3609684407711029,0.34736719727516174,0.2507040798664093,0.2814979553222656,0.23965083062648773,0.2764457166194916,0.35185980796813965,1.0,0.26024484634399414,0.39758381247520447,0.22032952308654785,0.22068053483963013
beginning,0.3787442147731781,0.3885711133480072,0.38203126192092896,0.28616875410079956,0.1889362782239914,0.16945382952690125,0.20012511312961578,0.2768331468105316,0.25127094984054565,0.49622642993927,0.19731828570365906,0.27201372385025024,0.17670771479606628,0.19413669407367706
of,0.5696388483047485,0.5011631846427917,0.2578314542770386,0.2513895630836487,0.19692720472812653,0.27509185671806335,0.24381192028522491,0.20485365390777588,0.3250596821308136,0.733189046382904,0.20839329063892365,0.30478984117507935,0.22586165368556976,0.1826142966747284
1893,0.09158051759004593,0.08596764504909515,0.09633996337652206,0.10365716367959976,0.02201792784035206,0.022706663236021996,0.014893840998411179,0.059860557317733765,0.044161561876535416,0.10564703494310379,0.05231231451034546,0.1448858231306076,0.07536406815052032,0.0544506311416626
westinghouse,0.2579890191555023,0.2770593464374542,0.23696589469909668,0.1608617752790451,0.23909178376197815,0.17369309067726135,0.1398426741361618,0.17787358164787292,0.18227821588516235,0.3101098835468292,0.3054238557815552,0.18871226906776428,0.26657459139823914,0.17307911813259125
engineer,0.18560759723186493,0.13040006160736084,0.11436649411916733,0.15370579063892365,0.26998651027679443,0.1130419671535492,0.2171839475631714,0.12751585245132446,0.14113418757915497,0.16607177257537842,0.19601911306381226,0.1337895542383194,0.29993435740470886,0.12995383143424988
benjamin,0.20055828988552094,0.1817704141139984,0.14565469324588776,0.1405869424343109,0.9999999403953552,0.25071364641189575,0.09527470171451569,0.11115726828575134,0.05753090977668762,0.2507040798664093,0.018685534596443176,0.08947348594665527,0.07701964676380157,0.20336422324180603
lamme,0.26444095373153687,0.15066733956336975,0.1834787130355835,0.12444621324539185,0.25071364641189575,1.0,0.018902644515037537,0.16611610352993011,0.17309142649173737,0.2814979553222656,0.1631574183702469,0.12223481386899948,0.09665049612522125,0.10260416567325592
had,0.385026752948761,0.3188965916633606,0.29678046703338623,0.540525496006012,0.1834128499031067,0.23636923730373383,0.20996123552322388,0.32290413975715637,0.3074442148208618,0.3875846862792969,0.1783738136291504,0.35322055220603943,0.19355499744415283,0.20728366076946259
made,0.25271502137184143,0.3407467305660248,0.13611415028572083,0.3068731725215912,0.08913715928792953,0.18144243955612183,0.1838659644126892,0.18288962543010712,0.6038898825645447,0.3885267674922943,0.16079658269882202,0.4597497582435608,0.20268087089061737,0.17218779027462006
great,0.23348836600780487,0.2356490194797516,0.12131180614233017,0.2083706259727478,0.20070534944534302,0.11623258888721466,0.21395090222358704,0.2739826738834381,0.17997390031814575,0.2822027802467346,0.07317596673965454,0.1794394701719284,0.16933168470859528,0.13135133683681488
progress,0.23742039501667023,0.33096322417259216,0.14542722702026367,0.26333895325660706,0.1279679834842682,0.1045708954334259,0.26208817958831787,0.24211546778678894,0.2405218780040741,0.3132456839084625,0.19132524728775024,0.2981032729148865,0.2929895222187042,0.20267242193222046
