,who,proclaimed,the,oil,embargo,?
the,0.3733934462070465,0.24787339568138123,1.0,0.21849922835826874,0.2032013237476349,0.22068053483963013
1973,-0.23028363287448883,-0.08898276090621948,-0.22297891974449158,-0.11623536795377731,-0.15255963802337646,-0.07644321769475937
oil,0.13999517261981964,0.16775386035442352,0.21849922835826874,1.0,0.316433310508728,0.14867261052131653
crisis,0.17522326111793518,0.24965807795524597,0.263981431722641,0.2694509029388428,0.4160068929195404,0.17902959883213043
began,0.1646115779876709,0.2136126458644867,0.3059147596359253,0.15440668165683746,0.18287494778633118,0.1370266228914261
in,0.2792111933231354,0.19771026074886322,0.6662389636039734,0.21800900995731354,0.171186164021492,0.20430970191955566
october,0.2386598140001297,0.26655295491218567,0.2621108889579773,0.12903504073619843,0.21063640713691711,0.29706719517707825
1973,-0.23028363287448883,-0.08898276090621948,-0.22297891974449158,-0.11623536795377731,-0.15255963802337646,-0.07644321769475937
when,0.48282691836357117,0.1780550330877304,0.5091903209686279,0.2048342078924179,0.21684038639068604,0.22841128706932068
the,0.3733934462070465,0.24787339568138123,1.0,0.21849922835826874,0.2032013237476349,0.22068053483963013
members,0.3290669620037079,0.113611601293087,0.3321719169616699,0.08086920529603958,0.1425824612379074,0.10212311148643494
of,0.2827862501144409,0.28142258524894714,0.733189046382904,0.22900764644145966,0.15861348807811737,0.1826142966747284
the,0.3733934462070465,0.24787339568138123,1.0,0.21849922835826874,0.2032013237476349,0.22068053483963013
organization,0.2852892577648163,0.1752183735370636,0.311172217130661,0.10697992146015167,0.2883940637111664,0.2069297879934311
of,0.2827862501144409,0.28142258524894714,0.733189046382904,0.22900764644145966,0.15861348807811737,0.1826142966747284
arab,0.24208176136016846,0.24480941891670227,0.2674407660961151,0.2262253612279892,0.2932206392288208,0.18450474739074707
petroleum,0.15359658002853394,0.1494215726852417,0.2209315299987793,0.6149928569793701,0.3585582971572876,0.1417868286371231
exporting,0.11571477353572845,0.14253897964954376,0.252695232629776,0.35321342945098877,0.42367464303970337,0.17864851653575897
countries,0.3002627491950989,0.17541056871414185,0.33290645480155945,0.24815769493579865,0.2663869261741638,0.15128466486930847
(,0.2443375140428543,0.27626940608024597,0.33289089798927307,0.152932271361351,0.21578672528266907,0.40561532974243164
oapec,0.14635369181632996,0.19138197600841522,0.31918999552726746,0.3052835464477539,0.3089878559112549,0.18202649056911469
",",0.3365725874900818,0.27604129910469055,0.4933079481124878,0.20043784379959106,0.17259633541107178,0.31091248989105225
consisting,0.12026083469390869,0.10311613231897354,0.33371514081954956,0.08354844897985458,0.01660897210240364,0.006223649252206087
of,0.2827862501144409,0.28142258524894714,0.733189046382904,0.22900764644145966,0.15861348807811737,0.1826142966747284
the,0.3733934462070465,0.24787339568138123,1.0,0.21849922835826874,0.2032013237476349,0.22068053483963013
arab,0.24208176136016846,0.24480941891670227,0.2674407660961151,0.2262253612279892,0.2932206392288208,0.18450474739074707
members,0.3290669620037079,0.113611601293087,0.3321719169616699,0.08086920529603958,0.1425824612379074,0.10212311148643494
of,0.2827862501144409,0.28142258524894714,0.733189046382904,0.22900764644145966,0.15861348807811737,0.1826142966747284
opec,0.1152292862534523,0.2333264946937561,0.3102748692035675,0.3863743841648102,0.46237245202064514,0.14867433905601501
plus,0.09440141916275024,0.031796645373106,0.2724461257457733,0.0837235078215599,0.11407382786273956,0.143734410405159
egypt,0.17025555670261383,0.2493194192647934,0.2536296546459198,0.23031578958034515,0.30947965383529663,0.17769601941108704
and,0.41279885172843933,0.1877031922340393,0.5171257257461548,0.19239190220832825,0.17066378891468048,0.20544172823429108
syria,0.16937099397182465,0.26437628269195557,0.25272905826568604,0.2560561001300812,0.3113461434841156,0.1554446816444397
),0.2457384318113327,0.2633610665798187,0.3456730246543884,0.15803109109401703,0.21569138765335083,0.42300865054130554
proclaimed,0.23182880878448486,0.9999998807907104,0.24787339568138123,0.16775386035442352,0.33228206634521484,0.203518345952034
an,0.2848317325115204,0.1293974220752716,0.4207492768764496,0.13089607656002045,0.24449676275253296,0.19793890416622162
oil,0.13999517261981964,0.16775386035442352,0.21849922835826874,1.0,0.316433310508728,0.14867261052131653
embargo,0.0817718654870987,0.33228206634521484,0.2032013237476349,0.316433310508728,1.0,0.21724076569080353
.,0.3541337847709656,0.22951558232307434,0.5934505462646484,0.22117017209529877,0.18229776620864868,0.4130953550338745
