,generally,speaking,",",what,size,are,the,earthquakes,that,hit,southern,california,?
nearly,0.3471270501613617,0.2123863399028778,0.3248783051967621,0.21304303407669067,0.29387402534484863,0.29865899682044983,0.3409946858882904,0.1804012507200241,0.3343394100666046,0.2047841101884842,0.21966657042503357,0.15556450188159943,0.11670064926147461
all,0.42350268363952637,0.28003448247909546,0.425624817609787,0.41981086134910583,0.29749128222465515,0.5343062281608582,0.4860881567001343,0.1827487051486969,0.53305584192276,0.22108301520347595,0.2204534411430359,0.16961248219013214,0.29575422406196594
of,0.3127037584781647,0.3102818429470062,0.4946078956127167,0.33290785551071167,0.27599775791168213,0.39081433415412903,0.733189046382904,0.2537720203399658,0.41498205065727234,0.1960723102092743,0.31933003664016724,0.24929828941822052,0.1826142966747284
them,0.3869180977344513,0.2513541579246521,0.3985835015773773,0.4994642734527588,0.19849534332752228,0.5206625461578369,0.4788833558559418,0.22045980393886566,0.5601773262023926,0.21787239611148834,0.18198458850383759,0.18119117617607117,0.35435691475868225
are,0.5254502892494202,0.31142622232437134,0.4062570035457611,0.29724663496017456,0.25654396414756775,1.0,0.40399202704429626,0.20533175766468048,0.45265161991119385,0.15453101694583893,0.18306338787078857,0.17678135633468628,0.24591213464736938
so,0.4427433907985687,0.21196241676807404,0.3716299831867218,0.539469838142395,0.24273470044136047,0.420413613319397,0.4296516180038452,0.18329687416553497,0.6779842376708984,0.25569355487823486,0.17645439505577087,0.1453118473291397,0.43163934350013733
small,0.3449400067329407,0.2267640382051468,0.3083299398422241,0.2504110634326935,0.46566784381866455,0.3959871232509613,0.39655908942222595,0.1734551042318344,0.351526141166687,0.20245620608329773,0.1988830417394638,0.1710854321718216,0.13914890587329865
that,0.4812265634536743,0.2573334574699402,0.4137537479400635,0.6297725439071655,0.3037673830986023,0.45265161991119385,0.5473989248275757,0.2691258490085602,1.0,0.23079267144203186,0.22864879667758942,0.18610765039920807,0.32716336846351624
they,0.4530896842479706,0.27251648902893066,0.390799880027771,0.4431931674480438,0.2160138636827469,0.610666811466217,0.49925389885902405,0.19615648686885834,0.5710820555686951,0.19807180762290955,0.2139921486377716,0.1922324299812317,0.2753053903579712
are,0.5254502892494202,0.31142622232437134,0.4062570035457611,0.29724663496017456,0.25654396414756775,1.0,0.40399202704429626,0.20533175766468048,0.45265161991119385,0.15453101694583893,0.18306338787078857,0.17678135633468628,0.24591213464736938
not,0.4818459153175354,0.26635676622390747,0.3769696354866028,0.5449194312095642,0.28522756695747375,0.46186959743499756,0.4310511648654938,0.16603107750415802,0.6600887179374695,0.17276939749717712,0.14804132282733917,0.15390560030937195,0.41942933201789856
felt,0.2994004786014557,0.23301303386688232,0.22533172369003296,0.31107643246650696,0.10096774250268936,0.15309278666973114,0.28054580092430115,0.29126450419425964,0.4182562828063965,0.2231392115354538,0.14920532703399658,0.19052641093730927,0.17489777505397797
.,0.3124077022075653,0.28463831543922424,0.6812511086463928,0.3567904531955719,0.30260366201400757,0.3452940285205841,0.5934505462646484,0.266614705324173,0.4460422694683075,0.25226855278015137,0.26629969477653503,0.2870451807975769,0.4130953550338745
