,where,do,many,merchants,and,explorers,go,?
throughout,0.34492164850234985,0.1495947390794754,0.4781026542186737,0.1899510622024536,0.36296960711479187,0.19304676353931427,0.17550933361053467,0.12665234506130219
the,0.5003893971443176,0.30239659547805786,0.4335206151008606,0.25689056515693665,0.5171257257461548,0.28221753239631653,0.29801803827285767,0.22068053483963013
centuries,0.21223895251750946,0.17128124833106995,0.370494544506073,0.36980679631233215,0.29204583168029785,0.3346470892429352,0.1530284434556961,0.13179439306259155
",",0.3149496018886566,0.3283645510673523,0.40610817074775696,0.22851082682609558,0.6633074283599854,0.21071434020996094,0.3043581247329712,0.31091248989105225
the,0.5003893971443176,0.30239659547805786,0.4335206151008606,0.25689056515693665,0.5171257257461548,0.28221753239631653,0.29801803827285767,0.22068053483963013
kenyan,0.14668767154216766,0.13492055237293243,0.15799570083618164,0.08641743659973145,0.21030722558498383,0.17532193660736084,0.09515843540430069,0.1738916039466858
coast,0.253967821598053,0.16845616698265076,0.20054754614830017,0.31471043825149536,0.2847609519958496,0.3007005453109741,0.14639237523078918,0.15869849920272827
has,0.32190436124801636,0.22084827721118927,0.4266262650489807,0.18912218511104584,0.43716782331466675,0.1461285799741745,0.17295274138450623,0.15994466841220856
played,0.20490321516990662,0.127910777926445,0.18853145837783813,0.13262270390987396,0.268975168466568,0.15738987922668457,0.17984770238399506,0.14096300303936005
host,0.21427305042743683,0.16446317732334137,0.2232399731874466,0.12053761631250381,0.2797408998012543,0.14786185324192047,0.10168880224227905,0.1021634042263031
to,0.47735077142715454,0.38876664638519287,0.40243685245513916,0.27027255296707153,0.48971283435821533,0.2551800012588501,0.384844571352005,0.29463258385658264
many,0.4338301420211792,0.38738366961479187,0.9999999403953552,0.30197596549987793,0.5296266674995422,0.2896399199962616,0.2443365454673767,0.2124512493610382
merchants,0.2588569223880768,0.1469467133283615,0.30197596549987793,1.0,0.3086891770362854,0.3340926766395569,0.177104651927948,0.0864284485578537
and,0.43859338760375977,0.276123583316803,0.5296266674995422,0.3086891770362854,1.0,0.24983742833137512,0.35260969400405884,0.20544172823429108
explorers,0.2030799835920334,0.19254551827907562,0.2896399199962616,0.3340926766395569,0.24983742833137512,0.9999999403953552,0.20181019604206085,0.0753735601902008
.,0.41390106081962585,0.3613996207714081,0.3974229395389557,0.2153158187866211,0.588965117931366,0.18586455285549164,0.3313661813735962,0.4130953550338745
