,what,party,is,strongest,in,melbourne,'s,affluent,areas,?
the,0.42745697498321533,0.23779736459255219,0.5823672413825989,0.3046645522117615,0.6662389636039734,0.2464369535446167,-0.01540423184633255,0.28431323170661926,0.3311663568019867,0.22068053483963013
centre-left,0.25909358263015747,0.28173550963401794,0.2861068546772003,0.22104215621948242,0.26826927065849304,0.26983195543289185,-0.009773187339305878,0.25202691555023193,0.37974750995635986,0.17718930542469025
australian,0.13873113691806793,0.17602510750293732,0.1682673692703247,0.11699087172746658,0.1796053647994995,0.5590357780456543,0.06212134659290314,0.11938410252332687,0.1272033452987671,0.10848008096218109
labor,0.1943984031677246,0.4551692605018616,0.13817991316318512,0.19637265801429749,0.1950610727071762,0.2691713869571686,0.11055656522512436,0.11927207559347153,0.17364881932735443,0.19386747479438782
party,0.2398013323545456,0.9999999403953552,0.1756078004837036,0.25214847922325134,0.20446790754795074,0.20605561137199402,0.02531869150698185,0.1719747930765152,0.17073777318000793,0.19031576812267303
(,0.2411840260028839,0.1743791401386261,0.35393038392066956,0.1914849430322647,0.3087427020072937,0.12324028462171555,0.0012731997994706035,0.18719646334648132,0.19302652776241302,0.40561532974243164
alp,0.11326020956039429,0.4457589089870453,0.08307643979787827,0.21343658864498138,0.15557928383350372,0.28240102529525757,0.011002324521541595,0.1814609169960022,0.1263355016708374,0.08871067315340042
),0.26259949803352356,0.2047169804573059,0.37732169032096863,0.19373393058776855,0.3326910734176636,0.1379893720149994,0.021107977256178856,0.21907062828540802,0.1629660278558731,0.42300865054130554
",",0.3087472915649414,0.21963930130004883,0.4691906273365021,0.2481238842010498,0.5201468467712402,0.18849031627178192,-0.0016132977325469255,0.2887665927410126,0.2789289653301239,0.31091248989105225
the,0.42745697498321533,0.23779736459255219,0.5823672413825989,0.3046645522117615,0.6662389636039734,0.2464369535446167,-0.01540423184633255,0.28431323170661926,0.3311663568019867,0.22068053483963013
centre-right,0.33276161551475525,0.2659144997596741,0.3292903006076813,0.23828116059303284,0.27665138244628906,0.296825647354126,-0.02044862136244774,0.28493326902389526,0.3413721024990082,0.2603051960468292
liberal,0.20277564227581024,0.5935624241828918,0.12604059278964996,0.21783804893493652,0.1513776332139969,0.21246570348739624,-0.03906174749135971,0.24373982846736908,0.17955505847930908,0.13139645755290985
party,0.2398013323545456,0.9999999403953552,0.1756078004837036,0.25214847922325134,0.20446790754795074,0.20605561137199402,0.02531869150698185,0.1719747930765152,0.17073777318000793,0.19031576812267303
of,0.33290785551071167,0.23662418127059937,0.4854315221309662,0.27349069714546204,0.5696388483047485,0.1963735967874527,-0.03817026689648628,0.3012096583843231,0.2803763747215271,0.1826142966747284
australia,0.1913539320230484,0.25781694054603577,0.1734699010848999,0.1913454234600067,0.2697675824165344,0.6183432340621948,0.040361400693655014,0.09569331258535385,0.21897336840629578,0.15702682733535767
",",0.3087472915649414,0.21963930130004883,0.4691906273365021,0.2481238842010498,0.5201468467712402,0.18849031627178192,-0.0016132977325469255,0.2887665927410126,0.2789289653301239,0.31091248989105225
the,0.42745697498321533,0.23779736459255219,0.5823672413825989,0.3046645522117615,0.6662389636039734,0.2464369535446167,-0.01540423184633255,0.28431323170661926,0.3311663568019867,0.22068053483963013
rural-based,0.2925647795200348,0.2442495971918106,0.2981930077075958,0.18260811269283295,0.3824307918548584,0.27161532640457153,0.11010856181383133,0.3176932632923126,0.37037989497184753,0.2439529448747635
national,0.16882304847240448,0.2879488468170166,0.23413582146167755,0.20582537353038788,0.28915393352508545,0.18997915089130402,-0.05226261913776398,0.19120821356773376,0.1970825046300888,0.15643028914928436
