,who,normally,manages,a,construction,job,?
large-scale,0.13869436085224152,0.3546515107154846,0.12092769891023636,0.34100890159606934,0.3772774040699005,0.11109139025211334,0.238608717918396
construction,0.08125896006822586,0.14357687532901764,0.16805893182754517,0.25036895275115967,1.0,0.1871495544910431,0.13494056463241577
requires,0.1012532189488411,0.37318485975265503,0.2502927780151367,0.322436660528183,0.18502922356128693,0.21890920400619507,0.26020103693008423
collaboration,0.2226812094449997,0.05080660060048103,0.15652823448181152,0.22311267256736755,0.27832648158073425,0.22392846643924713,0.23211127519607544
across,0.23016521334648132,0.19315525889396667,0.2490231692790985,0.2660536468029022,0.2103009968996048,0.07564890384674072,0.17034576833248138
multiple,0.18654736876487732,0.2895219624042511,0.10529185831546783,0.23904410004615784,0.16719700396060944,0.06772615015506744,0.1591399908065796
disciplines,0.2038067728281021,0.16703635454177856,0.14391513168811798,0.22217227518558502,0.2797528803348541,0.2402157187461853,0.09589282423257828
.,0.3541337847709656,0.33750930428504944,0.2349214106798172,0.50484299659729,0.23682771623134613,0.2807863652706146,0.4130953550338745
,who,normally,manages,a,construction,job,?
an,0.2848317325115204,0.20402824878692627,0.15534301102161407,0.44552403688430786,0.13825856149196625,0.16033436357975006,0.19793890416622162
architect,0.23530325293540955,0.02282947301864624,0.18568842113018036,0.15499725937843323,0.38390594720840454,0.18414755165576935,0.11996878683567047
normally,0.27320173382759094,1.0,0.17803770303726196,0.37473243474960327,0.14357687532901764,0.22933979332447052,0.20675471425056458
manages,0.2819932997226715,0.17803770303726196,1.0,0.306881308555603,0.16805893182754517,0.31082791090011597,0.10891501605510712
the,0.3733934462070465,0.3523634970188141,0.2700745761394501,0.5829201340675354,0.2671978175640106,0.24242734909057617,0.22068053483963013
job,0.3535488247871399,0.22933979332447052,0.31082791090011597,0.2834402620792389,0.1871495544910431,1.0,0.22160480916500092
",",0.3365725874900818,0.28092333674430847,0.24041013419628143,0.427140474319458,0.23704268038272858,0.27190712094306946,0.31091248989105225
and,0.41279885172843933,0.3715205192565918,0.3253004252910614,0.3739250600337982,0.22762417793273926,0.2592610716819763,0.20544172823429108
a,0.36608949303627014,0.37473243474960327,0.306881308555603,1.0,0.25036895275115967,0.2834402620792389,0.23916715383529663
construction,0.08125896006822586,0.14357687532901764,0.16805893182754517,0.25036895275115967,1.0,0.1871495544910431,0.13494056463241577
manager,0.22238492965698242,0.10386653244495392,0.617095947265625,0.2452516406774521,0.17752067744731903,0.2873273193836212,0.11875338107347488
",",0.3365725874900818,0.28092333674430847,0.24041013419628143,0.427140474319458,0.23704268038272858,0.27190712094306946,0.31091248989105225
design,0.12787467241287231,0.1493060141801834,0.18250295519828796,0.25211480259895325,0.44344785809516907,0.22826236486434937,0.16351860761642456
engineer,0.24997320771217346,0.08988197147846222,0.16080236434936523,0.2112695723772049,0.29536160826683044,0.23721487820148468,0.12995383143424988
",",0.3365725874900818,0.28092333674430847,0.24041013419628143,0.427140474319458,0.23704268038272858,0.27190712094306946,0.31091248989105225
construction,0.08125896006822586,0.14357687532901764,0.16805893182754517,0.25036895275115967,1.0,0.1871495544910431,0.13494056463241577
engineer,0.24997320771217346,0.08988197147846222,0.16080236434936523,0.2112695723772049,0.29536160826683044,0.23721487820148468,0.12995383143424988
or,0.31144875288009644,0.5445803999900818,0.2145392894744873,0.48853766918182373,0.20974527299404144,0.20071177184581757,0.32389625906944275
project,0.2255522608757019,0.1666128933429718,0.20909550786018372,0.2328382134437561,0.39453527331352234,0.24513015151023865,0.30569031834602356
manager,0.22238492965698242,0.10386653244495392,0.617095947265625,0.2452516406774521,0.17752067744731903,0.2873273193836212,0.11875338107347488
supervises,0.3206116855144501,0.24988646805286407,0.3900139331817627,0.22640126943588257,0.29196563363075256,0.39914900064468384,0.16277171671390533
it,0.2868398427963257,0.41406571865081787,0.143654003739357,0.5452592968940735,0.22723008692264557,0.23606760799884796,0.25732165575027466
.,0.3541337847709656,0.33750930428504944,0.2349214106798172,0.50484299659729,0.23682771623134613,0.2807863652706146,0.4130953550338745
