,what,was,warsaw,the,most,diverse,of,in,poland,?
demographically,0.1859324723482132,0.160115584731102,0.10928880423307419,0.3391856253147125,0.2982741594314575,0.3765513300895691,0.2742146849632263,0.24307943880558014,0.15286141633987427,0.17996186017990112
",",0.3087472915649414,0.45456063747406006,0.25300899147987366,0.4933079481124878,0.3636029064655304,0.21496160328388214,0.4946078956127167,0.5201468467712402,0.2751549184322357,0.31091248989105225
it,0.45803478360176086,0.4577186405658722,0.1582006961107254,0.6251175999641418,0.4001435935497284,0.25101202726364136,0.38761502504348755,0.5130809545516968,0.2027914971113205,0.25732165575027466
was,0.22111038863658905,1.0000001192092896,0.2614976763725281,0.48711544275283813,0.29933857917785645,0.13975346088409424,0.4069072902202606,0.45514053106307983,0.19694356620311737,0.18412111699581146
the,0.42745697498321533,0.48711544275283813,0.23137180507183075,1.0,0.47635307908058167,0.2793438136577606,0.733189046382904,0.6662389636039734,0.24871079623699188,0.22068053483963013
most,0.3219912350177765,0.29933857917785645,0.06817606836557388,0.47635307908058167,1.0,0.3306063413619995,0.4178851246833801,0.41416558623313904,0.15508009493350983,0.2107497900724411
diverse,0.18528151512145996,0.13975346088409424,0.09685073792934418,0.2793438136577606,0.3306063413619995,1.0000001192092896,0.27690666913986206,0.1994941383600235,0.14460591971874237,0.07389035075902939
city,0.17493832111358643,0.3188765048980713,0.25006377696990967,0.35769423842430115,0.24853192269802094,0.15243062376976013,0.32503411173820496,0.3911624252796173,0.1585082858800888,0.13423943519592285
in,0.30808621644973755,0.45514053106307983,0.22642600536346436,0.6662389636039734,0.41416558623313904,0.1994941383600235,0.5696388483047485,1.0,0.2887791395187378,0.20430970191955566
poland,0.16095873713493347,0.19694356620311737,0.6352760195732117,0.24871079623699188,0.15508009493350983,0.14460591971874237,0.26632049679756165,0.2887791395187378,0.9999999403953552,0.14259830117225647
",",0.3087472915649414,0.45456063747406006,0.25300899147987366,0.4933079481124878,0.3636029064655304,0.21496160328388214,0.4946078956127167,0.5201468467712402,0.2751549184322357,0.31091248989105225
with,0.2464839518070221,0.27411898970603943,0.15415489673614502,0.4223487675189972,0.336320698261261,0.14349991083145142,0.41827285289764404,0.4080928862094879,0.15625040233135223,0.2433311939239502
significant,0.24268144369125366,0.187061607837677,0.18475955724716187,0.35524800419807434,0.35977789759635925,0.30644410848617554,0.318554162979126,0.3551969528198242,0.13551115989685059,0.18679562211036682
numbers,0.24586999416351318,0.13953587412834167,0.18108688294887543,0.293011337518692,0.2433660328388214,0.30396130681037903,0.228018656373024,0.23087690770626068,0.14689332246780396,0.19297972321510315
of,0.33290785551071167,0.4069072902202606,0.19253842532634735,0.733189046382904,0.4178851246833801,0.27690666913986206,1.0,0.5696388483047485,0.26632049679756165,0.1826142966747284
foreign-born,0.23258516192436218,0.30446407198905945,0.3139432668685913,0.354115754365921,0.2666587233543396,0.26044121384620667,0.33129265904426575,0.329030305147171,0.3375799357891083,0.20304131507873535
inhabitants,0.14762155711650848,0.2085801661014557,0.19971264898777008,0.2644902467727661,0.2225593775510788,0.2028113752603531,0.26628780364990234,0.29904377460479736,0.20965072512626648,0.1312350630760193
.,0.3567904531955719,0.40146201848983765,0.26825499534606934,0.5934505462646484,0.35404038429260254,0.19848167896270752,0.5352458953857422,0.5591574311256409,0.2872875928878784,0.4130953550338745
