,who,is,known,as,the,first,keeper,of,fine,art,collection,at,the,v,&,a,?
in,0.2792111933231354,0.5394441485404968,0.32641831040382385,0.3887844979763031,0.6662389636039734,0.4127444326877594,0.21225577592849731,0.5696388483047485,0.24146175384521484,0.2282189577817917,0.23004686832427979,0.4374977946281433,0.6662389636039734,0.15216681361198425,0.1358654648065567,0.539380669593811,0.20430970191955566
these,0.34544891119003296,0.2498808652162552,0.2789614498615265,0.3802948296070099,0.49086877703666687,0.27486658096313477,0.08200915902853012,0.42684608697891235,0.23499789834022522,0.1676383912563324,0.2830673158168793,0.2638600766658783,0.49086877703666687,0.13913843035697937,0.17527756094932556,0.24380075931549072,0.2571668326854706
early,0.23985694348812103,0.18880519270896912,0.2710604667663574,0.2809016704559326,0.34442198276519775,0.4007106125354767,0.16330493986606598,0.30937549471855164,0.25297534465789795,0.21003977954387665,0.28198525309562683,0.2549361288547516,0.34442198276519775,0.09048905223608017,0.035171207040548325,0.2710886299610138,0.15272949635982513
years,0.29867154359817505,0.19551363587379456,0.2360212802886963,0.234328031539917,0.2912273406982422,0.2958037853240967,0.1756834089756012,0.2904134690761566,0.19357933104038239,0.1524386703968048,0.1788054257631302,0.2851444482803345,0.2912273406982422,0.15056827664375305,0.0772986188530922,0.23773819208145142,0.1914375126361847
the,0.3733934462070465,0.5823672413825989,0.3624623417854309,0.48381632566452026,1.0,0.49448907375335693,0.199326753616333,0.733189046382904,0.21014350652694702,0.20297785103321075,0.25281965732574463,0.457212895154953,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.22068053483963013
practical,0.2100146859884262,0.1970025897026062,0.17696082592010498,0.2604967951774597,0.22487887740135193,0.20614096522331238,0.18168272078037262,0.2982906401157379,0.2305176854133606,0.2165682166814804,0.25233668088912964,0.1767086237668991,0.22487887740135193,0.09613876789808273,0.14706549048423767,0.2746756970882416,0.19861027598381042
use,0.2265424281358719,0.3357410430908203,0.22469715774059296,0.3453201949596405,0.34342584013938904,0.3305151164531708,0.17910133302211761,0.2750902473926544,0.2185480296611786,0.1492377519607544,0.16388434171676636,0.22117964923381805,0.34342584013938904,0.12898752093315125,0.1026131808757782,0.30793872475624084,0.32795652747154236
of,0.2827862501144409,0.4854315221309662,0.35814476013183594,0.3886612355709076,0.733189046382904,0.3536086082458496,0.18689848482608795,1.0,0.2549513578414917,0.22648051381111145,0.2915455996990204,0.42558613419532776,0.733189046382904,0.1655031144618988,0.19900451600551605,0.5052502155303955,0.1826142966747284
the,0.3733934462070465,0.5823672413825989,0.3624623417854309,0.48381632566452026,1.0,0.49448907375335693,0.199326753616333,0.733189046382904,0.21014350652694702,0.20297785103321075,0.25281965732574463,0.457212895154953,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.22068053483963013
collection,0.11647152900695801,0.21135231852531433,0.20515954494476318,0.23568034172058105,0.25281965732574463,0.22156007587909698,0.19951766729354858,0.2915455996990204,0.2388797551393509,0.3446033000946045,0.9999998807907104,0.15476343035697937,0.25281965732574463,0.11078842729330063,0.18749947845935822,0.24716788530349731,0.20069393515586853
was,0.3318818509578705,0.5810302495956421,0.35203275084495544,0.3677520453929901,0.48711544275283813,0.5022147297859192,0.19729356467723846,0.4069072902202606,0.16196902096271515,0.20564036071300507,0.1743653565645218,0.36707764863967896,0.48711544275283813,0.16128918528556824,0.12134000658988953,0.4508470594882965,0.18412111699581146
very,0.34641316533088684,0.3671363294124603,0.2987932860851288,0.3734530210494995,0.34171217679977417,0.25814202427864075,0.16488336026668549,0.34437474608421326,0.26136723160743713,0.12373092770576477,0.15334337949752808,0.31395775079727173,0.34171217679977417,0.14943359792232513,0.11063122749328613,0.45312565565109253,0.20864155888557434
