,what,are,presented,to,parliament,in,addition,to,the,bill,itself,?
stage,0.15168409049510956,0.168104350566864,0.12981778383255005,0.1484832912683487,0.22801706194877625,0.2011467069387436,0.1376786082983017,0.1484832912683487,0.22652170062065125,0.24478907883167267,0.12877841293811798,0.14916576445102692
1,-0.21266892552375793,-0.2175680249929428,-0.2394443154335022,-0.2769182622432709,-0.13962455093860626,-0.10660158097743988,-0.2214365303516388,-0.2769182622432709,-0.1554475575685501,-0.20772047340869904,-0.181074857711792,-0.249979168176651
is,0.28837618231773376,0.5330929756164551,0.22408393025398254,0.42745086550712585,0.19676777720451355,0.5394441485404968,0.2727152407169342,0.42745086550712585,0.5823672413825989,0.16088230907917023,0.3638126254081726,0.22961433231830597
the,0.42745697498321533,0.40399202704429626,0.3251480758190155,0.535392165184021,0.26521381735801697,0.6662389636039734,0.32955414056777954,0.535392165184021,1.0,0.24155211448669434,0.45971640944480896,0.22068053483963013
first,0.28086137771606445,0.20306691527366638,0.28706470131874084,0.3792489171028137,0.19317375123500824,0.4127444326877594,0.2349480837583542,0.3792489171028137,0.49448907375335693,0.21115930378437042,0.24252161383628845,0.18701928853988647
",",0.3087472915649414,0.4062570035457611,0.28443270921707153,0.44245919585227966,0.25442883372306824,0.5201468467712402,0.3040202856063843,0.44245919585227966,0.4933079481124878,0.2472437173128128,0.2783147692680359,0.31091248989105225
or,0.33867141604423523,0.5374364256858826,0.1976616382598877,0.38921234011650085,0.209258034825325,0.3586423695087433,0.2914023995399475,0.38921234011650085,0.4174870550632477,0.1616130769252777,0.3667561411857605,0.32389625906944275
introductory,0.21065180003643036,0.1819392591714859,0.27444392442703247,0.24730584025382996,0.163726806640625,0.15536656975746155,0.31504637002944946,0.24730584025382996,0.21686407923698425,0.12600861489772797,0.21572482585906982,0.26533904671669006
stage,0.15168409049510956,0.168104350566864,0.12981778383255005,0.1484832912683487,0.22801706194877625,0.2011467069387436,0.1376786082983017,0.1484832912683487,0.22652170062065125,0.24478907883167267,0.12877841293811798,0.14916576445102692
of,0.33290785551071167,0.39081433415412903,0.30231305956840515,0.41548454761505127,0.2885259687900543,0.5696388483047485,0.27503931522369385,0.41548454761505127,0.733189046382904,0.17127205431461334,0.3157202899456024,0.1826142966747284
the,0.42745697498321533,0.40399202704429626,0.3251480758190155,0.535392165184021,0.26521381735801697,0.6662389636039734,0.32955414056777954,0.535392165184021,1.0,0.24155211448669434,0.45971640944480896,0.22068053483963013
bill,0.16425743699073792,0.11081905663013458,0.26074129343032837,0.17981381714344025,0.2732408940792084,0.1447519063949585,0.14958815276622772,0.17981381714344025,0.24155211448669434,0.9999999403953552,0.12180978059768677,0.12855131924152374
",",0.3087472915649414,0.4062570035457611,0.28443270921707153,0.44245919585227966,0.25442883372306824,0.5201468467712402,0.3040202856063843,0.44245919585227966,0.4933079481124878,0.2472437173128128,0.2783147692680359,0.31091248989105225
where,0.4457937180995941,0.32389864325523376,0.18949945271015167,0.47735077142715454,0.14109039306640625,0.5344807505607605,0.29059985280036926,0.47735077142715454,0.5003893971443176,0.07978735119104385,0.3078632354736328,0.24793872237205505
the,0.42745697498321533,0.40399202704429626,0.3251480758190155,0.535392165184021,0.26521381735801697,0.6662389636039734,0.32955414056777954,0.535392165184021,1.0,0.24155211448669434,0.45971640944480896,0.22068053483963013
minister,0.1705908179283142,0.11621653288602829,0.14730513095855713,0.17637476325035095,0.46939271688461304,0.19794908165931702,0.09874006360769272,0.17637476325035095,0.19297581911087036,0.15441226959228516,0.14151127636432648,0.10825661569833755
or,0.33867141604423523,0.5374364256858826,0.1976616382598877,0.38921234011650085,0.209258034825325,0.3586423695087433,0.2914023995399475,0.38921234011650085,0.4174870550632477,0.1616130769252777,0.3667561411857605,0.32389625906944275
member,0.09932345896959305,0.16299262642860413,0.24066706001758575,0.19456195831298828,0.3747406303882599,0.20856694877147675,0.20415005087852478,0.19456195831298828,0.2806392312049866,0.17437314987182617,0.11015656590461731,0.06826172769069672
in,0.30808621644973755,0.3841303884983063,0.3047972023487091,0.45010748505592346,0.2323146015405655,1.0,0.3033084571361542,0.45010748505592346,0.6662389636039734,0.1447519063949585,0.28042417764663696,0.20430970191955566
charge,0.23255030810832977,0.16401518881320953,0.14038021862506866,0.22747951745986938,0.27963823080062866,0.22046200931072235,0.2439553439617157,0.22747951745986938,0.2730984687805176,0.08953560143709183,0.15924391150474548,0.0958876758813858
