,what,is,the,weight,of,a,bushel,of,coal,in,pounds,?
duty,0.2920939326286316,0.18199297785758972,0.18581759929656982,0.1879141926765442,0.19598819315433502,0.19311612844467163,0.13088734447956085,0.19598819315433502,0.24423068761825562,0.19133710861206055,0.17575380206108093,0.20404963195323944
is,0.28837618231773376,1.0,0.5823672413825989,0.21179518103599548,0.4854315221309662,0.658733606338501,0.1815902143716812,0.4854315221309662,0.2040661871433258,0.5394441485404968,0.18523307144641876,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,1.0,0.19469641149044037,0.733189046382904,0.5829201340675354,0.17781008780002594,0.733189046382904,0.23263108730316162,0.6662389636039734,0.18430368602275848,0.22068053483963013
number,0.23046229779720306,0.22390379011631012,0.35145696997642517,0.3023114800453186,0.2778518795967102,0.2992287278175354,0.17292052507400513,0.2778518795967102,0.16409075260162354,0.3024539053440094,0.22450041770935059,0.19256845116615295
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.1631830334663391,1.0,0.5052502155303955,0.12216079980134964,1.0,0.2543368637561798,0.5696388483047485,0.16210339963436127,0.1826142966747284
foot-pounds,0.26403194665908813,0.3180563151836395,0.3243178427219391,0.4452590048313141,0.28849712014198303,0.336031049489975,0.36360985040664673,0.28849712014198303,0.29296910762786865,0.2788471579551697,0.7670810222625732,0.2460184097290039
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.1631830334663391,1.0,0.5052502155303955,0.12216079980134964,1.0,0.2543368637561798,0.5696388483047485,0.16210339963436127,0.1826142966747284
work,0.3762225806713104,0.22475390136241913,0.2704800069332123,0.16996298730373383,0.23473061621189117,0.266241192817688,0.10083208233118057,0.23473061621189117,0.17397771775722504,0.2753349542617798,0.1296652853488922,0.2621155381202698
delivered,0.15653006732463837,0.15442995727062225,0.24479162693023682,0.19427801668643951,0.17907582223415375,0.2538176476955414,0.18521501123905182,0.17907582223415375,0.11443088948726654,0.17497003078460693,0.28738412261009216,0.17044389247894287
by,0.2455483376979828,0.3899846076965332,0.4408751428127289,0.1414179503917694,0.3646814823150635,0.32094135880470276,0.172214537858963,0.3646814823150635,0.15911230444908142,0.370934396982193,0.1193813681602478,0.17966607213020325
burning,0.21885274350643158,0.1743689775466919,0.2821531891822815,0.14972832798957825,0.26340749859809875,0.2315863072872162,0.2338194102048874,0.26340749859809875,0.3530561327934265,0.25352632999420166,0.14805321395397186,0.18033187091350555
one,0.376489520072937,0.4544198513031006,0.5514441132545471,0.22859367728233337,0.4999135136604309,0.4910551905632019,0.1323077231645584,0.4999135136604309,0.18064990639686584,0.4129433035850525,0.2758353054523468,0.2673267424106598
bushel,0.14350932836532593,0.1815902143716812,0.17781008780002594,0.21309594810009003,0.12216079980134964,0.22521090507507324,1.0,0.12216079980134964,0.33074432611465454,0.18137191236019135,0.30958813428878784,0.1325690895318985
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.16016703844070435,0.35032153129577637,0.3206180930137634,0.17315088212490082,0.35032153129577637,0.11681224405765533,0.3087427020072937,0.18413324654102325,0.40561532974243164
94,0.1384034901857376,0.20781663060188293,0.14530721306800842,0.12113336473703384,0.11767832934856415,0.237704336643219,0.17146103084087372,0.11767832934856415,0.07583826780319214,0.1893555223941803,0.09345781803131104,0.17596367001533508
pounds,0.16925819218158722,0.18523307144641876,0.18430368602275848,0.508823037147522,0.16210339963436127,0.23494836688041687,0.30958813428878784,0.16210339963436127,0.16750189661979675,0.1508542150259018,0.9999999403953552,0.1807934194803238
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.17326390743255615,0.3680361211299896,0.3640355169773102,0.18064036965370178,0.3680361211299896,0.11545689404010773,0.3326910734176636,0.174909308552742,0.42300865054130554
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.1631830334663391,1.0,0.5052502155303955,0.12216079980134964,1.0,0.2543368637561798,0.5696388483047485,0.16210339963436127,0.1826142966747284
coal,0.15859243273735046,0.2040661871433258,0.23263108730316162,0.17394116520881653,0.2543368637561798,0.21951504051685333,0.33074432611465454,0.2543368637561798,1.0,0.25431546568870544,0.16750189661979675,0.10339318215847015
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2202748954296112,0.5352458953857422,0.50484299659729,0.21713167428970337,0.5352458953857422,0.16755032539367676,0.5591574311256409,0.24242696166038513,0.4130953550338745
