,how,much,success,did,this,expedition,with,braddock,find,?
braddock,0.1561882346868515,0.14929088950157166,0.17417481541633606,0.19718754291534424,0.13698339462280273,0.3435863256454468,0.1973833292722702,1.0,0.19738326966762543,0.1826469451189041
(,0.1676948219537735,0.21788647770881653,0.10059408843517303,0.18979617953300476,0.3388223350048065,0.1230628564953804,0.29503780603408813,0.2561890184879303,0.20498861372470856,0.40561532974243164
with,0.3525622487068176,0.2808258831501007,0.22418677806854248,0.25472134351730347,0.36358317732810974,0.15766257047653198,0.9999999403953552,0.1973833292722702,0.24964970350265503,0.2433311939239502
george,0.1392437070608139,0.13469929993152618,0.17565621435642242,0.238631471991539,0.16122764348983765,0.2051403522491455,0.1701948642730713,0.3985333740711212,0.08155333995819092,0.1479024887084961
washington,0.17687775194644928,0.14370253682136536,0.13228461146354675,0.19649098813533783,0.18470977246761322,0.17923389375209808,0.1870277225971222,0.32378020882606506,0.12385599315166473,0.157786026597023
as,0.33782753348350525,0.36514025926589966,0.23974087834358215,0.3596470057964325,0.43993282318115234,0.15791034698486328,0.40387406945228577,0.33262336254119873,0.2992802858352661,0.27043893933296204
one,0.3213292360305786,0.3110751807689667,0.2700398564338684,0.27659472823143005,0.4978463351726532,0.16816674172878265,0.3855307400226593,0.21516630053520203,0.28831586241722107,0.2673267424106598
of,0.2480744868516922,0.2671096920967102,0.20485365390777588,0.2513895630836487,0.45148900151252747,0.18468376994132996,0.41827285289764404,0.22112226486206055,0.2276865392923355,0.1826142966747284
his,0.24614305794239044,0.23178109526634216,0.329776406288147,0.3546801507472992,0.3549620509147644,0.31628188490867615,0.33836179971694946,0.3150522708892822,0.21452046930789948,0.18075084686279297
aides,0.19645266234874725,0.1964256465435028,0.162156343460083,0.14365537464618683,0.20391827821731567,0.3033374845981598,0.22537623345851898,0.3524450659751892,0.20653106272220612,0.08710318803787231
),0.17939934134483337,0.22256317734718323,0.12044725567102432,0.18584993481636047,0.3621573746204376,0.13265575468540192,0.3069596290588379,0.24500976502895355,0.19802898168563843,0.42300865054130554
led,0.15437260270118713,0.2003251314163208,0.30430033802986145,0.3213953971862793,0.2688283920288086,0.409701406955719,0.27114903926849365,0.2662702202796936,0.07808329910039902,0.09273858368396759
about,0.44264400005340576,0.42681634426116943,0.13713060319423676,0.28723078966140747,0.3886062204837799,0.19075018167495728,0.3347385823726654,0.14102663099765778,0.26128220558166504,0.302409827709198
"1,500",0.016483573243021965,0.044598523527383804,0.035479575395584106,-0.02941513992846012,0.17978666722774506,-0.07129887491464615,-0.004534389823675156,0.05452120304107666,0.03858887031674385,0.13783086836338043
army,0.13502483069896698,0.2189490646123886,0.14183002710342407,0.21148359775543213,0.2333749532699585,0.4023039638996124,0.14974439144134521,0.30646201968193054,0.1213151216506958,0.180583193898201
troops,0.10607875138521194,0.18381060659885406,0.13708195090293884,0.2146090567111969,0.22423984110355377,0.3631868362426758,0.1365993618965149,0.3287643492221832,0.11502796411514282,0.14329779148101807
and,0.33647966384887695,0.38395699858665466,0.2493283897638321,0.34479495882987976,0.42353692650794983,0.21988366544246674,0.5477725267410278,0.28598496317863464,0.3228435218334198,0.20544172823429108
provincial,0.11071878671646118,0.16256678104400635,0.06025256589055061,0.08346007764339447,0.1471678763628006,0.16580916941165924,0.17000211775302887,0.1143796369433403,0.032638173550367355,0.11250471323728561
militia,0.15412473678588867,0.1869141012430191,0.10746951401233673,0.2361917346715927,0.2039310187101364,0.3391701877117157,0.1580425500869751,0.3286266624927521,0.127614364027977,0.16097775101661682
on,0.32655060291290283,0.2834896147251129,0.20526273548603058,0.2670976221561432,0.4193967580795288,0.21539552509784698,0.40749499201774597,0.22984135150909424,0.22746877372264862,0.2714994251728058
an,0.2520636022090912,0.2866077721118927,0.14948700368404388,0.22598257660865784,0.41881775856018066,0.1551290899515152,0.2730048894882202,0.24292224645614624,0.20873939990997314,0.19793890416622162
expedition,0.11437731236219406,0.16530878841876984,0.2474995106458664,0.21760712563991547,0.2078135907649994,1.0000001192092896,0.15766257047653198,0.3435863256454468,0.2718595564365387,0.10355690121650696
in,0.2601168751716614,0.2725222110748291,0.3020555078983307,0.2593238651752472,0.45205554366111755,0.19481515884399414,0.4080928862094879,0.23128293454647064,0.2040027230978012,0.20430970191955566
june,0.1188528835773468,0.16260890662670135,0.1570126712322235,0.26244688034057617,0.24124151468276978,0.19204330444335938,0.20185330510139465,0.28001582622528076,0.13777190446853638,0.31416764855384827
1755,0.05787770822644234,0.01106424443423748,0.11667121201753616,0.11053946614265442,0.05746246129274368,0.1477239429950714,0.15765902400016785,0.1252749115228653,0.024633727967739105,0.1890246421098709
to,0.44169697165489197,0.40610215067863464,0.20929217338562012,0.4452643394470215,0.5759071707725525,0.2431555688381195,0.4239959120750427,0.23444142937660217,0.42702093720436096,0.29463258385658264
take,0.32433539628982544,0.2834813594818115,0.1754915416240692,0.2583002746105194,0.3235001862049103,0.161552295088768,0.21222369372844696,0.18752868473529816,0.3722555935382843,0.21897350251674652
fort,0.03157204017043114,0.16161029040813446,0.13248305022716522,0.17500312626361847,0.15597425401210785,0.2918441891670227,0.1553470492362976,0.3217087984085083,0.10860699415206909,0.15686731040477753
duquesne,0.16593004763126373,0.1145564541220665,0.17923888564109802,0.17667728662490845,0.16457001864910126,0.24041715264320374,0.16122058033943176,0.4259249269962311,0.13208773732185364,0.18955427408218384
