,who,did,the,nif,regime,harbor,prior,to,9/11,?
the,0.3733934462070465,0.34736719727516174,1.0,0.30787211656570435,0.23305538296699524,0.20031940937042236,0.33782097697257996,0.535392165184021,-0.02810836210846901,0.22068053483963013
nif,0.24494768679141998,0.18734052777290344,0.30787211656570435,1.0,0.18179436028003693,0.17691954970359802,0.18581199645996094,0.2323044389486313,0.18894517421722412,0.3096572160720825
regime,0.2413771003484726,0.18920215964317322,0.23305538296699524,0.18179436028003693,0.9999999403953552,0.10860206931829453,0.2416546642780304,0.25591278076171875,0.01636595092713833,0.15561191737651825
also,0.47919341921806335,0.39334940910339355,0.6021018624305725,0.31554722785949707,0.17796044051647186,0.19592195749282837,0.24651235342025757,0.5348826050758362,0.002169972751289606,0.21848613023757935
harbored,0.20492741465568542,0.199815034866333,0.22701945900917053,0.21826742589473724,0.1740877479314804,0.8506994843482971,0.19075511395931244,0.2045583426952362,-0.08450915664434433,0.2342720329761505
osama,0.2671177387237549,0.1628030687570572,0.24427366256713867,0.331635981798172,0.33643701672554016,0.21735267341136932,0.1095883846282959,0.23866987228393555,0.10511331260204315,0.2064143270254135
bin,0.203443706035614,0.10957983136177063,0.15085823833942413,0.39539095759391785,0.2835562527179718,0.19279368221759796,0.10852759331464767,0.23488257825374603,0.08162420988082886,0.18378846347332
laden,0.22204375267028809,0.14622172713279724,0.24923722445964813,0.323975145816803,0.25793972611427307,0.17214196920394897,0.046798281371593475,0.2702222466468811,0.001412783982232213,0.17972345650196075
for,0.37110671401023865,0.318512886762619,0.4739971458911896,0.22029340267181396,0.16159093379974365,0.2007278949022293,0.31561535596847534,0.4451248347759247,0.026013337075710297,0.264628142118454
a,0.36608949303627014,0.2552328109741211,0.5829201340675354,0.3195236325263977,0.20675835013389587,0.15820764005184174,0.22647660970687866,0.45503583550453186,0.04212398827075958,0.23916715383529663
time,0.36634087562561035,0.3567926585674286,0.43061500787734985,0.2712383568286896,0.19694001972675323,0.11771567910909653,0.31578126549720764,0.3679993152618408,0.03218218684196472,0.27391523122787476
(,0.2443375140428543,0.18979617953300476,0.33289089798927307,0.35697418451309204,0.1139880046248436,0.18466822803020477,0.2112622708082199,0.30882009863853455,0.1695113629102707,0.40561532974243164
before,0.31244513392448425,0.33642593026161194,0.45900648832321167,0.26368987560272217,0.2132764309644699,0.19857801496982574,0.5305277109146118,0.4190867841243744,0.06652805209159851,0.2507109045982361
9/11,-0.00412020506337285,-0.006570522673428059,-0.02810836210846901,0.18894517421722412,0.01636595092713833,-0.03582383319735527,0.04665514826774597,-0.041428953409194946,1.0,0.06211625784635544
),0.2457384318113327,0.18584993481636047,0.3456730246543884,0.37550508975982666,0.10895924270153046,0.1876056045293808,0.20447492599487305,0.31236231327056885,0.17153902351856232,0.42300865054130554
",",0.3365725874900818,0.3015086054801941,0.4933079481124878,0.3587944507598877,0.20407676696777344,0.26931679248809814,0.27105793356895447,0.44245919585227966,-0.0007315963157452643,0.31091248989105225
and,0.41279885172843933,0.34479495882987976,0.5171257257461548,0.32472866773605347,0.1815938949584961,0.24418433010578156,0.2185291349887848,0.48971283435821533,-0.022095071151852608,0.20544172823429108
worked,0.3184434771537781,0.3377852141857147,0.22615844011306763,0.13882337510585785,0.16912968456745148,0.10975252836942673,0.19025951623916626,0.22250263392925262,0.0168287493288517,0.0901828184723854
to,0.42656609416007996,0.4452643394470215,0.535392165184021,0.2323044389486313,0.25591278076171875,0.13735748827457428,0.264421671628952,1.0,-0.041428953409194946,0.29463258385658264
unify,0.2457127869129181,0.26509910821914673,0.2526540756225586,0.3425084054470062,0.24412378668785095,0.13269609212875366,0.24631141126155853,0.31632402539253235,0.09189186990261078,0.27140527963638306
islamist,0.2584798336029053,0.18690630793571472,0.2459319531917572,0.3367355167865753,0.37900856137275696,0.1715623140335083,0.14503172039985657,0.1878976970911026,0.02292121946811676,0.14697067439556122
opposition,0.28465259075164795,0.21891070902347565,0.26783087849617004,0.1529027372598648,0.41815435886383057,0.11878639459609985,0.17969639599323273,0.2251589596271515,-0.016055092215538025,0.15647298097610474
to,0.42656609416007996,0.4452643394470215,0.535392165184021,0.2323044389486313,0.25591278076171875,0.13735748827457428,0.264421671628952,1.0,-0.041428953409194946,0.29463258385658264
the,0.3733934462070465,0.34736719727516174,1.0,0.30787211656570435,0.23305538296699524,0.20031940937042236,0.33782097697257996,0.535392165184021,-0.02810836210846901,0.22068053483963013
american,0.3093835413455963,0.21486236155033112,0.24562937021255493,0.13906526565551758,0.08403921872377396,0.15117166936397552,0.09066858142614365,0.16338081657886505,0.0014996763784438372,0.18877598643302917
attack,0.2050056904554367,0.13678960502147675,0.2508925497531891,0.16156263649463654,0.1798044592142105,0.3173997402191162,0.15422819554805756,0.19954605400562286,-0.03538515046238899,0.126759335398674
