,in,what,year,did,william,maclure,begin,the,process,of,creating,the,first,geological,map,of,the,u.s.,?
in,1.0,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.21605195105075836,0.2512715756893158,0.2903634011745453,0.6662389636039734,0.19851736724376678,0.5696388483047485,0.20338892936706543,0.6662389636039734,0.4127444326877594,0.24111470580101013,0.2386031597852707,0.5696388483047485,0.6662389636039734,-0.003064807504415512,0.20430970191955566
1807,0.11514492332935333,0.13376158475875854,-0.022707903757691383,0.03966638445854187,-0.07101491093635559,0.04049454256892204,0.13227495551109314,0.09030888974666595,0.15814439952373505,0.10093994438648224,0.08077720552682877,0.09030888974666595,0.01020676176995039,0.06671155989170074,0.09338045120239258,0.10093994438648224,0.09030888974666595,-0.06478610634803772,0.1706954836845398
",",0.5201468467712402,0.3087472915649414,0.28560417890548706,0.3015086054801941,0.23339112102985382,0.3535158038139343,0.27304404973983765,0.4933079481124878,0.2061346471309662,0.4946078956127167,0.27134549617767334,0.4933079481124878,0.34503069519996643,0.1997290551662445,0.188267782330513,0.4946078956127167,0.4933079481124878,0.030410487204790115,0.31091248989105225
maclure,0.2512715756893158,0.21188396215438843,0.1174817830324173,0.15881556272506714,0.3015490174293518,1.0,0.08167414367198944,0.2847614884376526,0.12124010175466537,0.25085097551345825,0.1738588511943817,0.2847614884376526,0.2005482316017151,0.20303095877170563,0.19890281558036804,0.25085097551345825,0.2847614884376526,-0.04015904664993286,0.22012583911418915
commenced,0.3150877058506012,0.1344234198331833,0.24048949778079987,0.21259963512420654,0.15544867515563965,0.13367365300655365,0.3066472113132477,0.28740182518959045,0.2392551153898239,0.27359530329704285,0.22533857822418213,0.28740182518959045,0.3007930517196655,0.17148707807064056,0.14999671280384064,0.27359530329704285,0.28740182518959045,-0.021261483430862427,0.16669677197933197
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.34736719727516174,0.21537061035633087,0.2847614884376526,0.34293439984321594,1.0,0.264274537563324,0.733189046382904,0.286904513835907,1.0,0.49448907375335693,0.2813860774040222,0.2702621817588806,0.733189046382904,1.0,0.06592652946710587,0.22068053483963013
self-imposed,0.21573607623577118,0.30823037028312683,0.1826876699924469,0.2503005266189575,0.14934448897838593,0.21716450154781342,0.16928474605083466,0.2741621434688568,0.2440802901983261,0.3129723072052002,0.2769608497619629,0.2741621434688568,0.2124548703432083,0.24343161284923553,0.23847606778144836,0.3129723072052002,0.2741621434688568,-0.03888818621635437,0.2161019891500473
task,0.1762852966785431,0.33374160528182983,0.13835479319095612,0.1997641772031784,0.10075659304857254,0.17043665051460266,0.23653629422187805,0.22566188871860504,0.403052419424057,0.18514713644981384,0.2470542937517166,0.22566188871860504,0.2012779861688614,0.13826817274093628,0.1523832082748413,0.18514713644981384,0.22566188871860504,0.08919554948806763,0.289821058511734
of,0.5696388483047485,0.33290785551071167,0.2578314542770386,0.2513895630836487,0.20272590219974518,0.25085097551345825,0.24830074608325958,0.733189046382904,0.23962904512882233,1.0,0.29262492060661316,0.733189046382904,0.3536086082458496,0.3277883529663086,0.22708505392074585,1.0,0.733189046382904,0.011562774889171124,0.1826142966747284
making,0.280230849981308,0.30777570605278015,0.1551031768321991,0.32095879316329956,0.10098779201507568,0.14040878415107727,0.21136674284934998,0.35185980796813965,0.4180401861667633,0.3250596821308136,0.5347278118133545,0.35185980796813965,0.28801289200782776,0.17026248574256897,0.15340803563594818,0.3250596821308136,0.35185980796813965,0.05270765721797943,0.2539324164390564
a,0.539380669593811,0.3320399522781372,0.29350247979164124,0.2552328109741211,0.19269351661205292,0.25419288873672485,0.22845244407653809,0.5829201340675354,0.2601566016674042,0.5052502155303955,0.3242962658405304,0.5829201340675354,0.4287874400615692,0.21825335919857025,0.18429367244243622,0.5052502155303955,0.5829201340675354,0.0347411222755909,0.23916715383529663
geological,0.24111470580101013,0.2686845362186432,0.15296390652656555,0.14010505378246307,0.20672599971294403,0.20303095877170563,0.11858569085597992,0.2813860774040222,0.2075812965631485,0.3277883529663086,0.2254023551940918,0.2813860774040222,0.1970364898443222,1.0,0.3436773717403412,0.3277883529663086,0.2813860774040222,-0.21096621453762054,0.16050557792186737
