,what,was,tesla,'s,position,with,westinghouse,?
westinghouse,0.16126319766044617,0.30702054500579834,0.35764777660369873,-0.008012998849153519,0.10473787784576416,0.22273582220077515,0.9999999403953552,0.17307911813259125
also,0.42747777700424194,0.4032125174999237,0.16213464736938477,-0.0014726108638569713,0.23027603328227997,0.44397303462028503,0.2848412096500397,0.21848613023757935
hired,0.12430620938539505,0.3013991713523865,0.15152283012866974,-0.030750012025237083,0.1623871624469757,0.23727227747440338,0.3047245144844055,0.1434362679719925
tesla,0.23221199214458466,0.16455206274986267,0.9999999403953552,0.06449045985937119,0.11136931926012039,0.16424812376499176,0.35764777660369873,0.10250775516033173
for,0.3017193675041199,0.3863949179649353,0.13983871042728424,-0.07241261005401611,0.27123650908470154,0.39140474796295166,0.25690075755119324,0.264628142118454
one,0.376489520072937,0.3752199709415436,0.2218162566423416,0.06913424283266068,0.22125381231307983,0.3855307400226593,0.2046010047197342,0.2673267424106598
year,0.15184831619262695,0.3209837079048157,0.1455472707748413,-0.04087831452488899,0.15490424633026123,0.3220449686050415,0.23696589469909668,0.18315006792545319
for,0.3017193675041199,0.3863949179649353,0.13983871042728424,-0.07241261005401611,0.27123650908470154,0.39140474796295166,0.25690075755119324,0.264628142118454
the,0.42745697498321533,0.48711544275283813,0.1324402391910553,-0.01540423184633255,0.3183514177799225,0.4223487675189972,0.3101098835468292,0.22068053483963013
large,0.2017821967601776,0.21717436611652374,0.11560440808534622,0.06319566071033478,0.1850903183221817,0.26124298572540283,0.19761204719543457,0.1355665624141693
fee,0.15150974690914154,0.15327097475528717,0.23693960905075073,0.01646084524691105,0.10153752565383911,0.1669725626707077,0.2591547667980194,0.13206739723682404
of,0.33290785551071167,0.4069072902202606,0.18837453424930573,-0.03817026689648628,0.23636478185653687,0.41827285289764404,0.28119996190071106,0.1826142966747284
$,0.24858909845352173,0.23838669061660767,0.23458653688430786,0.03734852001070976,0.11179641634225845,0.18037788569927216,0.1781255006790161,0.2786129117012024
"2,000",-0.029682017862796783,0.1340620517730713,-0.0396839864552021,-0.0077349720522761345,0.004051390569657087,-0.012768627144396305,0.08358244597911835,-0.01396813802421093
(,0.2411840260028839,0.2980341613292694,0.2156914919614792,0.0012731997994706035,0.2345474362373352,0.29503780603408813,0.18137404322624207,0.40561532974243164
$,0.24858909845352173,0.23838669061660767,0.23458653688430786,0.03734852001070976,0.11179641634225845,0.18037788569927216,0.1781255006790161,0.2786129117012024
"52,700",-0.012679968029260635,0.045319750905036926,-0.04721102863550186,0.016315652057528496,0.08454924821853638,0.20670895278453827,0.011590125039219856,-0.054419633001089096
in,0.30808621644973755,0.45514053106307983,0.17097744345664978,-0.037580832839012146,0.20453733205795288,0.4080928862094879,0.2579890191555023,0.20430970191955566
today,0.3814660608768463,0.3137040436267853,0.23937693238258362,-0.017862282693386078,0.1544381082057953,0.22647687792778015,0.22388873994350433,0.17338968813419342
's,0.02692362666130066,0.008974763564765453,0.06449045985937119,0.9999999403953552,-0.02956485003232956,-0.04624466598033905,-0.008012998849153519,-0.023395681753754616
dollars,0.2180599719285965,0.20212356746196747,0.22256800532341003,0.12366975843906403,0.06306789070367813,0.14011862874031067,0.20052774250507355,0.21298730373382568
