,which,canal,was,dug,in,france,to,carry,rhine,'s,water,?
on,0.4245251417160034,0.1882058084011078,0.3909217119216919,0.1832510083913803,0.46853652596473694,0.2042606770992279,0.41031414270401,0.22389066219329834,0.20067645609378815,0.0026888418942689896,0.18117135763168335,0.2714994251728058
the,0.6521818041801453,0.26047348976135254,0.48711544275283813,0.2580382227897644,0.6662389636039734,0.35517507791519165,0.535392165184021,0.26752355694770813,0.30735138058662415,-0.01540423184633255,0.297396719455719,0.22068053483963013
french,0.1928994208574295,0.11177994310855865,0.2523815333843231,0.13629719614982605,0.22093388438224792,0.5492131114006042,0.1713797152042389,0.10830725729465485,0.2762029767036438,0.0634014755487442,0.12202557176351547,0.1386883556842804
side,0.3266274034976959,0.2331385314464569,0.16857531666755676,0.1777379959821701,0.2626299262046814,0.19805631041526794,0.2686329185962677,0.14431554079055786,0.22595061361789703,0.05179053172469139,0.2522294521331787,0.07831130921840668
",",0.3658004403114319,0.21654076874256134,0.45456063747406006,0.20805829763412476,0.5201468467712402,0.28250643610954285,0.44245919585227966,0.1951419711112976,0.167837992310524,-0.0016132977325469255,0.26706066727638245,0.31091248989105225
the,0.6521818041801453,0.26047348976135254,0.48711544275283813,0.2580382227897644,0.6662389636039734,0.35517507791519165,0.535392165184021,0.26752355694770813,0.30735138058662415,-0.01540423184633255,0.297396719455719,0.22068053483963013
grand,0.20318171381950378,0.19265727698802948,0.24247264862060547,0.23926958441734314,0.24767720699310303,0.2728543281555176,0.21583840250968933,0.16496898233890533,0.18370801210403442,-0.005897364113479853,0.14545629918575287,0.1168735921382904
canal,0.22096513211727142,1.0,0.19834820926189423,0.2913033664226532,0.25331923365592957,0.21586593985557556,0.15252184867858887,0.1686636507511139,0.3058634102344513,0.019216028973460197,0.3282609283924103,0.1123519018292427
d'alsace,0.3488788604736328,0.1893569678068161,0.2748147249221802,0.20980380475521088,0.3071369528770447,0.48726311326026917,0.26039808988571167,0.16620443761348724,0.48036476969718933,0.025164172053337097,0.1396474838256836,0.2309580296278
was,0.2830964922904968,0.19834820926189423,1.0000001192092896,0.2105909138917923,0.45514053106307983,0.2715669870376587,0.3636345863342285,0.1526157259941101,0.18681856989860535,0.008974763564765453,0.18750394880771637,0.18412111699581146
dug,0.20926512777805328,0.2913033664226532,0.2105909138917923,1.0,0.21389780938625336,0.12467794120311737,0.20987556874752045,0.26609647274017334,0.251219242811203,-0.008573560044169426,0.34966859221458435,0.15702664852142334
",",0.3658004403114319,0.21654076874256134,0.45456063747406006,0.20805829763412476,0.5201468467712402,0.28250643610954285,0.44245919585227966,0.1951419711112976,0.167837992310524,-0.0016132977325469255,0.26706066727638245,0.31091248989105225
which,1.0,0.22096513211727142,0.2830964922904968,0.20926512777805328,0.4840516746044159,0.1980295330286026,0.5345056653022766,0.3581438362598419,0.18744276463985443,0.03856118768453598,0.3689718246459961,0.25814583897590637
