,what,is,the,metric,they,use,to,determine,how,busy,airports,are,?
southern,0.18679563701152802,0.2419366091489792,0.3282862603664398,0.10634658485651016,0.2139921486377716,0.10204636305570602,0.18284058570861816,0.14614684879779816,0.11308442056179047,0.1625634878873825,0.2372525930404663,0.18306338787078857,0.11225555837154388
california,0.1811584085226059,0.20727038383483887,0.2750805914402008,0.10858345031738281,0.1922324299812317,0.16264355182647705,0.20697450637817383,0.16455315053462982,0.15981262922286987,0.11787468194961548,0.15659590065479279,0.17678135633468628,0.1409905105829239
is,0.28837618231773376,1.0,0.5823672413825989,0.17780743539333344,0.330102801322937,0.3357410430908203,0.42745086550712585,0.31959035992622375,0.22544461488723755,0.18648922443389893,0.24539045989513397,0.5330929756164551,0.22961433231830597
home,0.1608789712190628,0.22316986322402954,0.28978195786476135,-0.00041625581798143685,0.26085564494132996,0.16991889476776123,0.31056779623031616,0.11358267068862915,0.11464780569076538,0.21631468832492828,0.2237408608198166,0.17890439927577972,0.0757145956158638
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.2393241971731186,0.5452046394348145,0.47261837124824524,1.0,0.4076496958732605,0.44169697165489197,0.2388075888156891,0.2841598093509674,0.3504326641559601,0.29463258385658264
los,0.12322991341352463,0.17008589208126068,0.2502395510673523,0.1186567172408104,0.18014122545719147,0.10588807612657547,0.19904789328575134,0.09234442561864853,0.1389930248260498,0.15906120836734772,0.2192031741142273,0.1627943068742752,0.15495611727237701
angeles,0.10702074319124222,0.1558004766702652,0.24588194489479065,0.11913619190454483,0.19448286294937134,0.12376692146062851,0.20994949340820312,0.09258896112442017,0.15835323929786682,0.16056020557880402,0.20881067216396332,0.1732020229101181,0.16139166057109833
international,0.10870302468538284,0.19279639422893524,0.23719607293605804,0.20204493403434753,0.13682526350021362,0.24562819302082062,0.21173149347305298,0.2117941975593567,0.1396709680557251,0.18228058516979218,0.4772913455963135,0.18634282052516937,0.15335838496685028
airport,0.1263120174407959,0.22916455566883087,0.2293178290128708,0.2173754721879959,0.14029307663440704,0.2045191526412964,0.2481278032064438,0.06961570680141449,0.05454898625612259,0.2352779358625412,0.8551590442657471,0.18675020337104797,0.13105051219463348
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.21044935286045074,0.390799880027771,0.3276674151420593,0.44245919585227966,0.2144405096769333,0.22659391164779663,0.21718189120292664,0.28466933965682983,0.4062570035457611,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.21734559535980225,0.49925389885902405,0.34342584013938904,0.535392165184021,0.40889066457748413,0.33890387415885925,0.2527543902397156,0.297902911901474,0.40399202704429626,0.22068053483963013
second-busiest,0.2516663670539856,0.3198900818824768,0.3870893716812134,0.3120911717414856,0.2458868771791458,0.3059297800064087,0.3201402723789215,0.2509855329990387,0.19989991188049316,0.35499411821365356,0.5359368920326233,0.2549365758895874,0.27712950110435486
airport,0.1263120174407959,0.22916455566883087,0.2293178290128708,0.2173754721879959,0.14029307663440704,0.2045191526412964,0.2481278032064438,0.06961570680141449,0.05454898625612259,0.2352779358625412,0.8551590442657471,0.18675020337104797,0.13105051219463348
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.18834827840328217,0.4330179989337921,0.2715643048286438,0.45010748505592346,0.28156906366348267,0.2601168751716614,0.24141757190227509,0.28724297881126404,0.3841303884983063,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.21734559535980225,0.49925389885902405,0.34342584013938904,0.535392165184021,0.40889066457748413,0.33890387415885925,0.2527543902397156,0.297902911901474,0.40399202704429626,0.22068053483963013
united,0.20036718249320984,0.22408509254455566,0.34367692470550537,0.21999897062778473,0.21470296382904053,0.21465958654880524,0.2715383470058441,0.21766091883182526,0.19034643471240997,0.13140279054641724,0.36963844299316406,0.16919764876365662,0.17266890406608582
states,0.21526020765304565,0.21939043700695038,0.3463578522205353,0.22665664553642273,0.23871077597141266,0.1991468071937561,0.2828785181045532,0.2664303779602051,0.20841296017169952,0.14262200891971588,0.33387258648872375,0.1846873015165329,0.16272737085819244
