,based,on,population,alone,",",what,is,jacksonville,'s,ranking,in,the,united,states,?
consolidation,0.2107393443584442,0.1384814977645874,0.28066426515579224,0.18091371655464172,0.23713846504688263,0.19467267394065857,0.21168272197246552,0.17964975535869598,-0.07076149433851242,0.19680680334568024,0.2733294367790222,0.3002266585826874,0.3228614628314972,0.32769936323165894,0.1621040254831314
gave,0.16112177073955536,0.2442021518945694,0.07731839269399643,0.161032572388649,0.2448001652956009,0.14222867786884308,0.23022860288619995,0.1559901088476181,0.0414002351462841,0.15266144275665283,0.24152803421020508,0.32555076479911804,0.20140042901039124,0.18827740848064423,0.1910865753889084
jacksonville,0.15672901272773743,0.23172973096370697,0.23063048720359802,0.17715245485305786,0.2837527096271515,0.14578714966773987,0.1726600080728531,1.0000001192092896,0.02280956320464611,0.1356508433818817,0.22147351503372192,0.2176690250635147,0.303199827671051,0.31034567952156067,0.1359667330980301
its,0.23942553997039795,0.34331920742988586,0.33083978295326233,0.1939908266067505,0.33157986402511597,0.30393704771995544,0.4447362422943115,0.18570773303508759,0.03202139586210251,0.21444128453731537,0.3793783485889435,0.559237003326416,0.25747814774513245,0.2691997289657593,0.15103481709957123
great,0.11559975147247314,0.15918688476085663,0.13108108937740326,0.15186427533626556,0.29579275846481323,0.2562883198261261,0.1345067322254181,0.156149759888649,-0.014279589988291264,0.138536274433136,0.23348836600780487,0.2822027802467346,0.21104222536087036,0.1439923793077469,0.13135133683681488
size,0.16904260218143463,0.22330769896507263,0.3537394106388092,0.2235596477985382,0.2156888097524643,0.2566739320755005,0.22983339428901672,0.19991746544837952,0.08317088335752487,0.21352100372314453,0.21714140474796295,0.2946445941925049,0.18520407378673553,0.17931771278381348,0.13693112134933472
and,0.2660958170890808,0.4077630043029785,0.23080337047576904,0.2519807815551758,0.6633074283599854,0.31309178471565247,0.3859752118587494,0.2603762745857239,0.06895173341035843,0.2464282363653183,0.4954058527946472,0.5171257257461548,0.28213179111480713,0.2974761426448822,0.20544172823429108
placed,0.19644489884376526,0.3127811551094055,0.08447712659835815,0.2122253179550171,0.2528902292251587,0.20823347568511963,0.2521167993545532,0.14921221137046814,-0.05542825907468796,0.293230265378952,0.263030469417572,0.38702741265296936,0.17195913195610046,0.13861986994743347,0.18964257836341858
most,0.24925106763839722,0.28303956985473633,0.21684317290782928,0.21008272469043732,0.3636029064655304,0.3219912350177765,0.41165053844451904,0.17340192198753357,0.024445664137601852,0.2841104567050934,0.41416558623313904,0.47635307908058167,0.24793334305286407,0.286347895860672,0.2107497900724411
of,0.3033197224140167,0.3966929316520691,0.3060894012451172,0.2295283079147339,0.4946078956127167,0.33290785551071167,0.4854315221309662,0.23084138333797455,-0.03817026689648628,0.2959146499633789,0.5696388483047485,0.733189046382904,0.3187655806541443,0.30884552001953125,0.1826142966747284
