,what,organization,runs,the,public,schools,in,victoria,?
public,0.1729622185230255,0.2446836233139038,0.18234193325042725,0.22857438027858734,1.0000001192092896,0.4260808527469635,0.29074716567993164,0.19629675149917603,0.19872993230819702
schools,0.1820785105228424,0.2872585952281952,0.18934756517410278,0.22905772924423218,0.4260808527469635,1.0,0.2632134258747101,0.11402804404497147,0.18349280953407288
",",0.3087472915649414,0.1819751113653183,0.22710935771465302,0.4933079481124878,0.2588968276977539,0.2760516405105591,0.5201468467712402,0.2279360294342041,0.31091248989105225
also,0.42747777700424194,0.2551727294921875,0.20009714365005493,0.6021018624305725,0.3308127224445343,0.3129073679447174,0.5073733329772949,0.23245859146118164,0.21848613023757935
known,0.20381177961826324,0.16892196238040924,0.14245842397212982,0.3624623417854309,0.20257171988487244,0.11933183670043945,0.32641831040382385,0.18462607264518738,0.18314571678638458
as,0.31749409437179565,0.24784187972545624,0.13251358270645142,0.48381632566452026,0.2423635572195053,0.21233005821704865,0.3887844979763031,0.19515912234783173,0.27043893933296204
state,0.24273863434791565,0.21255284547805786,0.13201500475406647,0.3097178041934967,0.33038130402565,0.2832874357700348,0.33316072821617126,0.23197819292545319,0.1160883978009224
or,0.33867141604423523,0.2853178083896637,0.23629164695739746,0.4174870550632477,0.23869332671165466,0.23524631559848785,0.3586423695087433,0.18136298656463623,0.32389625906944275
government,0.28074538707733154,0.3747314214706421,0.1280250996351242,0.31798112392425537,0.3310128152370453,0.3405122756958008,0.3066793978214264,0.25075703859329224,0.18851417303085327
schools,0.1820785105228424,0.2872585952281952,0.18934756517410278,0.22905772924423218,0.4260808527469635,1.0,0.2632134258747101,0.11402804404497147,0.18349280953407288
",",0.3087472915649414,0.1819751113653183,0.22710935771465302,0.4933079481124878,0.2588968276977539,0.2760516405105591,0.5201468467712402,0.2279360294342041,0.31091248989105225
are,0.29724663496017456,0.1841304749250412,0.22761638462543488,0.40399202704429626,0.18111367523670197,0.30816179513931274,0.3841303884983063,0.16939106583595276,0.24591213464736938
funded,0.12889151275157928,0.3479783833026886,0.2243579626083374,0.21102139353752136,0.445223331451416,0.39287659525871277,0.21351924538612366,0.11976002156734467,0.14043596386909485
and,0.31309178471565247,0.21951423585414886,0.2632412016391754,0.5171257257461548,0.3227643668651581,0.29319998621940613,0.4954058527946472,0.24507255852222443,0.20544172823429108
run,0.2294815480709076,0.1960477977991104,0.6555101275444031,0.27883726358413696,0.22418135404586792,0.20951882004737854,0.26368704438209534,0.18425361812114716,0.17904110252857208
directly,0.3618607521057129,0.1880072057247162,0.18893928825855255,0.4502958655357361,0.18400877714157104,0.14366699755191803,0.25104159116744995,0.09297463297843933,0.2187996357679367
by,0.2455483376979828,0.19509689509868622,0.14847011864185333,0.4408751428127289,0.23323717713356018,0.1415957361459732,0.370934396982193,0.17471559345722198,0.17966607213020325
the,0.42745697498321533,0.311172217130661,0.30832576751708984,1.0,0.22857438027858734,0.22905772924423218,0.6662389636039734,0.2204313427209854,0.22068053483963013
victoria,0.1194850504398346,0.09516779333353043,0.19112318754196167,0.2204313427209854,0.19629675149917603,0.11402804404497147,0.20823122560977936,1.0,0.12246892601251602
department,0.20655807852745056,0.27069440484046936,0.16703134775161743,0.32582083344459534,0.2250450849533081,0.24840866029262543,0.3254720866680145,0.17921623587608337,0.1343645304441452
of,0.33290785551071167,0.25438958406448364,0.22292760014533997,0.733189046382904,0.2391265481710434,0.265506386756897,0.5696388483047485,0.2505437433719635,0.1826142966747284
education,0.19940856099128723,0.3735145032405853,0.14711213111877441,0.23982903361320496,0.3925832509994507,0.6035618185997009,0.2654339671134949,0.18859943747520447,0.18067774176597595
.,0.3567904531955719,0.20656518638134003,0.2379940003156662,0.5934505462646484,0.21888655424118042,0.2752705216407776,0.5591574311256409,0.23069117963314056,0.4130953550338745
