,what,type,of,hermaphrodite,produces,egg,and,sperm,at,different,times,?
others,0.3888046145439148,0.20850105583667755,0.2793974280357361,0.260370671749115,0.12222147732973099,0.20176587998867035,0.45401260256767273,0.2239738404750824,0.245652437210083,0.40770426392555237,0.2982090413570404,0.26705288887023926
are,0.29724663496017456,0.24155041575431824,0.39081433415412903,0.2965511083602905,0.2817918658256531,0.22794848680496216,0.48576638102531433,0.26711368560791016,0.2074895054101944,0.5170795917510986,0.16137352585792542,0.24591213464736938
sequential,0.1532059609889984,0.1318550556898117,0.23029763996601105,0.26490914821624756,0.1947707086801529,0.21344363689422607,0.24173887073993683,0.2965574562549591,0.09668218344449997,0.23680493235588074,0.18239839375019073,0.1188860833644867
hermaphrodites,0.16502878069877625,0.20070308446884155,0.21455450356006622,0.9849292039871216,0.3351707458496094,0.42963993549346924,0.2342674732208252,0.5223646759986877,0.07645640522241592,0.3464145362377167,0.16202667355537415,0.14555899798870087
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.20266716182231903,0.2517208456993103,0.2504134774208069,0.6633074283599854,0.1869887113571167,0.38314947485923767,0.32220861315727234,0.2897866368293762,0.31091248989105225
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.15954844653606415,0.2199338972568512,0.1722630113363266,0.4954058527946472,0.163544163107872,0.4374977946281433,0.29409363865852356,0.2427823841571808,0.20430970191955566
which,0.5261979103088379,0.31462597846984863,0.5011631846427917,0.3121943473815918,0.3982868492603302,0.2861648201942444,0.506277859210968,0.2965317666530609,0.3286694884300232,0.48997771739959717,0.29070794582366943,0.25814583897590637
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.19283606112003326,0.2783815562725067,0.18912272155284882,0.5171257257461548,0.22325800359249115,0.457212895154953,0.36412742733955383,0.29093852639198303,0.22068053483963013
eggs,0.16247199475765228,0.1357540339231491,0.16213075816631317,0.3949572443962097,0.24874457716941833,0.7817180156707764,0.23515591025352478,0.5058096051216125,0.13014665246009827,0.21781402826309204,0.17225772142410278,0.1739477664232254
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.21870875358581543,0.25440889596939087,0.2350214719772339,1.0,0.22000087797641754,0.3571503460407257,0.39536112546920776,0.2611900568008423,0.20544172823429108
