,how,many,of,warsaw,'s,inhabitants,spoke,polish,in,1933,?
in,0.2601168751716614,0.41474202275276184,0.5696388483047485,0.22642600536346436,-0.037580832839012146,0.29904377460479736,0.21915249526500702,0.1896398365497589,1.0,0.14386238157749176,0.20430970191955566
1933,0.001345565658994019,0.012814640067517757,0.21299512684345245,0.0802931860089302,-0.018191227689385414,0.11164698004722595,0.08902063220739365,-0.00972329918295145,0.14386238157749176,1.0000001192092896,-0.14505821466445923
",",0.22659391164779663,0.40610817074775696,0.4946078956127167,0.25300899147987366,-0.0016132977325469255,0.2508344054222107,0.2793640196323395,0.2655222415924072,0.5201468467712402,0.08567362278699875,0.31091248989105225
out,0.3963836133480072,0.3329806923866272,0.34176841378211975,0.10430089384317398,0.0021837172098457813,0.14867420494556427,0.2384425550699234,0.14068485796451569,0.3576207756996155,0.08333129435777664,0.22020699083805084
of,0.2480744868516922,0.37253960967063904,1.0,0.19253842532634735,-0.03817026689648628,0.26628780364990234,0.21485641598701477,0.16866981983184814,0.5696388483047485,0.21299512684345245,0.1826142966747284
"1,178,914",-0.057015880942344666,0.013625139370560646,-0.029583701863884926,0.04751299321651459,0.0716869905591011,0.010700760409235954,-0.022285422310233116,0.06758590787649155,0.06597980111837387,-0.1277003288269043,0.10089457780122757
inhabitants,0.08514878153800964,0.1903092861175537,0.26628780364990234,0.19971264898777008,0.05056171491742134,1.0000001192092896,0.24353128671646118,0.17110680043697357,0.29904377460479736,0.11164698004722595,0.1312350630760193
"833,500",-0.10138187557458878,-0.15272733569145203,-0.05233439803123474,-0.011070000939071178,-0.04913366213440895,-0.06751544028520584,-0.10041429102420807,-0.10158634185791016,-0.0300361979752779,-0.07366520911455154,0.06878993660211563
were,0.2082374095916748,0.4804460406303406,0.34038281440734863,0.18216076493263245,0.007088581565767527,0.24573756754398346,0.3223823606967926,0.19402660429477692,0.3815755248069763,0.08877815306186676,0.17890112102031708
of,0.2480744868516922,0.37253960967063904,1.0,0.19253842532634735,-0.03817026689648628,0.26628780364990234,0.21485641598701477,0.16866981983184814,0.5696388483047485,0.21299512684345245,0.1826142966747284
polish,0.12688754498958588,0.20127539336681366,0.16866981983184814,0.6311136484146118,0.047667719423770905,0.17110680043697357,0.14587031304836273,1.0,0.1896398365497589,-0.00972329918295145,0.14012759923934937
mother,0.19714677333831787,0.17682664096355438,0.2170739620923996,0.1382026970386505,0.03889143466949463,0.13573209941387177,0.31300267577171326,0.16526880860328674,0.23971804976463318,-0.015579813160002232,0.15180644392967224
tongue,0.2136063128709793,0.1889270693063736,0.22480611503124237,0.10260628908872604,0.04385896772146225,0.21158276498317719,0.3297214210033417,0.2042386382818222,0.18758578598499298,-0.07608699053525925,0.19608010351657867
.,0.3287222981452942,0.3974229395389557,0.5352458953857422,0.26825499534606934,-0.003708066651597619,0.210379958152771,0.23284921050071716,0.23422029614448547,0.5591574311256409,0.1257636994123459,0.4130953550338745
