,what,is,an,example,of,an,immunosuppressive,drug,that,prevents,t,cell,activity,by,altering,signal,transduction,pathways,?
immunosuppressive,0.3023419678211212,0.24333392083644867,0.2803751230239868,0.3756657540798187,0.28317955136299133,0.2803751230239868,1.0,0.3583142161369324,0.3463357090950012,0.39538899064064026,0.24223649501800537,0.41158628463745117,0.3735760450363159,0.2501460909843445,0.46621376276016235,0.29699355363845825,0.49165812134742737,0.43323230743408203,0.25029832124710083
drugs,0.27091342210769653,0.13498282432556152,0.17272815108299255,0.30609777569770813,0.21399663388729095,0.17272815108299255,0.42477548122406006,0.7770177721977234,0.2915695607662201,0.3126280903816223,0.19613169133663177,0.20775412023067474,0.23530539870262146,0.23394474387168884,0.2820032238960266,0.10316599160432816,0.3118092119693756,0.3682081997394562,0.15436270833015442
such,0.23989605903625488,0.23545363545417786,0.2025681436061859,0.4555383324623108,0.3209529519081116,0.2025681436061859,0.30898159742355347,0.21693548560142517,0.4479874074459076,0.34670135378837585,0.2120000422000885,0.18073546886444092,0.24499854445457458,0.2736194431781769,0.3730476200580597,0.219752237200737,0.29902487993240356,0.358112096786499,0.17851735651493073
as,0.31749409437179565,0.43216490745544434,0.37218472361564636,0.35903409123420715,0.3886612355709076,0.37218472361564636,0.22074410319328308,0.19495517015457153,0.4735107421875,0.2843379080295563,0.2405824363231659,0.25192439556121826,0.24135980010032654,0.3815547823905945,0.32138708233833313,0.21914611756801605,0.22446799278259277,0.2641284167766571,0.27043893933296204
cyclosporin,0.25596413016319275,0.29515600204467773,0.2143939584493637,0.2799084484577179,0.2995399534702301,0.2143939584493637,0.4085574150085449,0.3810402452945709,0.31759825348854065,0.30652040243148804,0.23127692937850952,0.3474929630756378,0.2578902542591095,0.23545074462890625,0.25011712312698364,0.2218104898929596,0.4374256432056427,0.4153088629245758,0.12847761809825897
prevent,0.2723881006240845,0.1984136700630188,0.24787792563438416,0.30248701572418213,0.22669163346290588,0.24787792563438416,0.3656017482280731,0.22275593876838684,0.3359993100166321,0.8686361312866211,0.19409778714179993,0.22938820719718933,0.1931600272655487,0.3244638741016388,0.3785718083381653,0.20826168358325958,0.2847703695297241,0.25848469138145447,0.2547389566898346
t,0.37454068660736084,0.23234573006629944,0.18232253193855286,0.20720604062080383,0.14617829024791718,0.18232253193855286,0.24223649501800537,0.18356433510780334,0.3801133632659912,0.1947266310453415,0.9999999403953552,0.24071010947227478,0.16115565598011017,0.167274609208107,0.2184901237487793,0.15741927921772003,0.19850774109363556,0.18311552703380585,0.4954066574573517
cells,0.1758001297712326,0.1644774079322815,0.18335485458374023,0.24890154600143433,0.21305565536022186,0.18335485458374023,0.48557719588279724,0.21500906348228455,0.2709589898586273,0.30872029066085815,0.25527921319007874,0.7729857563972473,0.27404090762138367,0.19208736717700958,0.3061140179634094,0.285832017660141,0.4859359860420227,0.5069032311439514,0.1898086667060852
from,0.2737620174884796,0.27355384826660156,0.20876385271549225,0.3175121247768402,0.4249346852302551,0.20876385271549225,0.19891615211963654,0.1710507869720459,0.3477667272090912,0.3159327805042267,0.1848583221435547,0.20098808407783508,0.14872623980045319,0.3373257517814636,0.19148075580596924,0.1377117782831192,0.2107599377632141,0.16046595573425293,0.19969791173934937
responding,0.44756078720092773,0.23665091395378113,0.32033511996269226,0.37204065918922424,0.24760770797729492,0.32033511996269226,0.4909784197807312,0.2667064666748047,0.46277332305908203,0.38821688294410706,0.3223598599433899,0.326089084148407,0.3263952136039734,0.2507445216178894,0.373006135225296,0.2879323661327362,0.3692872226238251,0.36496487259864807,0.3013480305671692
to,0.455847829580307,0.42745086550712585,0.3138085603713989,0.3451666533946991,0.41548454761505127,0.3138085603713989,0.2699524760246277,0.2615036964416504,0.5436353087425232,0.3236422538757324,0.30417174100875854,0.19730474054813385,0.26676592230796814,0.33534231781959534,0.31267061829566956,0.24848297238349915,0.23321063816547394,0.31943923234939575,0.29463258385658264
signals,0.2608519196510315,0.18334968388080597,0.22799569368362427,0.23260052502155304,0.20960435271263123,0.22799569368362427,0.36424314975738525,0.1573927402496338,0.2883685231208801,0.3266220688819885,0.16042622923851013,0.2653706967830658,0.28323593735694885,0.21298366785049438,0.3348545432090759,0.852288007736206,0.5517697930335999,0.458333283662796,0.09948804974555969
correctly,0.41690006852149963,0.2883044183254242,0.20527946949005127,0.32416608929634094,0.1631389856338501,0.20527946949005127,0.3069330155849457,0.17557576298713684,0.4471268057823181,0.3172402083873749,0.3533867299556732,0.2326909452676773,0.1931402087211609,0.24731171131134033,0.3097039759159088,0.23355859518051147,0.31621798872947693,0.23166774213314056,0.36838996410369873
by,0.2455483376979828,0.3899846076965332,0.2719563841819763,0.29030951857566833,0.3646814823150635,0.2719563841819763,0.2501460909843445,0.20200346410274506,0.37496164441108704,0.31955498456954956,0.167274609208107,0.1892392784357071,0.14420075714588165,1.0000001192092896,0.28379857540130615,0.1618734449148178,0.25730350613594055,0.19576029479503632,0.17966607213020325
inhibiting,0.2159925401210785,0.20367687940597534,0.18293730914592743,0.2703055441379547,0.2233061045408249,0.18293730914592743,0.6124458909034729,0.3936692476272583,0.3184744417667389,0.42300719022750854,0.1934373378753662,0.4388551414012909,0.3943221867084503,0.1686592847108841,0.4577486217021942,0.3432871103286743,0.5662469267845154,0.5668577551841736,0.15740376710891724
signal,0.22636008262634277,0.17751270532608032,0.19826938211917877,0.2286592721939087,0.19249287247657776,0.19826938211917877,0.29699355363845825,0.1122753694653511,0.22583550214767456,0.24058930575847626,0.15741927921772003,0.2697838246822357,0.26123031973838806,0.1618734449148178,0.3395995497703552,1.0000001192092896,0.5283288955688477,0.3580419421195984,0.1212705597281456
transduction,0.28341490030288696,0.26875144243240356,0.25398877263069153,0.3212353587150574,0.2951420247554779,0.25398877263069153,0.49165812134742737,0.2876984477043152,0.3351110816001892,0.36042922735214233,0.19850774109363556,0.44509226083755493,0.33639371395111084,0.25730350613594055,0.5060231685638428,0.5283288955688477,0.9999998807907104,0.5964624881744385,0.1756727248430252
pathways,0.23830075562000275,0.1747274398803711,0.21733200550079346,0.28009214997291565,0.24391688406467438,0.21733200550079346,0.43323230743408203,0.32581421732902527,0.2772393524646759,0.3541058301925659,0.18311552703380585,0.39974063634872437,0.34060218930244446,0.19576029479503632,0.4118029475212097,0.3580419421195984,0.5964624881744385,1.0000001192092896,0.17890726029872894
.,0.3567904531955719,0.4569662809371948,0.3581749200820923,0.41217929124832153,0.5352458953857422,0.3581749200820923,0.2419031411409378,0.26284900307655334,0.4460422694683075,0.23939263820648193,0.3410096764564514,0.2801848351955414,0.23696304857730865,0.3936232924461365,0.251216322183609,0.19028015434741974,0.25062471628189087,0.2243857979774475,0.4130953550338745
