,who,was,appointed,to,be,abc,'s,president,by,noble,in,1950,?
in,0.2792111933231354,0.45514053106307983,0.23088723421096802,0.45010748505592346,0.3481820821762085,0.1697147786617279,-0.037580832839012146,0.18811661005020142,0.370934396982193,0.21956220269203186,1.0,-0.03321470692753792,0.20430970191955566
1950,0.06489618122577667,0.08599678426980972,0.039356667548418045,-0.030956817790865898,-0.08733255416154861,0.09618669748306274,0.004116626922041178,0.013170119374990463,0.026477260515093803,-0.0008800994837656617,-0.03321470692753792,1.0,-0.039489999413490295
",",0.3365725874900818,0.45456063747406006,0.27665549516677856,0.44245919585227966,0.39254459738731384,0.2097204476594925,-0.0016132977325469255,0.26552814245224,0.3680937886238098,0.2267053723335266,0.5201468467712402,0.032923124730587006,0.31091248989105225
noble,0.20064976811408997,0.16863727569580078,0.23430734872817993,0.18826298415660858,0.13421684503555298,0.10893116146326065,-0.0880466103553772,0.10329665243625641,0.13809834420681,1.0,0.21956220269203186,-0.0008800994837656617,0.11942308396100998
appointed,0.3215055465698242,0.33569878339767456,1.0,0.21184861660003662,0.10731258243322372,0.14275935292243958,-0.07290255278348923,0.4252060055732727,0.24135704338550568,0.23430734872817993,0.23088723421096802,0.039356667548418045,0.13895352184772491
robert,0.2748492956161499,0.24186499416828156,0.282183438539505,0.16130879521369934,0.10589228570461273,0.12162340432405472,0.028171386569738388,0.18325552344322205,0.24091920256614685,0.18251290917396545,0.22155319154262543,0.11751800030469894,0.11293095350265503
kintner,0.29742631316185,0.32431459426879883,0.19723795354366302,0.22772370278835297,0.16468358039855957,0.23537611961364746,0.07150103896856308,0.24708260595798492,0.2631261348724365,0.2341012805700302,0.28868725895881653,0.11425483226776123,0.25109466910362244
to,0.42656609416007996,0.3636345863342285,0.21184861660003662,1.0,0.4972836375236511,0.1762417107820511,0.03782717138528824,0.21247753500938416,0.33534231781959534,0.18826298415660858,0.45010748505592346,-0.030956817790865898,0.29463258385658264
be,0.3371641933917999,0.42228707671165466,0.10731258243322372,0.4972836375236511,1.0,0.14780379831790924,0.025217169895768166,0.1541743278503418,0.43158695101737976,0.13421684503555298,0.3481820821762085,-0.08733255416154861,0.3324260413646698
abc,0.14673753082752228,0.21565799415111542,0.14275935292243958,0.1762417107820511,0.14780379831790924,1.0000001192092896,0.06670809537172318,0.20593604445457458,0.17600902915000916,0.10893116146326065,0.1697147786617279,0.09618669748306274,0.19065172970294952
's,0.05599616840481758,0.008974763564765453,-0.07290255278348923,0.03782717138528824,0.025217169895768166,0.06670809537172318,0.9999999403953552,-0.08566092699766159,-0.010884488001465797,-0.0880466103553772,-0.037580832839012146,0.004116626922041178,-0.023395681753754616
