,what,did,this,agitation,provide,later,generations,material,for,?
nevertheless,0.3331672251224518,0.3379124701023102,0.36218735575675964,0.2698535919189453,0.2859658896923065,0.33359476923942566,0.2754916250705719,0.2743014991283417,0.274604856967926,0.12207362055778503
",",0.3087472915649414,0.3015086054801941,0.4316047728061676,0.198062464594841,0.20966707170009613,0.35016918182373047,0.21670173108577728,0.2189585268497467,0.4464869201183319,0.31091248989105225
his,0.26976513862609863,0.3546801507472992,0.3549620509147644,0.29362836480140686,0.19246289134025574,0.4538118839263916,0.22575660049915314,0.23005783557891846,0.39312878251075745,0.18075084686279297
misguided,0.40273165702819824,0.26537036895751953,0.3898538053035736,0.4102274775505066,0.3812023401260376,0.18975208699703217,0.18658310174942017,0.30696845054626465,0.2627975642681122,0.3084104657173157
agitation,0.20616403222084045,0.1456533819437027,0.3194475471973419,1.0,0.2544354200363159,0.17947106063365936,0.1586885154247284,0.29867932200431824,0.2449975460767746,0.2258286476135254
had,0.23849567770957947,0.540525496006012,0.3222610056400299,0.16297690570354462,0.248504638671875,0.47119471430778503,0.24222011864185333,0.17108342051506042,0.3270139992237091,0.20728366076946259
the,0.42745697498321533,0.34736719727516174,0.6274310946464539,0.2523765563964844,0.26373472809791565,0.4060266613960266,0.29861873388290405,0.26762521266937256,0.4739971458911896,0.22068053483963013
evil,0.30455663800239563,0.2756858766078949,0.22023247182369232,0.24082142114639282,0.14730612933635712,0.2196219563484192,0.20779606699943542,0.19287505745887756,0.17286628484725952,0.2301136553287506
result,0.19945499300956726,0.2026577889919281,0.33617642521858215,0.34606748819351196,0.23180024325847626,0.21420571208000183,0.20872005820274353,0.2811959981918335,0.2445775717496872,0.17218433320522308
that,0.6297725439071655,0.47518548369407654,0.6909449696540833,0.287181556224823,0.367409884929657,0.42443475127220154,0.27083322405815125,0.3408452570438385,0.4137635827064514,0.32716336846351624
luther,0.2134782373905182,0.23667675256729126,0.17328955233097076,0.18619000911712646,0.12026843428611755,0.23796728253364563,0.12267965078353882,0.12966220080852509,0.12958186864852905,0.1732746809720993
fatefully,0.36415591835975647,0.33393827080726624,0.33546721935272217,0.3374456465244293,0.24056798219680786,0.3669590651988983,0.20477049052715302,0.2822526693344116,0.26786479353904724,0.3123725354671478
became,0.1434093862771988,0.3632316589355469,0.1946946084499359,0.193889319896698,0.11417083442211151,0.4831738770008087,0.19179925322532654,0.1089782863855362,0.3017078936100006,0.11374033987522125
