,who,was,it,essential,to,islam,to,imitate,?
he,0.5500732064247131,0.5410010814666748,0.36018872261047363,0.14403733611106873,0.385390967130661,0.17072981595993042,0.385390967130661,0.18926352262496948,0.2089974731206894
believed,0.37975674867630005,0.3758357763290405,0.30581751465797424,0.2257242202758789,0.35322412848472595,0.2837423086166382,0.35322412848472595,0.17913571000099182,0.17606885731220245
that,0.45444270968437195,0.33670201897621155,0.5921133160591125,0.3308117985725403,0.5436353087425232,0.22824111580848694,0.5436353087425232,0.33207425475120544,0.32716336846351624
complete,0.16334585845470428,0.13758507370948792,0.23172526061534882,0.3465583324432373,0.26479288935661316,0.15832304954528809,0.26479288935661316,0.2605426013469696,0.11962060630321503
imitation,0.2369806468486786,0.15336443483829498,0.24043691158294678,0.267323762178421,0.21742214262485504,0.21992070972919464,0.21742214262485504,0.7788692116737366,0.19225932657718658
of,0.2827862501144409,0.4069072902202606,0.38761502504348755,0.3107908368110657,0.41548454761505127,0.21728332340717316,0.41548454761505127,0.15610040724277496,0.1826142966747284
the,0.3733934462070465,0.48711544275283813,0.6251175999641418,0.25420910120010376,0.535392165184021,0.2207694798707962,0.535392165184021,0.16331720352172852,0.22068053483963013
prophet,0.30343180894851685,0.21951255202293396,0.1551380753517151,0.18974602222442627,0.2082802802324295,0.5700991153717041,0.2082802802324295,0.184781014919281,0.22816047072410583
mohammad,0.23959627747535706,0.2611331641674042,0.12305881083011627,0.12443607300519943,0.1529897302389145,0.5301600098609924,0.1529897302389145,0.11793166399002075,0.12592719495296478
and,0.41279885172843933,0.3740963041782379,0.40957894921302795,0.29929104447364807,0.48971283435821533,0.25070106983184814,0.48971283435821533,0.2953886091709137,0.20544172823429108
his,0.44966956973075867,0.4405253231525421,0.2876833975315094,0.20420663058757782,0.3715193271636963,0.1826125979423523,0.3715193271636963,0.20885534584522247,0.18075084686279297
successors,0.24522238969802856,0.2502745985984802,0.17738434672355652,0.14748866856098175,0.15720818936824799,0.2195696383714676,0.15720818936824799,0.16516005992889404,0.10190409421920776
such,0.2594927251338959,0.12487147748470306,0.28879642486572266,0.31881967186927795,0.2871878743171692,0.11988474428653717,0.2871878743171692,0.35046759247779846,0.17851735651493073
as,0.3923053741455078,0.3677520453929901,0.4461488723754883,0.2324567437171936,0.42092081904411316,0.2478460818529129,0.42092081904411316,0.2548198401927948,0.27043893933296204
ali,0.2511599361896515,0.2125740945339203,0.10625771433115005,0.09091231971979141,0.1743808537721634,0.49193650484085083,0.1743808537721634,0.09461957216262817,0.12320320308208466
for,0.37110671401023865,0.3863949179649353,0.32171204686164856,0.2567243278026581,0.4451248347759247,0.1461709886789322,0.4451248347759247,0.1877707988023758,0.264628142118454
restoration,0.17145247757434845,0.29491326212882996,0.2392369657754898,0.21388301253318787,0.23322175443172455,0.19958877563476562,0.23322175443172455,0.16529123485088348,0.16668665409088135
of,0.2827862501144409,0.4069072902202606,0.38761502504348755,0.3107908368110657,0.41548454761505127,0.21728332340717316,0.41548454761505127,0.15610040724277496,0.1826142966747284
sharia,0.1869291067123413,0.18241116404533386,0.20710119605064392,0.31967324018478394,0.2600368559360504,0.5505893230438232,0.2600368559360504,0.18489010632038116,0.22811804711818695
law,0.21111567318439484,0.21553055942058563,0.18657292425632477,0.1734878569841385,0.259207159280777,0.3103973865509033,0.259207159280777,0.09903839230537415,0.1528988480567932
was,0.3318818509578705,1.0000001192092896,0.4577186405658722,0.14217691123485565,0.3636345863342285,0.15794138610363007,0.3636345863342285,0.09603770077228546,0.18412111699581146
essential,0.1409582942724228,0.14217691123485565,0.19881367683410645,1.0000001192092896,0.1962485909461975,0.21039927005767822,0.1962485909461975,0.2750750184059143,0.17944687604904175
to,0.42656609416007996,0.3636345863342285,0.513711154460907,0.1962485909461975,1.0,0.2398901730775833,1.0,0.24657559394836426,0.29463258385658264
