,low,doses,of,anti-inflammatories,are,sometimes,used,with,what,classes,of,drugs,?
lower,0.46817684173583984,0.20489519834518433,0.31757521629333496,0.14634835720062256,0.22557412087917328,0.2765670418739319,0.1612802892923355,0.1784515678882599,0.20079238712787628,0.19294431805610657,0.31757521629333496,0.07357638329267502,0.08471795171499252
doses,0.3071146607398987,1.0,0.2203560471534729,0.577616810798645,0.343686044216156,0.30162134766578674,0.3200066089630127,0.220513716340065,0.23750413954257965,0.27070707082748413,0.2203560471534729,0.5908489227294922,0.19695578515529633
of,0.27171993255615234,0.2203560471534729,1.0,0.2574518620967865,0.39081433415412903,0.296434611082077,0.3075267970561981,0.41827285289764404,0.33290785551071167,0.19099700450897217,1.0,0.21399663388729095,0.1826142966747284
anti-inflammatory,0.24888616800308228,0.5796172618865967,0.2399972677230835,0.9330964684486389,0.28550535440444946,0.2739447057247162,0.2641291320323944,0.21233989298343658,0.22603416442871094,0.1722210943698883,0.2399972677230835,0.5137049555778503,0.22249925136566162
drugs,0.20988743007183075,0.5908489227294922,0.21399663388729095,0.5346491932868958,0.2709655165672302,0.23282061517238617,0.26952141523361206,0.19421935081481934,0.27091342210769653,0.25226619839668274,0.21399663388729095,1.0000001192092896,0.15436270833015442
are,0.23422758281230927,0.343686044216156,0.39081433415412903,0.32348135113716125,1.0,0.47411349415779114,0.3322218656539917,0.38996943831443787,0.29724663496017456,0.2913099527359009,0.39081433415412903,0.2709655165672302,0.24591213464736938
often,0.302638977766037,0.34387680888175964,0.3351972997188568,0.33801594376564026,0.5443448424339294,0.791614830493927,0.521835446357727,0.41081544756889343,0.3849453330039978,0.2412964254617691,0.3351972997188568,0.28305310010910034,0.23748154938220978
used,0.2571846842765808,0.3200066089630127,0.3075267970561981,0.31705641746520996,0.3322218656539917,0.4974112808704376,0.9999998807907104,0.3047430217266083,0.27546408772468567,0.26141780614852905,0.3075267970561981,0.26952141523361206,0.22430120408535004
in,0.21458278596401215,0.18273217976093292,0.5696388483047485,0.2221367210149765,0.3841303884983063,0.31462913751602173,0.3090210556983948,0.4080928862094879,0.30808621644973755,0.20728561282157898,0.5696388483047485,0.18405058979988098,0.20430970191955566
conjunction,0.1327282339334488,0.1979283094406128,0.18689265847206116,0.2724311053752899,0.22937312722206116,0.28579509258270264,0.3307226896286011,0.26938486099243164,0.24663683772087097,0.23254229128360748,0.18689265847206116,0.22132167220115662,0.15015976130962372
with,0.2028178721666336,0.220513716340065,0.41827285289764404,0.232747882604599,0.38996943831443787,0.30637601017951965,0.3047430217266083,0.9999999403953552,0.2464839518070221,0.19796571135520935,0.41827285289764404,0.19421935081481934,0.2433311939239502
cytotoxic,0.29224705696105957,0.5590684413909912,0.2379591315984726,0.6035619974136353,0.32282209396362305,0.26316091418266296,0.2850898802280426,0.22322066128253937,0.27720823884010315,0.22351579368114471,0.2379591315984726,0.40702110528945923,0.2709274888038635
or,0.24347376823425293,0.3743049204349518,0.3792596757411957,0.3593146800994873,0.5374364256858826,0.5977028608322144,0.4951852560043335,0.38158315420150757,0.33867141604423523,0.29647108912467957,0.3792596757411957,0.27312225103378296,0.32389625906944275
immunosuppressive,0.2205812633037567,0.5199071168899536,0.28317955136299133,0.6135013103485107,0.3329129219055176,0.29316675662994385,0.3021009862422943,0.2528212070465088,0.3023419678211212,0.24511505663394928,0.28317955136299133,0.42477548122406006,0.25029832124710083
drugs,0.20988743007183075,0.5908489227294922,0.21399663388729095,0.5346491932868958,0.2709655165672302,0.23282061517238617,0.26952141523361206,0.19421935081481934,0.27091342210769653,0.25226619839668274,0.21399663388729095,1.0000001192092896,0.15436270833015442
such,0.24944157898426056,0.29466527700424194,0.3209529519081116,0.28511306643486023,0.4654397666454315,0.4101641774177551,0.4262988865375519,0.3346101939678192,0.23989605903625488,0.2389480322599411,0.3209529519081116,0.28769445419311523,0.17851735651493073
as,0.22321817278862,0.25251904129981995,0.3886612355709076,0.2072729468345642,0.3826591968536377,0.3959874212741852,0.35160550475120544,0.40387406945228577,0.31749409437179565,0.2623615860939026,0.3886612355709076,0.19872604310512543,0.27043893933296204
methotrexate,0.2653282582759857,0.595658540725708,0.37848442792892456,0.6266195774078369,0.3781149983406067,0.4441426694393158,0.4608912169933319,0.30699801445007324,0.3636155426502228,0.27126777172088623,0.37848442792892456,0.5866100192070007,0.2735767066478729
or,0.24347376823425293,0.3743049204349518,0.3792596757411957,0.3593146800994873,0.5374364256858826,0.5977028608322144,0.4951852560043335,0.38158315420150757,0.33867141604423523,0.29647108912467957,0.3792596757411957,0.27312225103378296,0.32389625906944275
azathioprine,0.2528167963027954,0.42203018069267273,0.31797435879707336,0.4837464392185211,0.31638967990875244,0.26072224974632263,0.2984064519405365,0.23856079578399658,0.21604174375534058,0.2111649364233017,0.31797435879707336,0.3436519503593445,0.24237243831157684
.,0.2639716863632202,0.24631071090698242,0.5352458953857422,0.2650698721408844,0.3452940285205841,0.24956031143665314,0.33111312985420227,0.4446153938770294,0.3567904531955719,0.24851149320602417,0.5352458953857422,0.23083394765853882,0.4130953550338745
