,lots,of,tumor,cells,have,fewer,of,what,type,of,molecule,on,their,surface,?
nk,0.11585472524166107,0.14548860490322113,0.31112080812454224,0.4314545691013336,0.18930299580097198,0.16598857939243317,0.14548860490322113,0.17948241531848907,0.24387887120246887,0.14548860490322113,0.26915404200553894,0.1341000199317932,0.13049259781837463,0.1539769321680069,0.27499058842658997
cells,0.19036106765270233,0.21305565536022186,0.46796542406082153,1.0,0.294906347990036,0.1721057891845703,0.21305565536022186,0.1758001297712326,0.2162136286497116,0.21305565536022186,0.4628199338912964,0.14727668464183807,0.2534589171409607,0.31813645362854004,0.1898086667060852
also,0.4449728727340698,0.4924938678741455,0.23321262001991272,0.20753082633018494,0.5252172946929932,0.364140123128891,0.4924938678741455,0.42747777700424194,0.26631516218185425,0.4924938678741455,0.25914791226387024,0.3762153089046478,0.4181114733219147,0.24092766642570496,0.21848613023757935
kill,0.08934769779443741,0.19896888732910156,0.26356205344200134,0.23383215069770813,0.2240525484085083,0.14385497570037842,0.19896888732910156,0.2582238018512726,0.10462377220392227,0.19896888732910156,0.17016427218914032,0.14395056664943695,0.22507061064243317,0.19952204823493958,0.1932259500026703
tumorous,0.24256029725074768,0.27918410301208496,0.6388373374938965,0.37609824538230896,0.23452237248420715,0.172355517745018,0.27918410301208496,0.3292998969554901,0.20006953179836273,0.27918410301208496,0.3341284692287445,0.21662597358226776,0.2456117868423462,0.2660355567932129,0.2056616097688675
cells,0.19036106765270233,0.21305565536022186,0.46796542406082153,1.0,0.294906347990036,0.1721057891845703,0.21305565536022186,0.1758001297712326,0.2162136286497116,0.21305565536022186,0.4628199338912964,0.14727668464183807,0.2534589171409607,0.31813645362854004,0.1898086667060852
in,0.28468185663223267,0.5696388483047485,0.21095719933509827,0.1711641103029251,0.36843645572662354,0.28511932492256165,0.5696388483047485,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.22239558398723602,0.46853652596473694,0.34976133704185486,0.20246390998363495,0.20430970191955566
a,0.2316628098487854,0.5052502155303955,0.25356221199035645,0.2297232300043106,0.338716596364975,0.26265600323677063,0.5052502155303955,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.25077784061431885,0.3848365545272827,0.29698723554611206,0.24436084926128387,0.23916715383529663
similar,0.24833402037620544,0.2911645472049713,0.0955054759979248,0.18562933802604675,0.42367541790008545,0.28508079051971436,0.2911645472049713,0.30608364939689636,0.30731043219566345,0.2911645472049713,0.2667328417301178,0.23418132960796356,0.2997264862060547,0.2718093693256378,0.23309361934661865
way,0.3240269124507904,0.266871839761734,0.16644927859306335,0.27734529972076416,0.4185628294944763,0.28942006826400757,0.266871839761734,0.4835909903049469,0.2360830307006836,0.266871839761734,0.3504044711589813,0.2997978627681732,0.34286630153656006,0.23072756826877594,0.31575819849967957
