,what,did,martin,brecht,call,luther,'s,stand,on,the,jews,?
nevertheless,0.3331672251224518,0.3379124701023102,0.11026343703269958,0.16640034317970276,0.13657189905643463,0.1388128697872162,0.06140727177262306,0.16148898005485535,0.1905568242073059,0.29583513736724854,0.16378054022789001,0.12207362055778503
",",0.3087472915649414,0.3015086054801941,0.27058324217796326,0.2528860569000244,0.2670435905456543,0.23255878686904907,-0.0016132977325469255,0.27589988708496094,0.49057599902153015,0.4933079481124878,0.27184903621673584,0.31091248989105225
his,0.26976513862609863,0.3546801507472992,0.23498685657978058,0.27323785424232483,0.08363278955221176,0.27093374729156494,0.047556519508361816,0.20257389545440674,0.32064297795295715,0.4394008219242096,0.19577133655548096,0.18075084686279297
misguided,0.40273165702819824,0.26537036895751953,0.05678959935903549,0.18669453263282776,0.2765217423439026,0.15792344510555267,-0.05794179067015648,0.2045588344335556,0.21420036256313324,0.2881642282009125,0.21955101191997528,0.3084104657173157
agitation,0.20616403222084045,0.1456533819437027,0.09870108962059021,0.1560477316379547,0.12782441079616547,0.18619000911712646,0.005981882102787495,0.09137313812971115,0.19657249748706818,0.2523765563964844,0.18473601341247559,0.2258286476135254
had,0.23849567770957947,0.540525496006012,0.14995867013931274,0.21281591057777405,0.1465468853712082,0.16133075952529907,-0.004401352722197771,0.15880176424980164,0.36692994832992554,0.3875846862792969,0.23372827470302582,0.20728366076946259
the,0.42745697498321533,0.34736719727516174,0.22029393911361694,0.19037958979606628,0.26640447974205017,0.1759674996137619,-0.01540423184633255,0.2531624138355255,0.5107308030128479,1.0,0.24901628494262695,0.22068053483963013
evil,0.30455663800239563,0.2756858766078949,0.09714265912771225,0.14655457437038422,0.09327210485935211,0.1978575736284256,0.0744994655251503,0.10858357697725296,0.12069779634475708,0.21445226669311523,0.28639480471611023,0.2301136553287506
result,0.19945499300956726,0.2026577889919281,0.05557342618703842,0.10522373020648956,0.1556047648191452,0.09958437830209732,0.06641998142004013,0.08105217665433884,0.22479186952114105,0.27778977155685425,0.1438482105731964,0.17218433320522308
that,0.6297725439071655,0.47518548369407654,0.1594845950603485,0.19492672383785248,0.2914465367794037,0.21746599674224854,0.04397977516055107,0.23706041276454926,0.42569106817245483,0.5473989248275757,0.27395346760749817,0.32716336846351624
luther,0.2134782373905182,0.23667675256729126,0.6228963136672974,0.2791024446487427,0.0945192277431488,1.0,-0.009990512393414974,0.08359112590551376,0.19090485572814941,0.1759674996137619,0.24326977133750916,0.1732746809720993
fatefully,0.36415591835975647,0.33393827080726624,0.1789889931678772,0.2886403501033783,0.12312586605548859,0.2524707615375519,-0.020981263369321823,0.19900211691856384,0.2916457951068878,0.2735453248023987,0.23727372288703918,0.3123725354671478
became,0.1434093862771988,0.3632316589355469,0.19664908945560455,0.17691515386104584,0.12937551736831665,0.18142570555210114,0.0067522358149290085,0.06139586120843887,0.19448097050189972,0.36325156688690186,0.12987542152404785,0.11374033987522125
one,0.376489520072937,0.27659472823143005,0.08929091691970825,0.13819000124931335,0.196565642952919,0.1255420446395874,0.06913424283266068,0.20369559526443481,0.3601475656032562,0.5514441132545471,0.16829505562782288,0.2673267424106598
of,0.33290785551071167,0.2513895630836487,0.13722093403339386,0.1912311464548111,0.2378445267677307,0.1719115972518921,-0.03817026689648628,0.2038130760192871,0.3966929316520691,0.733189046382904,0.2207300066947937,0.1826142966747284
the,0.42745697498321533,0.34736719727516174,0.22029393911361694,0.19037958979606628,0.26640447974205017,0.1759674996137619,-0.01540423184633255,0.2531624138355255,0.5107308030128479,1.0,0.24901628494262695,0.22068053483963013
'church,0.16605517268180847,0.1970224529504776,0.3031948208808899,0.30809926986694336,0.1408490538597107,0.3868819773197174,0.05649832263588905,0.15845756232738495,0.21589232981204987,0.2508576810359955,0.23092125356197357,0.1515081226825714
fathers,0.28093183040618896,0.3056555688381195,0.15669840574264526,0.20670780539512634,0.1687288135290146,0.23977985978126526,0.04137253016233444,0.13593411445617676,0.16991204023361206,0.3041773736476898,0.26202458143234253,0.15017558634281158
',0.3245812654495239,0.25488927960395813,0.21534205973148346,0.15157675743103027,0.23467078804969788,0.142246812582016,0.07651367038488388,0.16661594808101654,0.30823177099227905,0.474788099527359,0.07051759213209152,0.330942302942276
of,0.33290785551071167,0.2513895630836487,0.13722093403339386,0.1912311464548111,0.2378445267677307,0.1719115972518921,-0.03817026689648628,0.2038130760192871,0.3966929316520691,0.733189046382904,0.2207300066947937,0.1826142966747284
anti-semitism,0.2613133192062378,0.2808336019515991,0.21102221310138702,0.2815927267074585,0.1853620558977127,0.3139852285385132,-0.05119109898805618,0.13408292829990387,0.15922391414642334,0.23656216263771057,0.43404534459114075,0.1914309561252594
and,0.31309178471565247,0.34479495882987976,0.2544763386249542,0.21124550700187683,0.237839937210083,0.20796556770801544,0.06895173341035843,0.268960565328598,0.4077630043029785,0.5171257257461548,0.2555774748325348,0.20544172823429108
thus,0.30745524168014526,0.23622971773147583,0.014188244938850403,0.15528841316699982,0.22910842299461365,0.060248855501413345,0.05755096301436424,0.21362139284610748,0.24622735381126404,0.4036877751350403,0.16770625114440918,0.18769288063049316
provided,0.2206064909696579,0.2778315246105194,0.07027306407690048,0.17761823534965515,0.16339074075222015,0.11748263239860535,0.01738812029361725,0.2281746119260788,0.24629086256027222,0.304488867521286,0.1065724641084671,0.16893617808818817
material,0.2591213285923004,0.18850626051425934,0.08981966227293015,0.17240634560585022,0.08472036570310593,0.12966220080852509,-0.026550788432359695,0.17776040732860565,0.26862505078315735,0.26762521266937256,0.14982011914253235,0.18117131292819977
for,0.3017193675041199,0.318512886762619,0.1178249642252922,0.17709749937057495,0.272861123085022,0.12958186864852905,-0.07241261005401611,0.29936376214027405,0.36199691891670227,0.4739971458911896,0.19548188149929047,0.264628142118454
the,0.42745697498321533,0.34736719727516174,0.22029393911361694,0.19037958979606628,0.26640447974205017,0.1759674996137619,-0.01540423184633255,0.2531624138355255,0.5107308030128479,1.0,0.24901628494262695,0.22068053483963013
modern,0.2655639946460724,0.21376098692417145,0.1504555344581604,0.13842816650867462,0.28510135412216187,0.1233358383178711,0.03816800191998482,0.10556699335575104,0.17548997700214386,0.3283970355987549,0.16368594765663147,0.12475407868623734
hatred,0.26765236258506775,0.2563551664352417,0.11707212775945663,0.1433427929878235,0.2259649783372879,0.23777005076408386,-0.023890161886811256,0.12652525305747986,0.06088459491729736,0.22672763466835022,0.397000789642334,0.19089287519454956
of,0.33290785551071167,0.2513895630836487,0.13722093403339386,0.1912311464548111,0.2378445267677307,0.1719115972518921,-0.03817026689648628,0.2038130760192871,0.3966929316520691,0.733189046382904,0.2207300066947937,0.1826142966747284
the,0.42745697498321533,0.34736719727516174,0.22029393911361694,0.19037958979606628,0.26640447974205017,0.1759674996137619,-0.01540423184633255,0.2531624138355255,0.5107308030128479,1.0,0.24901628494262695,0.22068053483963013
jews,0.22131574153900146,0.23080717027187347,0.10628208518028259,0.23191408812999725,0.17633850872516632,0.24326977133750916,0.017030835151672363,0.16737794876098633,0.13907738029956818,0.24901628494262695,1.0000001192092896,0.16730794310569763
",",0.3087472915649414,0.3015086054801941,0.27058324217796326,0.2528860569000244,0.2670435905456543,0.23255878686904907,-0.0016132977325469255,0.27589988708496094,0.49057599902153015,0.4933079481124878,0.27184903621673584,0.31091248989105225
cloaking,0.2814951539039612,0.18784740567207336,0.07482443749904633,0.1384381800889969,0.21245761215686798,0.09276212751865387,0.0015681306831538677,0.1915929764509201,0.18677371740341187,0.2697695195674896,0.12618175148963928,0.18341444432735443
it,0.45803478360176086,0.2993364930152893,0.22085990011692047,0.17383600771427155,0.21226534247398376,0.15365919470787048,0.06608816236257553,0.23952847719192505,0.4529881477355957,0.6251175999641418,0.19764471054077148,0.25732165575027466
with,0.2464839518070221,0.25472134351730347,0.18055595457553864,0.1455228179693222,0.22334177792072296,0.14705438911914825,-0.04624466598033905,0.18180297315120697,0.40749499201774597,0.4223487675189972,0.1251157820224762,0.2433311939239502
the,0.42745697498321533,0.34736719727516174,0.22029393911361694,0.19037958979606628,0.26640447974205017,0.1759674996137619,-0.01540423184633255,0.2531624138355255,0.5107308030128479,1.0,0.24901628494262695,0.22068053483963013
authority,0.23046736419200897,0.23189641535282135,0.1095476746559143,0.06332776695489883,0.2018311768770218,0.17736110091209412,0.019309991970658302,0.16096080839633942,0.17171882092952728,0.2645063102245331,0.27327659726142883,0.18404170870780945
of,0.33290785551071167,0.2513895630836487,0.13722093403339386,0.1912311464548111,0.2378445267677307,0.1719115972518921,-0.03817026689648628,0.2038130760192871,0.3966929316520691,0.733189046382904,0.2207300066947937,0.1826142966747284
the,0.42745697498321533,0.34736719727516174,0.22029393911361694,0.19037958979606628,0.26640447974205017,0.1759674996137619,-0.01540423184633255,0.2531624138355255,0.5107308030128479,1.0,0.24901628494262695,0.22068053483963013
reformer,0.1662570685148239,0.1290028989315033,0.2915140986442566,0.31365033984184265,0.13020575046539307,0.4052896499633789,0.050285033881664276,0.07323361933231354,0.11741122603416443,0.16944025456905365,0.2668399512767792,0.11289013922214508
.,0.3567904531955719,0.35288307070732117,0.25235527753829956,0.2353190928697586,0.2601918876171112,0.24907569587230682,-0.003708066651597619,0.2296130359172821,0.49257001280784607,0.5934505462646484,0.2115412801504135,0.4130953550338745
'',0.08143015950918198,0.01978493109345436,-0.10166443884372711,0.0615435354411602,-0.01835283823311329,-0.04572787508368492,-0.04859459400177002,0.08268814533948898,0.04238596186041832,0.041273195296525955,-0.06881692260503769,0.018684765323996544
