,what,was,the,first,lutheran,hymnal,?
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.4127444326877594,0.2489040344953537,0.2645895183086395,0.20430970191955566
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.4287874400615692,0.1988534927368164,0.20414845645427704,0.23916715383529663
collaboration,0.27454277873039246,0.2780956029891968,0.2240220159292221,0.26185867190361023,0.10846533626317978,0.18617047369480133,0.23211127519607544
with,0.2464839518070221,0.27411898970603943,0.4223487675189972,0.2691199779510498,0.12326720356941223,0.1482141613960266,0.2433311939239502
paul,0.11217030137777328,0.24299268424510956,0.19191958010196686,0.17816093564033508,0.20953932404518127,0.19391152262687683,0.16611461341381073
speratus,0.21108724176883698,0.15621276199817657,0.24896091222763062,0.16996991634368896,0.13599614799022675,0.15341657400131226,0.20497387647628784
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.34503069519996643,0.26864951848983765,0.32863128185272217,0.31091248989105225
this,0.5489566326141357,0.3638818562030792,0.6274310946464539,0.41690850257873535,0.151315376162529,0.2040601372718811,0.3155723512172699
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.3167642652988434,0.20310066640377045,0.2837383449077606,0.20544172823429108
seven,0.15978287160396576,0.28194957971572876,0.28151169419288635,0.21932683885097504,0.13696645200252533,0.18604369461536407,0.1732930988073349
other,0.341873437166214,0.14651623368263245,0.44152235984802246,0.23885147273540497,0.18223394453525543,0.14301533997058868,0.24682199954986572
hymns,0.17175553739070892,0.22357870638370514,0.1660911738872528,0.16188344359397888,0.41544732451438904,0.7368002533912659,0.17695237696170807
were,0.22298263013362885,0.590133786201477,0.3906462490558624,0.3285558819770813,0.22986336052417755,0.20761458575725555,0.17890112102031708
published,0.20457668602466583,0.2896443009376526,0.22017472982406616,0.3122035264968872,0.14635565876960754,0.2827349901199341,0.16280238330364227
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.4127444326877594,0.2489040344953537,0.2645895183086395,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,1.0,0.49448907375335693,0.20315466821193695,0.27393218874931335,0.22068053483963013
achtliederbuch,0.23100066184997559,0.3268906772136688,0.3414166569709778,0.2632450759410858,0.3805615305900574,0.4083912968635559,0.26709797978401184
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.34503069519996643,0.26864951848983765,0.32863128185272217,0.31091248989105225
the,0.42745697498321533,0.48711544275283813,1.0,0.49448907375335693,0.20315466821193695,0.27393218874931335,0.22068053483963013
first,0.28086137771606445,0.5022147297859192,0.49448907375335693,1.0,0.1814015507698059,0.25188982486724854,0.18701928853988647
lutheran,0.195865198969841,0.2620541453361511,0.20315466821193695,0.1814015507698059,1.0000001192092896,0.33152660727500916,0.1752520203590393
hymnal,0.19135619699954987,0.2962062954902649,0.27393218874931335,0.25188982486724854,0.33152660727500916,1.0,0.14759886264801025
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.4345304071903229,0.29032230377197266,0.2306274026632309,0.4130953550338745
