,what,did,tesla,explore,in,tominaj,?
there,0.35085538029670715,0.29736605286598206,0.16046448051929474,0.2161908596754074,0.5361666083335876,0.1639186292886734,0.29405656456947327
",",0.3087472915649414,0.3015086054801941,0.20599327981472015,0.20053641498088837,0.5201468467712402,0.3430103361606598,0.31091248989105225
he,0.3114890456199646,0.3292143940925598,0.12373391538858414,0.18484722077846527,0.41690486669540405,0.2750851511955261,0.2089974731206894
explored,0.2343243807554245,0.2389964908361435,0.06418643891811371,0.8732205033302307,0.2683154344558716,0.14950083196163177,0.08649857342243195
the,0.42745697498321533,0.34736719727516174,0.1324402391910553,0.2802637219429016,0.6662389636039734,0.26348957419395447,0.22068053483963013
mountains,0.1498076319694519,0.12836767733097076,0.07621756941080093,0.2615329325199127,0.27267226576805115,0.19068719446659088,0.08633821457624435
in,0.30808621644973755,0.2593238651752472,0.17097744345664978,0.23221808671951294,1.0,0.24489176273345947,0.20430970191955566
hunter,0.16765183210372925,0.19588172435760498,0.10805284976959229,0.2723034918308258,0.18519392609596252,0.24950997531414032,0.1317238211631775
's,0.02692362666130066,0.05069678649306297,0.06449045985937119,0.0538913793861866,-0.037580832839012146,0.015433968976140022,-0.023395681753754616
garb,0.14266565442085266,0.12535898387432098,0.1654997020959854,0.18629181385040283,0.1651110202074051,0.32780158519744873,0.2234223186969757
.,0.3567904531955719,0.35288307070732117,0.17949827015399933,0.22333703935146332,0.5591574311256409,0.2720460593700409,0.4130953550338745
