,what,'s,the,nickname,for,newcastle,'s,a167,?
major,0.21026742458343506,-0.010959804058074951,0.31775903701782227,0.14812877774238586,0.23592928051948547,0.15312890708446503,-0.010959804058074951,0.07986780256032944,0.19788557291030884
roads,0.19353218376636505,0.030087830498814583,0.25260934233665466,0.10667933523654938,0.23180420696735382,0.192631334066391,0.030087830498814583,0.1716356873512268,0.17565645277500153
in,0.30808621644973755,-0.037580832839012146,0.6662389636039734,0.14081448316574097,0.4322226941585541,0.19270820915699005,-0.037580832839012146,0.1413291096687317,0.20430970191955566
the,0.42745697498321533,-0.01540423184633255,1.0,0.20167101919651031,0.4739971458911896,0.2253497689962387,-0.01540423184633255,0.192526176571846,0.22068053483963013
area,0.21965408325195312,-0.002423585159704089,0.37834644317626953,0.1594948023557663,0.20941852033138275,0.18503880500793457,-0.002423585159704089,0.1607605218887329,0.12640461325645447
include,0.1535889357328415,-0.07849370688199997,0.2951717972755432,0.15552878379821777,0.39020416140556335,0.0805373415350914,-0.07849370688199997,0.1555183082818985,0.14925788342952728
the,0.42745697498321533,-0.01540423184633255,1.0,0.20167101919651031,0.4739971458911896,0.2253497689962387,-0.01540423184633255,0.192526176571846,0.22068053483963013
a1,0.018953397870063782,0.05086919292807579,0.02656584046781063,0.005009995307773352,0.02289603464305401,-0.06691265851259232,0.05086919292807579,0.04189784452319145,-0.015579691156744957
(,0.2411840260028839,0.0012731997994706035,0.33289089798927307,0.18479742109775543,0.3357032239437103,0.13896974921226501,0.0012731997994706035,0.010465764440596104,0.40561532974243164
gateshead,0.15238600969314575,0.05172746255993843,0.29985129833221436,0.2195822298526764,0.22530944645404816,0.5162909030914307,0.05172746255993843,0.04009600356221199,0.14773961901664734
newcastle,0.16276082396507263,-0.017262522131204605,0.2253497689962387,0.19517789781093597,0.2425866425037384,1.0000001192092896,-0.017262522131204605,0.1499752551317215,0.0902252271771431
western,0.2454150915145874,0.06932425498962402,0.37920868396759033,0.10867731273174286,0.15054884552955627,0.20867665112018585,0.06932425498962402,0.1303054690361023,0.17439141869544983
bypass,0.25719916820526123,0.03372427076101303,0.22766618430614471,0.134254589676857,0.24364085495471954,0.15159034729003906,0.03372427076101303,0.1390211582183838,0.18418999016284943
),0.26259949803352356,0.021107977256178856,0.3456730246543884,0.21224816143512726,0.3639558255672455,0.15254424512386322,0.021107977256178856,0.012146931141614914,0.42300865054130554
",",0.3087472915649414,-0.0016132977325469255,0.4933079481124878,0.1957998126745224,0.4464869201183319,0.251589834690094,-0.0016132977325469255,0.14589691162109375,0.31091248989105225
stretching,0.24755911529064178,0.034786541014909744,0.3309820890426636,0.14356578886508942,0.18632927536964417,0.183895543217659,0.034786541014909744,0.1402052789926529,0.10934048146009445
north,0.18673177063465118,0.06196961551904678,0.36298373341560364,0.1698571741580963,0.17560088634490967,0.28581127524375916,0.06196961551904678,0.027335042133927345,0.11829731613397598
to,0.455847829580307,0.03782717138528824,0.535392165184021,0.16497400403022766,0.4451248347759247,0.23559264838695526,0.03782717138528824,0.3861970603466034,0.29463258385658264
edinburgh,0.10800135135650635,0.02990899048745632,0.2266589254140854,0.18918003141880035,0.16560859978199005,0.3934532105922699,0.02990899048745632,0.11173882335424423,0.09266204386949539
and,0.31309178471565247,0.06895173341035843,0.5171257257461548,0.1929931789636612,0.5064792633056641,0.20204751193523407,0.06895173341035843,0.2712674140930176,0.20544172823429108
