,what,percentage,of,france,'s,population,is,protestant,today,?
approximately,0.21610312163829803,0.3405741751194,0.34526896476745605,0.16274741291999817,0.017990030348300934,0.4278254210948944,0.2724578380584717,0.13158223032951355,0.27924326062202454,0.10237617790699005
one,0.376489520072937,0.27172431349754333,0.4999135136604309,0.23014985024929047,0.06913424283266068,0.23939073085784912,0.4544198513031006,0.1895909458398819,0.3432668447494507,0.2673267424106598
million,0.22197039425373077,0.25275081396102905,0.21686489880084991,0.17595621943473816,0.05079329386353493,0.3087695837020874,0.19962359964847565,0.21747489273548126,0.26689571142196655,0.23092924058437347
protestants,0.24296174943447113,0.25363606214523315,0.3160131573677063,0.26682624220848083,0.04794778674840927,0.24082618951797485,0.17726023495197296,0.9133146405220032,0.2424461394548416,0.15855816006660461
in,0.30808621644973755,0.18874377012252808,0.5696388483047485,0.3812309503555298,-0.037580832839012146,0.3268454372882843,0.5394441485404968,0.2637297511100769,0.3300545811653137,0.20430970191955566
modern,0.2655639946460724,0.07938511669635773,0.3482828736305237,0.17182275652885437,0.03816800191998482,0.19619593024253845,0.24170172214508057,0.13819453120231628,0.4959476888179779,0.12475407868623734
france,0.17793065309524536,0.10915101319551468,0.3265724182128906,1.0000001192092896,0.024341266602277756,0.16930818557739258,0.22835302352905273,0.26634272933006287,0.19992029666900635,0.15069349110126495
represent,0.2515442371368408,0.20518778264522552,0.40416419506073,0.09936302155256271,0.1149238646030426,0.20679473876953125,0.2919517159461975,0.17951399087905884,0.16949772834777832,0.1972627341747284
some,0.4491020441055298,0.31714972853660583,0.4300730526447296,0.22965848445892334,0.056411296129226685,0.2011595219373703,0.3038453459739685,0.25840315222740173,0.4624233841896057,0.2562315762042999
2,-0.049862053245306015,-0.09529469162225723,-0.013777675107121468,-0.020904939621686935,0.10492397099733353,-0.02041282132267952,-0.07940074801445007,0.054978370666503906,-0.04979841783642769,0.001977203879505396
%,0.20738190412521362,0.5639340281486511,0.19953428208827972,0.13156090676784515,0.031266406178474426,0.4585210084915161,0.18672586977481842,0.23472605645656586,0.21047918498516083,0.21441808342933655
of,0.33290785551071167,0.24724560976028442,1.0,0.3265724182128906,-0.03817026689648628,0.3060894012451172,0.4854315221309662,0.31440475583076477,0.3291318118572235,0.1826142966747284
its,0.30393704771995544,0.2212667465209961,0.48690423369407654,0.21158620715141296,0.03202139586210251,0.33083978295326233,0.4447362422943115,0.14198626577854156,0.2839072048664093,0.15103481709957123
population,0.2000674307346344,0.35606327652931213,0.3060894012451172,0.16930818557739258,0.012951160781085491,1.0,0.2727566361427307,0.2608957290649414,0.27488070726394653,0.14449454843997955
.,0.3567904531955719,0.28866735100746155,0.5352458953857422,0.33719199895858765,-0.003708066651597619,0.26950228214263916,0.4569662809371948,0.279432475566864,0.30348071455955505,0.4130953550338745
