,who,led,the,panthers,in,sacks,?
pro,0.23716162145137787,0.2598087191581726,0.2149612456560135,0.20294983685016632,0.152218297123909,0.21555940806865692,0.17645101249217987
bowl,0.09189514070749283,0.16275393962860107,0.21576224267482758,0.34713199734687805,0.17236235737800598,0.2921851873397827,0.21118052303791046
defensive,0.18336546421051025,0.23267456889152527,0.2644767463207245,0.37187400460243225,0.22513550519943237,0.4047272801399231,0.1711898148059845
tackle,0.2198176085948944,0.18842807412147522,0.1645001471042633,0.2929748296737671,0.19911520183086395,0.3544894754886627,0.20533707737922668
kawann,0.21092753112316132,0.1484118103981018,0.2608884871006012,0.19933579862117767,0.23165109753608704,0.24580493569374084,0.19973447918891907
short,0.18928885459899902,0.050758447498083115,0.29603123664855957,0.2301217019557953,0.26193615794181824,0.16033008694648743,0.16194626688957214
led,0.2450801581144333,0.9999999403953552,0.3267505168914795,0.20059871673583984,0.2990247309207916,0.2322951704263687,0.09273858368396759
the,0.3733934462070465,0.3267505168914795,1.0,0.2602776288986206,0.6662389636039734,0.23296904563903809,0.22068053483963013
team,0.22248858213424683,0.2298295497894287,0.22564226388931274,0.333659291267395,0.18841172754764557,0.12940412759780884,0.11243411153554916
in,0.2792111933231354,0.2990247309207916,0.6662389636039734,0.2115829735994339,1.0,0.2059689611196518,0.20430970191955566
sacks,0.16894300282001495,0.2322951704263687,0.23296904563903809,0.3019881248474121,0.2059689611196518,1.0,0.0761517658829689
with,0.3282766342163086,0.27114903926849365,0.4223487675189972,0.23276561498641968,0.4080928862094879,0.15947255492210388,0.2433311939239502
11,0.11859084665775299,0.016182463616132736,-0.0219515822827816,-0.007205528672784567,0.03469983860850334,0.03327568992972374,-0.04295448586344719
",",0.3365725874900818,0.22548827528953552,0.4933079481124878,0.2494642585515976,0.5201468467712402,0.2979430854320526,0.31091248989105225
while,0.4068111777305603,0.2681278884410858,0.39804592728614807,0.19775532186031342,0.3399278521537781,0.17092110216617584,0.21076419949531555
also,0.47919341921806335,0.21037626266479492,0.6021018624305725,0.2513844072818756,0.5073733329772949,0.18825937807559967,0.21848613023757935
forcing,0.3017413914203644,0.2901296615600586,0.31176233291625977,0.12269148975610733,0.2283181995153427,0.22343778610229492,0.19852621853351593
three,0.2491552233695984,0.21491190791130066,0.43452659249305725,0.2735981047153473,0.34828072786331177,0.17164605855941772,0.20928427577018738
fumbles,0.2144661247730255,0.2139880210161209,0.21007823944091797,0.350493848323822,0.1527000367641449,0.4642697870731354,0.1826416552066803
and,0.41279885172843933,0.2780643701553345,0.5171257257461548,0.2230100929737091,0.4954058527946472,0.26875683665275574,0.20544172823429108
recovering,0.19735199213027954,0.28525277972221375,0.33151477575302124,0.17602668702602386,0.30643370747566223,0.32981011271476746,0.10804368555545807
two,0.2791741192340851,0.25966644287109375,0.43858039379119873,0.2664221525192261,0.36463531851768494,0.20439846813678741,0.19645625352859497
.,0.3541337847709656,0.19335708022117615,0.5934505462646484,0.23446570336818695,0.5591574311256409,0.20474085211753845,0.4130953550338745
