,what,is,a,prasinophyte,?
lepidodinium,0.18634876608848572,0.2544657588005066,0.2375578135251999,0.561745822429657,0.18498578667640686
viride,0.19064870476722717,0.2854582965373993,0.3003922402858734,0.43310120701789856,0.24772310256958008
and,0.31309178471565247,0.3859752118587494,0.3739250600337982,0.2603761851787567,0.20544172823429108
its,0.30393704771995544,0.4447362422943115,0.4424409866333008,0.19791027903556824,0.15103481709957123
close,0.23424343764781952,0.26769399642944336,0.2293529510498047,0.20407308638095856,0.1908312737941742
relatives,0.1565784066915512,0.11001893877983093,0.12794458866119385,0.3962736427783966,0.1256532222032547
are,0.29724663496017456,0.5330929756164551,0.265255331993103,0.3224809765815735,0.24591213464736938
dinophytes,0.24863049387931824,0.23188437521457672,0.22030939161777496,0.8875977396965027,0.23279373347759247
that,0.6297725439071655,0.3995479643344879,0.47537946701049805,0.24274827539920807,0.32716336846351624
lost,0.198215052485466,0.18998044729232788,0.24504798650741577,0.11111549288034439,0.15261413156986237
their,0.35142919421195984,0.2101074606180191,0.29698723554611206,0.20241475105285645,0.1898253709077835
original,0.24651947617530823,0.2681281864643097,0.25438275933265686,0.18809294700622559,0.17256900668144226
peridinin,0.22104650735855103,0.3188054859638214,0.3299764394760132,0.4152073860168457,0.16034066677093506
chloroplast,0.23505516350269318,0.20798198878765106,0.237538680434227,0.5332319140434265,0.12532055377960205
and,0.31309178471565247,0.3859752118587494,0.3739250600337982,0.2603761851787567,0.20544172823429108
replaced,0.12975038588047028,0.20220594108104706,0.20298108458518982,0.16521303355693817,0.14945141971111298
it,0.45803478360176086,0.6328473687171936,0.5452592968940735,0.17877446115016937,0.25732165575027466
with,0.2464839518070221,0.3250955045223236,0.3783375024795532,0.1771802455186844,0.2433311939239502
a,0.3320399522781372,0.658733606338501,1.0,0.24340443313121796,0.23916715383529663
green,0.16762696206569672,0.23195718228816986,0.2557748556137085,0.24922950565814972,0.11409882456064224
algal,0.19235531985759735,0.28404173254966736,0.19408543407917023,0.5256912112236023,0.18147486448287964
derived,0.20143714547157288,0.2666328251361847,0.20561029016971588,0.31568196415901184,0.1241099163889885
chloroplast,0.23505516350269318,0.20798198878765106,0.237538680434227,0.5332319140434265,0.12532055377960205
(,0.2411840260028839,0.35393038392066956,0.3206180930137634,0.2950391471385956,0.40561532974243164
more,0.3484537899494171,0.2946030795574188,0.3452818691730499,0.25045832991600037,0.27894994616508484
specifically,0.37581726908683777,0.30065107345581055,0.30994293093681335,0.2343515008687973,0.2063003033399582
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.3217307925224304,0.31091248989105225
a,0.3320399522781372,0.658733606338501,1.0,0.24340443313121796,0.23916715383529663
prasinophyte,0.21488139033317566,0.26101499795913696,0.24340443313121796,1.0,0.22744351625442505
),0.26259949803352356,0.37732169032096863,0.3640355169773102,0.2953374683856964,0.42300865054130554
.,0.3567904531955719,0.4569662809371948,0.50484299659729,0.2933771312236786,0.4130953550338745
