,what,was,the,teacher,'s,role,while,the,child,was,with,them,?
while,0.35511791706085205,0.3253832161426544,0.39804592728614807,0.23321563005447388,0.0011869525769725442,0.19695833325386047,1.0,0.39804592728614807,0.18671606481075287,0.3253832161426544,0.4426766335964203,0.4632771611213684,0.21076419949531555
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.31202319264411926,0.04866964742541313,0.22880133986473083,0.3733035624027252,0.5829201340675354,0.18734344840049744,0.4508470594882965,0.3783375024795532,0.3151612877845764,0.23916715383529663
child,0.21805857121944427,0.2058766484260559,0.19800683856010437,0.259179025888443,0.023338237777352333,0.17334511876106262,0.18671606481075287,0.19800683856010437,1.0000001192092896,0.2058766484260559,0.1592225432395935,0.2544737160205841,0.1979578584432602
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.2929542362689972,0.008974763564765453,0.2561398148536682,0.3253832161426544,0.48711544275283813,0.2058766484260559,1.0000001192092896,0.27411898970603943,0.23709723353385925,0.18412111699581146
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.22632350027561188,-0.037580832839012146,0.243671715259552,0.3399278521537781,0.6662389636039734,0.19259177148342133,0.45514053106307983,0.4080928862094879,0.29119014739990234,0.20430970191955566
school,0.18774057924747467,0.25740107893943787,0.22953221201896667,0.5442529320716858,-0.017113132402300835,0.13374219834804535,0.21811918914318085,0.22953221201896667,0.17876864969730377,0.25740107893943787,0.13135014474391937,0.16200685501098633,0.15091250836849213
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2884024977684021,-0.0016132977325469255,0.199491485953331,0.38232675194740295,0.4933079481124878,0.24469749629497528,0.45456063747406006,0.4120737314224243,0.3985835015773773,0.31091248989105225
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.31202319264411926,0.04866964742541313,0.22880133986473083,0.3733035624027252,0.5829201340675354,0.18734344840049744,0.4508470594882965,0.3783375024795532,0.3151612877845764,0.23916715383529663
teacher,0.20492632687091827,0.2929542362689972,0.17760860919952393,0.9999998807907104,0.026857737451791763,0.18514810502529144,0.23321563005447388,0.17760860919952393,0.259179025888443,0.2929542362689972,0.13737362623214722,0.20683510601520538,0.1797819435596466
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.2929542362689972,0.008974763564765453,0.2561398148536682,0.3253832161426544,0.48711544275283813,0.2058766484260559,1.0000001192092896,0.27411898970603943,0.23709723353385925,0.18412111699581146
