,what,caused,the,spread,of,the,jacksonville,fire,in,1901,?
on,0.34226128458976746,0.25160422921180725,0.5107308030128479,0.20659995079040527,0.3966929316520691,0.5107308030128479,0.23172973096370697,0.2237432897090912,0.46853652596473694,-0.0044535365886986256,0.2714994251728058
may,0.25739946961402893,0.2750105857849121,0.2694292366504669,0.16676124930381775,0.26447007060050964,0.2694292366504669,0.20775948464870453,0.12845076620578766,0.3424151837825775,0.002576288068667054,0.2768254578113556
3,0.04473085701465607,0.0970206931233406,0.06283142417669296,0.0811464786529541,0.046857766807079315,0.06283142417669296,0.028438039124011993,0.09449615329504013,0.06326868385076523,-0.050063323229551315,0.005975271109491587
",",0.3087472915649414,0.2600580155849457,0.4933079481124878,0.24950742721557617,0.4946078956127167,0.4933079481124878,0.2837527096271515,0.24915234744548798,0.5201468467712402,0.02599540539085865,0.31091248989105225
1901,-0.07605163753032684,0.002453599590808153,0.01573479175567627,-0.027892431244254112,0.09594502300024033,0.01573479175567627,-0.09080404788255692,0.08632776141166687,-0.01662074401974678,1.0000001192092896,-0.041070252656936646
",",0.3087472915649414,0.2600580155849457,0.4933079481124878,0.24950742721557617,0.4946078956127167,0.4933079481124878,0.2837527096271515,0.24915234744548798,0.5201468467712402,0.02599540539085865,0.31091248989105225
downtown,0.1348404437303543,0.20794562995433807,0.2602716088294983,0.2030276656150818,0.21455974876880646,0.2602716088294983,0.3532394468784332,0.20430491864681244,0.2716291546821594,-0.0055417283438146114,0.15638743340969086
jacksonville,0.14578714966773987,0.18101026117801666,0.2176690250635147,0.044086482375860214,0.23084138333797455,0.2176690250635147,1.0000001192092896,0.15530000627040863,0.22147351503372192,-0.09080404788255692,0.1359667330980301
was,0.22111038863658905,0.25113144516944885,0.48711544275283813,0.16506560146808624,0.4069072902202606,0.48711544275283813,0.2742757201194763,0.24801933765411377,0.45514053106307983,-0.008113718591630459,0.18412111699581146
ravaged,0.1888231635093689,0.32548007369041443,0.2522768974304199,0.30704164505004883,0.22329658269882202,0.2522768974304199,0.09435207396745682,0.31484800577163696,0.25850141048431396,0.027513064444065094,0.0958469808101654
by,0.2455483376979828,0.30491310358047485,0.4408751428127289,0.1772652268409729,0.3646814823150635,0.4408751428127289,0.15927588939666748,0.17999815940856934,0.370934396982193,0.0014788511907681823,0.17966607213020325
a,0.3320399522781372,0.22472180426120758,0.5829201340675354,0.17979469895362854,0.5052502155303955,0.5829201340675354,0.28008249402046204,0.2617572844028473,0.539380669593811,-0.024308795109391212,0.23916715383529663
fire,0.19359004497528076,0.20034219324588776,0.2911929488182068,0.21915985643863678,0.20259131491184235,0.2911929488182068,0.15530000627040863,0.9999999403953552,0.2514701783657074,0.08632776141166687,0.14396874606609344
that,0.6297725439071655,0.33201703429222107,0.5473989248275757,0.2891821265220642,0.41498205065727234,0.5473989248275757,0.20063675940036774,0.22560954093933105,0.435920387506485,-0.09461139887571335,0.32716336846351624
started,0.21609699726104736,0.24953296780586243,0.3222070634365082,0.266340434551239,0.22928385436534882,0.3222070634365082,0.20945198833942413,0.18516571819782257,0.3199414014816284,0.02143353782594204,0.19447724521160126
as,0.31749409437179565,0.16101646423339844,0.48381632566452026,0.19766707718372345,0.3886612355709076,0.48381632566452026,0.20988665521144867,0.15623275935649872,0.3887844979763031,-0.048730332404375076,0.27043893933296204
a,0.3320399522781372,0.22472180426120758,0.5829201340675354,0.17979469895362854,0.5052502155303955,0.5829201340675354,0.28008249402046204,0.2617572844028473,0.539380669593811,-0.024308795109391212,0.23916715383529663
kitchen,0.2413192093372345,0.0779988095164299,0.1859932690858841,0.15839099884033203,0.15611711144447327,0.1859932690858841,0.1544625610113144,0.24628765881061554,0.20387205481529236,0.024688731878995895,0.18090079724788666
fire,0.19359004497528076,0.20034219324588776,0.2911929488182068,0.21915985643863678,0.20259131491184235,0.2911929488182068,0.15530000627040863,0.9999999403953552,0.2514701783657074,0.08632776141166687,0.14396874606609344
.,0.3567904531955719,0.2413787543773651,0.5934505462646484,0.2690257728099823,0.5352458953857422,0.5934505462646484,0.2843366861343384,0.2511917054653168,0.5591574311256409,0.004086941480636597,0.4130953550338745
