,how,is,luther,commemorated,on,the,lutheran,",",episcopal,",",and,church,of,england,calendars,?
luther,0.13354721665382385,0.08282390236854553,1.0,0.18452680110931396,0.19090485572814941,0.1759674996137619,0.7014965415000916,0.23255878686904907,0.36606520414352417,0.23255878686904907,0.20796556770801544,0.379041463136673,0.1719115972518921,0.17883558571338654,0.15496686100959778,0.1732746809720993
is,0.22544461488723755,1.0,0.08282390236854553,0.21623633801937103,0.3635730445384979,0.5823672413825989,0.1802605539560318,0.4691906273365021,0.16667838394641876,0.4691906273365021,0.3859752118587494,0.203276589512825,0.4854315221309662,0.19271282851696014,0.11268624663352966,0.22961433231830597
honoured,0.1783551275730133,0.16460749506950378,0.14708547294139862,0.500167191028595,0.15840548276901245,0.23760633170604706,0.21941368281841278,0.26445597410202026,0.21551500260829926,0.26445597410202026,0.21650834381580353,0.2040656954050064,0.26521292328834534,0.19920100271701813,0.07471977919340134,0.1648205667734146
on,0.32655060291290283,0.3635730445384979,0.19090485572814941,0.231469988822937,0.9999999403953552,0.5107308030128479,0.1415858417749405,0.49057599902153015,0.20088334381580353,0.49057599902153015,0.4077630043029785,0.1726921796798706,0.3966929316520691,0.2161867767572403,0.18526506423950195,0.2714994251728058
18,-0.03501921147108078,-0.09313851594924927,-0.04762841388583183,-0.0063344379886984825,-0.049966923892498016,-0.07796193659305573,-0.0380556620657444,-0.03270421177148819,-0.0654255673289299,-0.03270421177148819,-0.07680561393499374,-0.043857477605342865,-0.09725122153759003,-0.08906751871109009,-0.04219595342874527,-0.04919438064098358
february,0.1331711709499359,0.26240548491477966,0.14333194494247437,0.18956151604652405,0.35595810413360596,0.26483774185180664,0.1625579595565796,0.43470194935798645,0.22378233075141907,0.43470194935798645,0.25102463364601135,0.2229369878768921,0.20366249978542328,0.17960092425346375,0.140923410654068,0.29594847559928894
with,0.3525622487068176,0.3250955045223236,0.14705438911914825,0.19698651134967804,0.40749499201774597,0.4223487675189972,0.12326720356941223,0.4120737314224243,0.12760615348815918,0.4120737314224243,0.5477725267410278,0.17961077392101288,0.41827285289764404,0.19487792253494263,0.16599740087985992,0.2433311939239502
a,0.29312583804130554,0.658733606338501,0.17967689037322998,0.25768357515335083,0.3848365545272827,0.5829201340675354,0.1988534927368164,0.427140474319458,0.2234257608652115,0.427140474319458,0.3739250600337982,0.19588641822338104,0.5052502155303955,0.2410653531551361,0.14979279041290283,0.23916715383529663
commemoration,0.10308124125003815,0.23465217649936676,0.19586488604545593,0.9075583815574646,0.24193865060806274,0.3620007336139679,0.22507575154304504,0.2634449303150177,0.33081790804862976,0.2634449303150177,0.1841738224029541,0.2997143864631653,0.3448304831981659,0.2457926720380783,0.21951645612716675,0.13165631890296936
in,0.2601168751716614,0.5394441485404968,0.20523880422115326,0.35010388493537903,0.46853652596473694,0.6662389636039734,0.2489040344953537,0.5201468467712402,0.2737633287906647,0.5201468467712402,0.4954058527946472,0.2493300437927246,0.5696388483047485,0.33311840891838074,0.1417476385831833,0.20430970191955566
the,0.33890387415885925,0.5823672413825989,0.1759674996137619,0.32209500670433044,0.5107308030128479,1.0,0.20315466821193695,0.4933079481124878,0.2631160318851471,0.4933079481124878,0.5171257257461548,0.23846197128295898,0.733189046382904,0.28280043601989746,0.1856866478919983,0.22068053483963013
lutheran,0.1004599779844284,0.1802605539560318,0.7014965415000916,0.22939787805080414,0.1415858417749405,0.20315466821193695,1.0000001192092896,0.26864951848983765,0.536805272102356,0.26864951848983765,0.20310066640377045,0.6308091282844543,0.2628459632396698,0.22887057065963745,0.2202402800321579,0.1752520203590393
calendar,0.15091396868228912,0.139500692486763,0.17284812033176422,0.24385449290275574,0.17993581295013428,0.21427585184574127,0.25077107548713684,0.14375944435596466,0.21982607245445251,0.14375944435596466,0.12926454842090607,0.21194778382778168,0.15737932920455933,0.16843381524085999,0.9073141813278198,0.16766934096813202
of,0.2480744868516922,0.4854315221309662,0.1719115972518921,0.3065877854824066,0.3966929316520691,0.733189046382904,0.2628459632396698,0.4946078956127167,0.29307931661605835,0.4946078956127167,0.5116966962814331,0.3079429268836975,1.0,0.24624483287334442,0.1526276171207428,0.1826142966747284
saints,0.10800965130329132,0.23882900178432465,0.17173054814338684,0.2930314242839813,0.17417308688163757,0.22267529368400574,0.3712148666381836,0.2533475160598755,0.36738747358322144,0.2533475160598755,0.17669014632701874,0.5138506293296814,0.2700014114379883,0.3118871748447418,0.24711336195468903,0.1782425343990326
and,0.33647966384887695,0.3859752118587494,0.20796556770801544,0.16969160735607147,0.4077630043029785,0.5171257257461548,0.20310066640377045,0.6633074283599854,0.18267527222633362,0.6633074283599854,1.0,0.1976170688867569,0.5116966962814331,0.35173749923706055,0.1731036901473999,0.20544172823429108
in,0.2601168751716614,0.5394441485404968,0.20523880422115326,0.35010388493537903,0.46853652596473694,0.6662389636039734,0.2489040344953537,0.5201468467712402,0.2737633287906647,0.5201468467712402,0.4954058527946472,0.2493300437927246,0.5696388483047485,0.33311840891838074,0.1417476385831833,0.20430970191955566
the,0.33890387415885925,0.5823672413825989,0.1759674996137619,0.32209500670433044,0.5107308030128479,1.0,0.20315466821193695,0.4933079481124878,0.2631160318851471,0.4933079481124878,0.5171257257461548,0.23846197128295898,0.733189046382904,0.28280043601989746,0.1856866478919983,0.22068053483963013
episcopal,0.0946948230266571,0.16667838394641876,0.36606520414352417,0.3027815520763397,0.20088334381580353,0.2631160318851471,0.536805272102356,0.2749701738357544,1.0000001192092896,0.2749701738357544,0.18267527222633362,0.6002358794212341,0.29307931661605835,0.3063587546348572,0.1763027161359787,0.22619661688804626
(,0.1676948219537735,0.35393038392066956,0.1677781045436859,0.1642160713672638,0.28656116127967834,0.33289089798927307,0.1816984862089157,0.6363511681556702,0.22764429450035095,0.6363511681556702,0.4862271547317505,0.17581534385681152,0.35032153129577637,0.19470487534999847,0.14779514074325562,0.40561532974243164
united,0.19034643471240997,0.22408509254455566,0.24038049578666687,0.28554072976112366,0.2703288793563843,0.34367692470550537,0.23153360188007355,0.3053959608078003,0.32054609060287476,0.3053959608078003,0.28213179111480713,0.19284281134605408,0.3187655806541443,0.3712238371372223,0.10867032408714294,0.17266890406608582
states,0.20841296017169952,0.21939043700695038,0.24556468427181244,0.24501106142997742,0.2692825198173523,0.3463578522205353,0.22253550589084625,0.3315127193927765,0.30250832438468933,0.3315127193927765,0.2974761426448822,0.17393819987773895,0.30884552001953125,0.27503693103790283,0.15660619735717773,0.16272737085819244
),0.17939934134483337,0.37732169032096863,0.18587662279605865,0.16536593437194824,0.29937487840652466,0.3456730246543884,0.21799536049365997,0.63033527135849,0.23514282703399658,0.63033527135849,0.4961937665939331,0.1983546018600464,0.3680361211299896,0.18948358297348022,0.15123319625854492,0.42300865054130554
calendar,0.15091396868228912,0.139500692486763,0.17284812033176422,0.24385449290275574,0.17993581295013428,0.21427585184574127,0.25077107548713684,0.14375944435596466,0.21982607245445251,0.14375944435596466,0.12926454842090607,0.21194778382778168,0.15737932920455933,0.16843381524085999,0.9073141813278198,0.16766934096813202
of,0.2480744868516922,0.4854315221309662,0.1719115972518921,0.3065877854824066,0.3966929316520691,0.733189046382904,0.2628459632396698,0.4946078956127167,0.29307931661605835,0.4946078956127167,0.5116966962814331,0.3079429268836975,1.0,0.24624483287334442,0.1526276171207428,0.1826142966747284
saints,0.10800965130329132,0.23882900178432465,0.17173054814338684,0.2930314242839813,0.17417308688163757,0.22267529368400574,0.3712148666381836,0.2533475160598755,0.36738747358322144,0.2533475160598755,0.17669014632701874,0.5138506293296814,0.2700014114379883,0.3118871748447418,0.24711336195468903,0.1782425343990326
.,0.3287222981452942,0.4569662809371948,0.24907569587230682,0.21241223812103271,0.49257001280784607,0.5934505462646484,0.29032230377197266,0.6812511086463928,0.29671710729599,0.6812511086463928,0.588965117931366,0.28898224234580994,0.5352458953857422,0.31012484431266785,0.17516836524009705,0.4130953550338745
