,where,did,jebe,'s,forces,first,defeat,kuchlug,?
as,0.35409465432167053,0.3596470057964325,0.2985976040363312,-0.05775856226682663,0.1724308878183365,0.33842000365257263,0.18503357470035553,0.21381251513957977,0.27043893933296204
a,0.40997210144996643,0.2552328109741211,0.29146814346313477,0.04866964742541313,0.17848460376262665,0.4287874400615692,0.14495371282100677,0.19818972051143646,0.23916715383529663
result,0.2845163941383362,0.2026577889919281,0.147893488407135,0.06641998142004013,0.21434062719345093,0.18566511571407318,0.1475161463022232,0.15832415223121643,0.17218433320522308
",",0.3149496018886566,0.3015086054801941,0.30109918117523193,-0.0016132977325469255,0.2544684410095215,0.34503069519996643,0.2394917905330658,0.32690468430519104,0.31091248989105225
kuchlug,0.1461484283208847,0.11889146268367767,0.3713003098964691,0.03764111176133156,0.22901296615600586,0.20762130618095398,0.191191166639328,1.0,0.22778192162513733
's,0.0007701900321990252,0.05069678649306297,0.1057722270488739,0.9999999403953552,0.011176351457834244,-0.014458609744906425,-0.0009251622832380235,0.03764111176133156,-0.023395681753754616
army,0.16231663525104523,0.21148359775543213,0.16189320385456085,0.03417222201824188,0.6373161673545837,0.24056130647659302,0.42403435707092285,0.2301478385925293,0.180583193898201
was,0.20731619000434875,0.41399896144866943,0.22182312607765198,0.008974763564765453,0.22620010375976562,0.5022147297859192,0.24067381024360657,0.25604456663131714,0.18412111699581146
defeated,0.19311988353729248,0.23103484511375427,0.10267464071512222,-0.037976399064064026,0.39788368344306946,0.2635769546031952,0.8196790814399719,0.23593012988567352,0.1413237303495407
west,0.22786299884319305,0.16852347552776337,0.29192638397216797,0.05081431567668915,0.20036830008029938,0.24142304062843323,0.16992458701133728,0.2213486284017563,0.12088293582201004
of,0.38066378235816956,0.2513895630836487,0.23213399946689606,-0.03817026689648628,0.3090144991874695,0.3536086082458496,0.2543899118900299,0.21701066195964813,0.1826142966747284
kashgar,0.24800406396389008,0.06373986601829529,0.3726278841495514,0.044859789311885834,0.17646673321723938,0.10714211314916611,0.10209427773952484,0.5394824147224426,0.12283492088317871
.,0.41390106081962585,0.35288307070732117,0.2529311776161194,-0.003708066651597619,0.21802116930484772,0.4345304071903229,0.17890939116477966,0.26053252816200256,0.4130953550338745
