,what,are,the,eight,sermons,called,that,luther,preached,in,march,1522,?
for,0.3017193675041199,0.3895993232727051,0.4739971458911896,0.33149853348731995,0.261451780796051,0.29870352149009705,0.4137635827064514,0.12958186864852905,0.1811840981245041,0.4322226941585541,0.2775171995162964,-0.06421545147895813,0.264628142118454
eight,0.15383057296276093,0.28273332118988037,0.34254369139671326,1.0000001192092896,0.16674984991550446,0.2603602409362793,0.26218873262405396,0.1669929325580597,0.18785035610198975,0.3002670109272003,0.1399281769990921,-0.010135956108570099,0.11634626984596252
days,0.2191895991563797,0.1262740045785904,0.2574930489063263,0.28847524523735046,0.23575064539909363,0.1937834918498993,0.3029259145259857,0.13727988302707672,0.1877606362104416,0.24827800691127777,0.3198201060295105,-0.0053886836394667625,0.2198754847049713
in,0.30808621644973755,0.3841303884983063,0.6662389636039734,0.3002670109272003,0.2565852701663971,0.40847352147102356,0.435920387506485,0.20523880422115326,0.22246213257312775,1.0,0.29730337858200073,0.01525687426328659,0.20430970191955566
lent,0.24107122421264648,0.214455246925354,0.28438815474510193,0.15896372497081757,0.3202883005142212,0.3068163990974426,0.3015950620174408,0.1721075177192688,0.31050100922584534,0.2781870663166046,0.2406534105539322,-0.028454162180423737,0.1618482917547226
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.28017938137054443,0.28290855884552,0.26549121737480164,0.4137537479400635,0.23255878686904907,0.24778087437152863,0.5201468467712402,0.4256272315979004,-0.03092271089553833,0.31091248989105225
beginning,0.3351518511772156,0.23547792434692383,0.49622642993927,0.23847050964832306,0.2847023904323578,0.33000850677490234,0.3866214156150818,0.16098742187023163,0.27738285064697266,0.3787442147731781,0.19853658974170685,0.06724145263433456,0.19413669407367706
on,0.34226128458976746,0.268924742937088,0.5107308030128479,0.3176155984401703,0.25730833411216736,0.25462663173675537,0.42569106817245483,0.19090485572814941,0.2502245604991913,0.46853652596473694,0.33868420124053955,0.0762149766087532,0.2714994251728058
invocavit,0.24955534934997559,0.17831552028656006,0.23782585561275482,0.11956184357404709,0.21475844085216522,0.2470737248659134,0.28064852952957153,0.17343030869960785,0.15054312348365784,0.2158958464860916,0.16541604697704315,0.06100871413946152,0.3126608729362488
sunday,0.2246854603290558,0.13546082377433777,0.21692955493927002,0.14858978986740112,0.3368419110774994,0.1905267834663391,0.26095932722091675,0.22743761539459229,0.29985013604164124,0.20307813584804535,0.2757363021373749,0.0103360116481781,0.23753786087036133
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.28017938137054443,0.28290855884552,0.26549121737480164,0.4137537479400635,0.23255878686904907,0.24778087437152863,0.5201468467712402,0.4256272315979004,-0.03092271089553833,0.31091248989105225
9,-0.048040688037872314,-0.061853282153606415,0.023652536794543266,0.022493399679660797,0.07895423471927643,0.09909658879041672,-0.01026148907840252,-0.05422545224428177,0.1349886953830719,0.002698394237086177,0.035597193986177444,0.06565704941749573,-0.026682810857892036
march,0.20529508590698242,0.09043774008750916,0.2680487632751465,0.1399281769990921,0.17144916951656342,0.0846463292837143,0.20178008079528809,0.21289081871509552,0.1725384145975113,0.29730337858200073,1.0000001192092896,-0.08058063685894012,0.2802562415599823
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.28017938137054443,0.28290855884552,0.26549121737480164,0.4137537479400635,0.23255878686904907,0.24778087437152863,0.5201468467712402,0.4256272315979004,-0.03092271089553833,0.31091248989105225
luther,0.2134782373905182,0.13997888565063477,0.1759674996137619,0.1669929325580597,0.35831841826438904,0.09754475206136703,0.21746599674224854,1.0,0.34157779812812805,0.20523880422115326,0.21289081871509552,-0.11068334430456161,0.1732746809720993
preached,0.2606910467147827,0.16352680325508118,0.22356590628623962,0.18785035610198975,0.5590827465057373,0.28157463669776917,0.2540748715400696,0.34157779812812805,0.9999998807907104,0.22246213257312775,0.1725384145975113,-0.09830092638731003,0.21524854004383087
eight,0.15383057296276093,0.28273332118988037,0.34254369139671326,1.0000001192092896,0.16674984991550446,0.2603602409362793,0.26218873262405396,0.1669929325580597,0.18785035610198975,0.3002670109272003,0.1399281769990921,-0.010135956108570099,0.11634626984596252
