,what,did,davies,call,the,system
he,0.3114890456199646,0.3292143940925598,0.32812073826789856,0.15517276525497437,0.4571082592010498,0.1499340832233429
called,0.3235960602760315,0.277748167514801,0.16979800164699554,0.4729457497596741,0.489897221326828,0.23914183676242828
it,0.45803478360176086,0.2993364930152893,0.17556782066822052,0.21226534247398376,0.6251175999641418,0.30691424012184143
packet,0.2392171323299408,0.12016243487596512,0.13900773227214813,0.17606860399246216,0.18130622804164886,0.22216185927391052
switching,0.24737738072872162,0.17849217355251312,0.17643891274929047,0.20143437385559082,0.2702193558216095,0.2895001173019409
",",0.3087472915649414,0.3015086054801941,0.3083436191082001,0.2670435905456543,0.4933079481124878,0.18439900875091553
a,0.3320399522781372,0.2552328109741211,0.21516187489032745,0.2774817645549774,0.5829201340675354,0.2589043080806732
more,0.3484537899494171,0.2803135812282562,0.2044863998889923,0.18086224794387817,0.39758381247520447,0.24080024659633636
accessible,0.23191256821155548,0.10482631623744965,0.09776312112808228,0.10487324744462967,0.21238647401332855,0.2416926771402359
name,0.18623162806034088,0.17557460069656372,0.09154926240444183,0.2337495982646942,0.3171212375164032,0.13043081760406494
than,0.29388150572776794,0.24820660054683685,0.20645159482955933,0.1858922690153122,0.3227543234825134,0.19727610051631927
baran,0.11883194744586945,0.048253823071718216,0.20312805473804474,0.07813069969415665,0.20225991308689117,0.16771969199180603
's,0.02692362666130066,0.05069678649306297,0.025226842612028122,-0.021786727011203766,-0.01540423184633255,0.04329425096511841
",",0.3087472915649414,0.3015086054801941,0.3083436191082001,0.2670435905456543,0.4933079481124878,0.18439900875091553
and,0.31309178471565247,0.34479495882987976,0.29916054010391235,0.237839937210083,0.5171257257461548,0.231138214468956
proposed,0.22754324972629547,0.30101871490478516,0.11247947067022324,0.19262836873531342,0.23840250074863434,0.22698014974594116
to,0.455847829580307,0.4452643394470215,0.18868300318717957,0.27641981840133667,0.535392165184021,0.26662686467170715
build,0.27055490016937256,0.23755796253681183,0.19109632074832916,0.28111469745635986,0.2602573335170746,0.25008147954940796
a,0.3320399522781372,0.2552328109741211,0.21516187489032745,0.2774817645549774,0.5829201340675354,0.2589043080806732
nationwide,0.1329829841852188,0.1807222068309784,0.1213599145412445,0.150579571723938,0.25796952843666077,0.1278989315032959
network,0.16917307674884796,0.08572790026664734,0.17522501945495605,0.1197689026594162,0.27187061309814453,0.3214803636074066
in,0.30808621644973755,0.2593238651752472,0.1982824057340622,0.2520289719104767,0.6662389636039734,0.21978288888931274
the,0.42745697498321533,0.34736719727516174,0.22865624725818634,0.26640447974205017,1.0,0.3233085572719574
uk,0.17163191735744476,0.128135547041893,0.2830332815647125,0.14359349012374878,0.2143084555864334,0.1322868913412094
.,0.3567904531955719,0.35288307070732117,0.2565765380859375,0.2601918876171112,0.5934505462646484,0.2277725487947464
