,who,did,denver,beat,in,the,afc,championship,?
the,0.3733934462070465,0.34736719727516174,0.2052404284477234,0.24951939284801483,0.6662389636039734,1.0,0.25863510370254517,0.2540402412414551,0.22068053483963013
broncos,0.1763724684715271,0.1738176792860031,0.5774994492530823,0.299129456281662,0.20316283404827118,0.25985947251319885,0.4436691403388977,0.38168099522590637,0.18377114832401276
finished,0.18257364630699158,0.34182655811309814,0.11362142860889435,0.18078495562076569,0.2933714687824249,0.2754973769187927,0.12556922435760498,0.2826940715312958,0.14789283275604248
the,0.3733934462070465,0.34736719727516174,0.2052404284477234,0.24951939284801483,0.6662389636039734,1.0,0.25863510370254517,0.2540402412414551,0.22068053483963013
regular,0.2929244339466095,0.26963475346565247,0.20430372655391693,0.20207364857196808,0.23172755539417267,0.3214086890220642,0.3085647523403168,0.22342713177204132,0.18334713578224182
season,0.13809308409690857,0.19368280470371246,0.2508152425289154,0.20061872899532318,0.2184021919965744,0.2507155239582062,0.34177109599113464,0.34766685962677,0.16793298721313477
with,0.3282766342163086,0.25472134351730347,0.20079316198825836,0.23032191395759583,0.4080928862094879,0.4223487675189972,0.1709529012441635,0.21191054582595825,0.2433311939239502
a,0.36608949303627014,0.2552328109741211,0.179859921336174,0.17927181720733643,0.539380669593811,0.5829201340675354,0.13271647691726685,0.18214380741119385,0.23916715383529663
12–4,-0.0220048651099205,0.023742003366351128,-0.04389326274394989,0.0673455223441124,0.019164228811860085,0.06233663484454155,0.16016320884227753,0.09561607986688614,0.4863562285900116
record,0.24139603972434998,0.20556741952896118,0.19634279608726501,0.2831399738788605,0.23162534832954407,0.23569516837596893,0.2514786422252655,0.23019155859947205,0.14407116174697876
",",0.3365725874900818,0.3015086054801941,0.25173696875572205,0.2718006372451782,0.5201468467712402,0.4933079481124878,0.30482783913612366,0.256124883890152,0.31091248989105225
and,0.41279885172843933,0.34479495882987976,0.20625516772270203,0.2474934160709381,0.4954058527946472,0.5171257257461548,0.1934938281774521,0.22004875540733337,0.20544172823429108
denied,0.22065044939517975,0.3636285364627838,0.15737982094287872,0.18303926289081573,0.2281353622674942,0.22753532230854034,0.19039246439933777,0.2763569951057434,0.2030181586742401
the,0.3733934462070465,0.34736719727516174,0.2052404284477234,0.24951939284801483,0.6662389636039734,1.0,0.25863510370254517,0.2540402412414551,0.22068053483963013
new,0.2378052920103073,0.227974995970726,0.2101706713438034,0.18388453125953674,0.3758552670478821,0.3845241069793701,0.21401186287403107,0.16864041984081268,0.14782847464084625
england,0.23733465373516083,0.22023706138134003,0.2835085093975067,0.21674250066280365,0.33311840891838074,0.28280043601989746,0.28026673197746277,0.19480040669441223,0.13436897099018097
patriots,0.19197839498519897,0.16307975351810455,0.3174690902233124,0.2671665847301483,0.22389881312847137,0.2345433384180069,0.3464110493659973,0.2684765160083771,0.11474817991256714
a,0.36608949303627014,0.2552328109741211,0.179859921336174,0.17927181720733643,0.539380669593811,0.5829201340675354,0.13271647691726685,0.18214380741119385,0.23916715383529663
chance,0.3253352642059326,0.36266258358955383,0.13124682009220123,0.25188329815864563,0.14831462502479553,0.26683303713798523,0.185190349817276,0.21501068770885468,0.274066299200058
to,0.42656609416007996,0.4452643394470215,0.23706497251987457,0.24239139258861542,0.45010748505592346,0.535392165184021,0.18302594125270844,0.18725894391536713,0.29463258385658264
defend,0.2716797888278961,0.20832395553588867,0.12767916917800903,0.3412906527519226,0.25465187430381775,0.2784505784511566,0.19840431213378906,0.23536162078380585,0.21878457069396973
their,0.3767721951007843,0.38078752160072327,0.21170325577259064,0.21771855652332306,0.34976133704185486,0.516537070274353,0.13482747972011566,0.12631161510944366,0.1898253709077835
