,when,was,the,opening,of,``,super,bowl,city,'',?
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.2907836139202118,0.5696388483047485,0.04765888676047325,0.18576006591320038,0.17236235737800598,0.3911624252796173,0.07432962208986282,0.20430970191955566
addition,0.2340734601020813,0.2078816294670105,0.32955414056777954,0.24498304724693298,0.27503931522369385,0.04716494679450989,0.11136776208877563,0.1572340577840805,0.14029449224472046,0.040365759283304214,0.19187232851982117
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.24495157599449158,0.4946078956127167,0.09681109338998795,0.22322475910186768,0.1810409277677536,0.35839709639549255,-0.037358131259679794,0.31091248989105225
``,0.07174111902713776,-0.012679691426455975,0.029072100296616554,0.024144059047102928,0.06780257821083069,1.0,0.012585706077516079,-0.004176590591669083,-0.009671642445027828,-0.09173435717821121,0.0685480609536171
super,0.20393483340740204,0.21420986950397491,0.21959073841571808,0.1250116229057312,0.14718765020370483,0.012585706077516079,1.0000001192092896,0.4848237931728363,0.14329007267951965,-0.02655862085521221,0.166326642036438
bowl,0.20523639023303986,0.21915455162525177,0.21576224267482758,0.22217077016830444,0.2243070751428604,-0.004176590591669083,0.4848237931728363,1.0,0.18699099123477936,-0.008809788152575493,0.21118052303791046
city,0.19592350721359253,0.3188765048980713,0.35769423842430115,0.1345314085483551,0.32503411173820496,-0.009671642445027828,0.14329007267951965,0.18699099123477936,1.0,0.08278307318687439,0.13423943519592285
'',-0.07688097655773163,0.04456103965640068,0.041273195296525955,-0.06340236216783524,0.13035868108272552,-0.09173435717821121,-0.02655862085521221,-0.008809788152575493,0.08278307318687439,1.0,0.018684765323996544
opened,0.20552390813827515,0.31916534900665283,0.28544309735298157,0.5178986191749573,0.16720551252365112,-0.1391703486442566,0.12151654809713364,0.16360460221767426,0.25895923376083374,0.05927160009741783,0.1934700310230255
on,0.37706470489501953,0.3909217119216919,0.5107308030128479,0.2229088544845581,0.3966929316520691,-0.03274054825305939,0.1569211632013321,0.1334993690252304,0.2549738585948944,0.04238596186041832,0.2714994251728058
january,0.23963238298892975,0.3933098316192627,0.2467057853937149,0.17221719026565552,0.19923388957977295,0.0859564021229744,0.08795880526304245,0.13797584176063538,0.22583067417144775,-0.05028661713004112,0.28608936071395874
30,0.07008512318134308,0.08394331485033035,0.0730796679854393,0.014876865781843662,0.003304550424218178,0.11001547425985336,0.02300216630101204,-0.030675051733851433,0.0030403602868318558,-0.04627995938062668,-0.08261742442846298
at,0.38876327872276306,0.36707764863967896,0.457212895154953,0.25734835863113403,0.42558613419532776,-0.07642947137355804,0.11449114978313446,0.2709662914276123,0.2310783565044403,0.04379578307271004,0.21978627145290375
justin,0.14914704859256744,0.2795754671096802,0.17751482129096985,0.18176306784152985,0.14437353610992432,0.05647547170519829,0.18469490110874176,0.11253492534160614,0.1887744814157486,-0.010182631202042103,0.17168305814266205
herman,0.18987739086151123,0.2085307091474533,0.19971449673175812,0.07420030981302261,0.1845569759607315,-0.06882932782173157,0.10644732415676117,0.06547024846076965,0.19312141835689545,0.042492616921663284,0.15866468846797943
plaza,0.15606915950775146,0.16599927842617035,0.2343834489583969,0.18024641275405884,0.21123477816581726,-0.03835507482290268,0.11758657544851303,0.15374425053596497,0.3448775112628937,-0.012585800141096115,0.14521731436252594
on,0.37706470489501953,0.3909217119216919,0.5107308030128479,0.2229088544845581,0.3966929316520691,-0.03274054825305939,0.1569211632013321,0.1334993690252304,0.2549738585948944,0.04238596186041832,0.2714994251728058
the,0.5091903209686279,0.48711544275283813,1.0,0.37298497557640076,0.733189046382904,0.029072100296616554,0.21959073841571808,0.21576224267482758,0.35769423842430115,0.041273195296525955,0.22068053483963013
embarcadero,0.2321433424949646,0.30137574672698975,0.2974037826061249,0.2263466715812683,0.26217901706695557,0.05167442560195923,0.2069183737039566,0.15625977516174316,0.3213462829589844,0.020265456289052963,0.2404213696718216
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.24495157599449158,0.4946078956127167,0.09681109338998795,0.22322475910186768,0.1810409277677536,0.35839709639549255,-0.037358131259679794,0.31091248989105225
featuring,0.11597523838281631,0.16899792850017548,0.21340800821781158,0.2566598057746887,0.1792638599872589,-0.06713315844535828,0.21352623403072357,0.13381469249725342,0.111026331782341,-0.00696474639698863,0.24838131666183472
games,0.19408148527145386,0.21596553921699524,0.2676136791706085,0.25919660925865173,0.2499092072248459,0.022001298144459724,0.3565964996814728,0.2931278944015503,0.17271248996257782,-0.03335636109113693,0.1360001415014267
