,in,1952,",",how,many,television,stations,were,there,in,the,united,states,?
before,0.4155850410461426,-0.01991693675518036,0.3156566619873047,0.33293965458869934,0.2728588581085205,0.20853054523468018,0.19921308755874634,0.3127685785293579,0.29779794812202454,0.4155850410461426,0.45900648832321167,0.2543083131313324,0.23412185907363892,0.2507109045982361
the,0.6662389636039734,0.12244576215744019,0.4933079481124878,0.33890387415885925,0.4335206151008606,0.24569597840309143,0.24762700498104095,0.3906462490558624,0.47025805711746216,0.6662389636039734,1.0,0.34367692470550537,0.3463578522205353,0.22068053483963013
freeze,0.1990373283624649,0.06852679699659348,0.25191208720207214,0.153591126203537,0.25400304794311523,0.21014980971813202,0.22667384147644043,0.14430475234985352,0.15208083391189575,0.1990373283624649,0.2368169128894806,0.16741901636123657,0.1876937299966812,0.20642049610614777
ended,0.3353011906147003,-0.039157480001449585,0.2682836353778839,0.18768176436424255,0.20378006994724274,0.286525696516037,0.16915173828601837,0.3742697536945343,0.2167114019393921,0.3353011906147003,0.3356485068798065,0.20244070887565613,0.1944577842950821,0.15429291129112244
in,1.0,0.09289009869098663,0.5201468467712402,0.2601168751716614,0.41474202275276184,0.2689782977104187,0.25864288210868835,0.3815755248069763,0.5361666083335876,1.0,0.6662389636039734,0.3938477039337158,0.3977442979812622,0.20430970191955566
1952,0.09289009869098663,1.0,0.0635446086525917,0.09760478883981705,0.12541338801383972,0.05833883956074715,0.047670505940914154,0.07001259177923203,0.06385588645935059,0.09289009869098663,0.12244576215744019,0.06792280077934265,0.07245180010795593,-0.04863175377249718
",",0.5201468467712402,0.0635446086525917,1.0000001192092896,0.22659391164779663,0.40610817074775696,0.27995240688323975,0.26337406039237976,0.36755475401878357,0.4587128460407257,0.5201468467712402,0.4933079481124878,0.3053959608078003,0.3315127193927765,0.31091248989105225
there,0.5361666083335876,0.06385588645935059,0.4587128460407257,0.3328511416912079,0.4993700683116913,0.18885985016822815,0.27333587408065796,0.4359818994998932,1.0,0.5361666083335876,0.47025805711746216,0.19206386804580688,0.22680425643920898,0.29405656456947327
were,0.3815755248069763,0.07001259177923203,0.36755475401878357,0.2082374095916748,0.4804460406303406,0.18070289492607117,0.19006890058517456,1.0000001192092896,0.4359818994998932,0.3815755248069763,0.3906462490558624,0.21928317844867706,0.19797217845916748,0.17890112102031708
only,0.42992329597473145,0.08489671349525452,0.4220978021621704,0.36590442061424255,0.4670507609844208,0.19228580594062805,0.2648601830005646,0.34466472268104553,0.5042840242385864,0.42992329597473145,0.5497692227363586,0.25870639085769653,0.2831421494483948,0.2767370045185089
108,0.004086358472704887,0.11296136677265167,0.0649731233716011,-0.010223988443613052,0.06847638636827469,0.17075631022453308,0.05505684018135071,0.08454793691635132,-0.01989840157330036,0.004086358472704887,-0.03878939524292946,0.08151287585496902,0.08677983283996582,0.09738752990961075
existing,0.2761130928993225,-0.04334097355604172,0.2549736201763153,0.2671617865562439,0.2997767925262451,0.20098453760147095,0.2720181941986084,0.27735456824302673,0.4004098176956177,0.2761130928993225,0.36013904213905334,0.17503847181797028,0.18125022947788239,0.31003472208976746
television,0.2689782977104187,0.05833883956074715,0.27995240688323975,0.20427560806274414,0.23433995246887207,1.0000001192092896,0.3494590222835541,0.18070289492607117,0.18885985016822815,0.2689782977104187,0.24569597840309143,0.23613357543945312,0.22540400922298431,0.16825827956199646
stations,0.25864288210868835,0.047670505940914154,0.26337406039237976,0.18198855221271515,0.2893238365650177,0.3494590222835541,1.0,0.19006890058517456,0.27333587408065796,0.25864288210868835,0.24762700498104095,0.2495407909154892,0.2534271776676178,0.13192185759544373
