,who,received,a,bid,in,1915,?
in,0.2792111933231354,0.2772020101547241,0.539380669593811,0.18770122528076172,1.0,0.006125167012214661,0.20430970191955566
the,0.3733934462070465,0.24890556931495667,0.5829201340675354,0.19956929981708527,0.6662389636039734,0.08504247665405273,0.22068053483963013
years,0.29867154359817505,0.18089580535888672,0.23773819208145142,0.1030612513422966,0.33554986119270325,0.049383752048015594,0.1914375126361847
after,0.32549580931663513,0.2279507964849472,0.3831600844860077,0.2084946185350418,0.44050168991088867,0.17704840004444122,0.16608688235282898
these,0.34544891119003296,0.145788311958313,0.24380075931549072,0.09996259957551956,0.3791837692260742,0.033111412078142166,0.2571668326854706
rumors,0.23556296527385712,0.19418442249298096,0.1696208119392395,0.16999690234661102,0.22423382103443146,0.1582825630903244,0.18250153958797455
",",0.3365725874900818,0.2926693558692932,0.427140474319458,0.17213009297847748,0.5201468467712402,0.09898091107606888,0.31091248989105225
neither,0.37055185437202454,0.2141052931547165,0.3513123095035553,0.15005172789096832,0.2894112467765808,0.17583660781383514,0.262674480676651
tesla,0.1520961970090866,0.1541121006011963,0.2211925983428955,0.028172023594379425,0.17097744345664978,0.025502555072307587,0.10250775516033173
nor,0.2492162138223648,0.1506582647562027,0.24612422287464142,0.11802863329648972,0.22536039352416992,0.16951951384544373,0.2602383494377136
edison,0.19920577108860016,0.16456378996372223,0.2415124475955963,0.19934812188148499,0.22187061607837677,0.005536919459700584,0.10244420915842056
won,0.24654650688171387,0.475392609834671,0.22534137964248657,0.2996905446052551,0.3280489146709442,0.10566910356283188,0.17925700545310974
the,0.3733934462070465,0.24890556931495667,0.5829201340675354,0.19956929981708527,0.6662389636039734,0.08504247665405273,0.22068053483963013
prize,0.20312342047691345,0.39546844363212585,0.189753457903862,0.18270723521709442,0.21274791657924652,-0.03872782737016678,0.14158497750759125
(,0.2443375140428543,0.19827008247375488,0.3206180930137634,0.05947239324450493,0.3087427020072937,0.13259409368038177,0.40561532974243164
although,0.3003382384777069,0.19566059112548828,0.29747897386550903,0.1607048660516739,0.28763338923454285,0.03717978671193123,0.15541206300258636
edison,0.19920577108860016,0.16456378996372223,0.2415124475955963,0.19934812188148499,0.22187061607837677,0.005536919459700584,0.10244420915842056
did,0.34038686752319336,0.3125181496143341,0.2552328109741211,0.2128802388906479,0.2593238651752472,0.10237006098031998,0.3023456633090973
receive,0.29829421639442444,0.7047652006149292,0.25780048966407776,0.16684721410274506,0.19334688782691956,-0.0033162098843604326,0.1652119904756546
one,0.40083858370780945,0.18942728638648987,0.4910551905632019,0.13351072371006012,0.4129433035850525,0.11704076826572418,0.2673267424106598
of,0.2827862501144409,0.2628524899482727,0.5052502155303955,0.1715376228094101,0.5696388483047485,0.06728941202163696,0.1826142966747284
38,0.05407789349555969,0.06361367553472519,0.02196192368865013,0.009622312150895596,0.033282700926065445,-0.052012789994478226,0.014457103796303272
possible,0.19508859515190125,0.12239626049995422,0.3421713411808014,0.2312939316034317,0.2287878543138504,0.0715147852897644,0.3059970438480377
bids,0.18143561482429504,0.14356473088264465,0.2171008586883545,0.638741135597229,0.23701345920562744,0.10583663731813431,0.13915638625621796
in,0.2792111933231354,0.2772020101547241,0.539380669593811,0.18770122528076172,1.0,0.006125167012214661,0.20430970191955566
1915,0.16446161270141602,-0.016753043979406357,0.029343442991375923,0.07864794880151749,0.006125167012214661,0.9999999403953552,0.2152155190706253
and,0.41279885172843933,0.24762246012687683,0.3739250600337982,0.11974186450242996,0.4954058527946472,0.07952219247817993,0.20544172823429108
tesla,0.1520961970090866,0.1541121006011963,0.2211925983428955,0.028172023594379425,0.17097744345664978,0.025502555072307587,0.10250775516033173
did,0.34038686752319336,0.3125181496143341,0.2552328109741211,0.2128802388906479,0.2593238651752472,0.10237006098031998,0.3023456633090973
receive,0.29829421639442444,0.7047652006149292,0.25780048966407776,0.16684721410274506,0.19334688782691956,-0.0033162098843604326,0.1652119904756546
one,0.40083858370780945,0.18942728638648987,0.4910551905632019,0.13351072371006012,0.4129433035850525,0.11704076826572418,0.2673267424106598
of,0.2827862501144409,0.2628524899482727,0.5052502155303955,0.1715376228094101,0.5696388483047485,0.06728941202163696,0.1826142966747284
38,0.05407789349555969,0.06361367553472519,0.02196192368865013,0.009622312150895596,0.033282700926065445,-0.052012789994478226,0.014457103796303272
possible,0.19508859515190125,0.12239626049995422,0.3421713411808014,0.2312939316034317,0.2287878543138504,0.0715147852897644,0.3059970438480377
bids,0.18143561482429504,0.14356473088264465,0.2171008586883545,0.638741135597229,0.23701345920562744,0.10583663731813431,0.13915638625621796
in,0.2792111933231354,0.2772020101547241,0.539380669593811,0.18770122528076172,1.0,0.006125167012214661,0.20430970191955566
1937,-0.19691412150859833,-0.06268073618412018,0.037467315793037415,0.007690597325563431,0.023682521656155586,-0.0966683030128479,-0.06511971354484558
),0.2457384318113327,0.2169337123632431,0.3640355169773102,0.07293596863746643,0.3326910734176636,0.1393681913614273,0.42300865054130554
.,0.3541337847709656,0.25050681829452515,0.50484299659729,0.1806059330701828,0.5591574311256409,0.056097935885190964,0.4130953550338745
