,how,tall,is,the,bank,of,america,tower,?
it,0.36714982986450195,0.1967356652021408,0.6328473687171936,0.6251175999641418,0.20640473067760468,0.38761502504348755,0.311389297246933,0.19731567800045013,0.25732165575027466
has,0.26820555329322815,0.23348024487495422,0.5668748617172241,0.4177538752555847,0.19098228216171265,0.3909035325050354,0.1613205373287201,0.1532871127128601,0.15994466841220856
a,0.29312583804130554,0.21575532853603363,0.658733606338501,0.5829201340675354,0.22206707298755646,0.5052502155303955,0.22012436389923096,0.1759597510099411,0.23916715383529663
height,0.19309629499912262,0.49660930037498474,0.19831733405590057,0.2694929540157318,0.15728062391281128,0.23672480881214142,0.13632825016975403,0.26257744431495667,0.1599798947572708
of,0.2480744868516922,0.19572877883911133,0.4854315221309662,0.733189046382904,0.2346848100423813,1.0,0.28803038597106934,0.2271278351545334,0.1826142966747284
617,0.038646165281534195,-0.05923454463481903,0.061572298407554626,0.04289652779698372,-0.0007081998628564179,0.07318909466266632,-0.05726506933569908,0.018592314794659615,-0.02947593852877617
ft,0.17820364236831665,0.5496103167533875,0.17731311917304993,0.16553674638271332,0.1664133220911026,0.14259693026542664,0.1270085871219635,0.2652011811733246,0.17776548862457275
(,0.1676948219537735,0.15307529270648956,0.35393038392066956,0.33289089798927307,0.18661372363567352,0.35032153129577637,0.20632019639015198,0.19051307439804077,0.40561532974243164
188,-0.21316568553447723,-0.04694339632987976,-0.10368461161851883,-0.21472521126270294,-0.06174948439002037,-0.25133344531059265,-0.10240591317415237,-0.09724763035774231,-0.13753974437713623
m,0.17182649672031403,0.3483043909072876,0.22669823467731476,0.15156042575836182,0.13250687718391418,0.14254631102085114,0.08585035055875778,0.2071608453989029,0.2618667185306549
),0.17939934134483337,0.13932141661643982,0.37732169032096863,0.3456730246543884,0.17464090883731842,0.3680361211299896,0.19718800485134125,0.18986791372299194,0.42300865054130554
and,0.33647966384887695,0.24832788109779358,0.3859752118587494,0.5171257257461548,0.23291631042957306,0.5116966962814331,0.2647855281829834,0.23948386311531067,0.20544172823429108
includes,0.14845652878284454,0.1547584980726242,0.4033885896205902,0.3388250470161438,0.1540798395872116,0.4359378218650818,0.1853196769952774,0.10569944232702255,0.14011523127555847
42,-0.03820109739899635,-0.1931045800447464,-0.07062944769859314,-0.16943266987800598,-0.21162258088588715,-0.15006105601787567,-0.12270272523164749,-0.2365405559539795,-0.04003704711794853
floors,0.16888108849525452,0.48043280839920044,0.16058248281478882,0.20986685156822205,0.15255390107631683,0.16276678442955017,0.2525368332862854,0.4519757628440857,0.1380118876695633
.,0.3287222981452942,0.2264290302991867,0.4569662809371948,0.5934505462646484,0.24876342713832855,0.5352458953857422,0.29180291295051575,0.21111081540584564,0.4130953550338745
