,what,is,the,confusion,of,the,french,and,indian,war,?
this,0.5489566326141357,0.480927973985672,0.6274310946464539,0.3942772448062897,0.45148900151252747,0.6274310946464539,0.2380896955728531,0.42353692650794983,0.16986532509326935,0.29429852962493896,0.3155723512172699
traditional,0.20066824555397034,0.24577821791172028,0.25703898072242737,0.14745371043682098,0.32287317514419556,0.25703898072242737,0.19374650716781616,0.30483514070510864,0.18866798281669617,0.1403684914112091,0.1327509582042694
name,0.18623162806034088,0.3359788954257965,0.3171212375164032,0.2525513172149658,0.24075818061828613,0.3171212375164032,0.18910211324691772,0.21235932409763336,0.12032017856836319,0.13651461899280548,0.15381577610969543
continues,0.27419164776802063,0.32428741455078125,0.3452514410018921,0.16404497623443604,0.2937655746936798,0.3452514410018921,0.08066197484731674,0.27912795543670654,0.12297897785902023,0.2108086794614792,0.13186512887477875
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.22665581107139587,0.3886612355709076,0.48381632566452026,0.20159029960632324,0.49487000703811646,0.21542061865329742,0.24018222093582153,0.27043893933296204
the,0.42745697498321533,0.5823672413825989,1.0,0.262265145778656,0.733189046382904,1.0,0.2555147111415863,0.5171257257461548,0.23407642543315887,0.366199791431427,0.22068053483963013
standard,0.22809998691082,0.23514990508556366,0.29008856415748596,0.2526593804359436,0.2296806275844574,0.29008856415748596,0.16947486996650696,0.24117660522460938,0.09253576397895813,0.11611679941415787,0.17029257118701935
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.18354842066764832,0.5696388483047485,0.6662389636039734,0.22093388438224792,0.4954058527946472,0.17715758085250854,0.29904094338417053,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.262265145778656,0.733189046382904,1.0,0.2555147111415863,0.5171257257461548,0.23407642543315887,0.366199791431427,0.22068053483963013
united,0.20036718249320984,0.22408509254455566,0.34367692470550537,0.1135953962802887,0.3187655806541443,0.34367692470550537,0.18045975267887115,0.28213179111480713,0.23253607749938965,0.29975080490112305,0.17266890406608582
states,0.21526020765304565,0.21939043700695038,0.3463578522205353,0.1313248574733734,0.30884552001953125,0.3463578522205353,0.20538386702537537,0.2974761426448822,0.24961331486701965,0.2994349002838135,0.16272737085819244
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28259900212287903,0.4946078956127167,0.4933079481124878,0.28806620836257935,0.6633074283599854,0.2407594621181488,0.2671184241771698,0.31091248989105225
but,0.5029441118240356,0.4106791317462921,0.4859698414802551,0.36572766304016113,0.39942997694015503,0.4859698414802551,0.23669974505901337,0.5762497186660767,0.16328158974647522,0.258840948343277,0.27921953797340393
it,0.45803478360176086,0.6328473687171936,0.6251175999641418,0.2839835584163666,0.38761502504348755,0.6251175999641418,0.18351560831069946,0.40957894921302795,0.16747386753559113,0.28139346837997437,0.25732165575027466
obscures,0.22080545127391815,0.29966989159584045,0.2189876288175583,0.3018266558647156,0.2675431966781616,0.2189876288175583,0.16961190104484558,0.26698553562164307,0.042237717658281326,0.11453288048505783,0.18811771273612976
the,0.42745697498321533,0.5823672413825989,1.0,0.262265145778656,0.733189046382904,1.0,0.2555147111415863,0.5171257257461548,0.23407642543315887,0.366199791431427,0.22068053483963013
fact,0.4454877972602844,0.3122292160987854,0.32878658175468445,0.29661819338798523,0.3007645010948181,0.32878658175468445,0.13159441947937012,0.29109814763069153,0.15808646380901337,0.20826639235019684,0.2798655927181244
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.3276735246181488,0.41498205065727234,0.5473989248275757,0.17619380354881287,0.4731321930885315,0.1324855089187622,0.22443464398384094,0.32716336846351624
indians,0.2342250943183899,0.12031465768814087,0.26152291893959045,0.20295915007591248,0.2406514436006546,0.26152291893959045,0.2352062463760376,0.2537406086921692,0.5449943542480469,0.26681917905807495,0.13372346758842468
fought,0.17720700800418854,0.16749586164951324,0.30367159843444824,0.20148998498916626,0.26073968410491943,0.30367159843444824,0.1820748746395111,0.26526638865470886,0.19488900899887085,0.5800250768661499,0.15288178622722626
