,what,produces,the,high,levels,of,oxygen,on,earth,?
the,0.42745697498321533,0.2783815562725067,1.0,0.28034812211990356,0.286034494638443,0.733189046382904,0.20428593456745148,0.5107308030128479,0.2801888585090637,0.22068053483963013
unusually,0.24332080781459808,0.31511935591697693,0.33949944376945496,0.34337469935417175,0.24368761479854584,0.3076130747795105,0.24891261756420135,0.27674129605293274,0.28643476963043213,0.14397919178009033
high,0.20466077327728271,0.15394769608974457,0.28034812211990356,1.0,0.37835693359375,0.2803038954734802,0.18708185851573944,0.20843200385570526,0.16298426687717438,0.11137914657592773
concentration,0.2389112114906311,0.2424716055393219,0.2617439329624176,0.25251686573028564,0.35914355516433716,0.2754148840904236,0.3523607850074768,0.1985596865415573,0.17165625095367432,0.1292840540409088
of,0.33290785551071167,0.24670347571372986,0.733189046382904,0.2803038954734802,0.23668165504932404,1.0,0.16848602890968323,0.3966929316520691,0.2329314798116684,0.1826142966747284
oxygen,0.16781960427761078,0.24628737568855286,0.20428593456745148,0.18708185851573944,0.315774530172348,0.16848602890968323,0.9999999403953552,0.2008662223815918,0.3065866231918335,0.16786395013332367
gas,0.20887799561023712,0.22731810808181763,0.2339978665113449,0.14696818590164185,0.18046976625919342,0.21246914565563202,0.45564013719558716,0.14262238144874573,0.2002556324005127,0.1582372784614563
on,0.34226128458976746,0.1769348531961441,0.5107308030128479,0.20843200385570526,0.1644611656665802,0.3966929316520691,0.2008662223815918,0.9999999403953552,0.20645220577716827,0.2714994251728058
earth,0.25883176922798157,0.15414422750473022,0.2801888585090637,0.16298426687717438,0.1534549742937088,0.2329314798116684,0.3065866231918335,0.20645220577716827,1.0,0.17717236280441284
is,0.28837618231773376,0.35465162992477417,0.5823672413825989,0.2383800595998764,0.2141042947769165,0.4854315221309662,0.21825239062309265,0.3635730445384979,0.26888176798820496,0.22961433231830597
the,0.42745697498321533,0.2783815562725067,1.0,0.28034812211990356,0.286034494638443,0.733189046382904,0.20428593456745148,0.5107308030128479,0.2801888585090637,0.22068053483963013
result,0.19945499300956726,0.28844743967056274,0.27778977155685425,0.12614522874355316,0.2669980823993683,0.231380432844162,0.12991750240325928,0.22479186952114105,0.17599700391292572,0.17218433320522308
of,0.33290785551071167,0.24670347571372986,0.733189046382904,0.2803038954734802,0.23668165504932404,1.0,0.16848602890968323,0.3966929316520691,0.2329314798116684,0.1826142966747284
the,0.42745697498321533,0.2783815562725067,1.0,0.28034812211990356,0.286034494638443,0.733189046382904,0.20428593456745148,0.5107308030128479,0.2801888585090637,0.22068053483963013
oxygen,0.16781960427761078,0.24628737568855286,0.20428593456745148,0.18708185851573944,0.315774530172348,0.16848602890968323,0.9999999403953552,0.2008662223815918,0.3065866231918335,0.16786395013332367
cycle,0.17920038104057312,0.29790350794792175,0.2701641917228699,0.08289308100938797,0.24282234907150269,0.255176842212677,0.2879956066608429,0.14723779261112213,0.2534622848033905,0.07156776636838913
.,0.3567904531955719,0.25228190422058105,0.5934505462646484,0.24301011860370636,0.24042059481143951,0.5352458953857422,0.2554275095462799,0.49257001280784607,0.2542925775051117,0.4130953550338745
