,what,helps,to,unleash,the,productivity,ability,of,the,poor,?
conversely,0.28675293922424316,0.2553900480270386,0.41752889752388,0.13207872211933136,0.2955932319164276,0.35287654399871826,0.2634872496128082,0.2602832615375519,0.2955932319164276,0.2778508961200714,0.1408759355545044
",",0.3087472915649414,0.2342686951160431,0.44245919585227966,0.23127785325050354,0.4933079481124878,0.2500196099281311,0.2049795389175415,0.4946078956127167,0.4933079481124878,0.24018602073192596,0.31091248989105225
education,0.19940856099128723,0.1633375883102417,0.2626708149909973,0.08170463144779205,0.23982903361320496,0.3488542437553406,0.1792057901620865,0.3015166223049164,0.23982903361320496,0.26964056491851807,0.18067774176597595
raises,0.22388479113578796,0.3182721436023712,0.27145111560821533,0.22973588109016418,0.2387484610080719,0.23332341015338898,0.22519278526306152,0.23968493938446045,0.2387484610080719,0.1816408783197403,0.20082814991474152
incomes,0.2579542398452759,0.21957020461559296,0.30075564980506897,0.16072335839271545,0.3008386194705963,0.41639989614486694,0.24044093489646912,0.35291701555252075,0.3008386194705963,0.3610017001628876,0.1867215484380722
and,0.31309178471565247,0.32972991466522217,0.48971283435821533,0.31856274604797363,0.5171257257461548,0.25397828221321106,0.2697578966617584,0.5116966962814331,0.5171257257461548,0.31649142503738403,0.20544172823429108
promotes,0.153864786028862,0.2554575800895691,0.241094708442688,0.21432821452617645,0.2548770308494568,0.31688007712364197,0.21316617727279663,0.2391948103904724,0.2548770308494568,0.19154974818229675,0.1558201164007187
growth,0.1739405393600464,0.22908982634544373,0.2701800763607025,0.13947148621082306,0.2912366986274719,0.45023298263549805,0.2575702369213104,0.2679378092288971,0.2912366986274719,0.2721604108810425,0.07547862827777863
because,0.46729007363319397,0.3086837828159332,0.5166091918945312,0.2364923506975174,0.44596394896507263,0.26247498393058777,0.37844476103782654,0.4075504541397095,0.44596394896507263,0.3994849920272827,0.2528740465641022
it,0.45803478360176086,0.21008102595806122,0.513711154460907,0.17308950424194336,0.6251175999641418,0.28257519006729126,0.22021424770355225,0.38761502504348755,0.6251175999641418,0.20349231362342834,0.25732165575027466
helps,0.2570236623287201,1.0,0.39761608839035034,0.2527659237384796,0.28157877922058105,0.2084502875804901,0.49123600125312805,0.22412827610969543,0.28157877922058105,0.2527383863925934,0.20885655283927917
to,0.455847829580307,0.39761608839035034,1.0,0.26666295528411865,0.535392165184021,0.24733573198318481,0.401883065700531,0.41548454761505127,0.535392165184021,0.2869894206523895,0.29463258385658264
unleash,0.23299242556095123,0.2527659237384796,0.26666295528411865,1.0000001192092896,0.25369909405708313,0.17587780952453613,0.28971248865127563,0.1857982873916626,0.25369909405708313,0.0667506605386734,0.2690928876399994
the,0.42745697498321533,0.28157877922058105,0.535392165184021,0.25369909405708313,1.0,0.22987580299377441,0.24997951090335846,0.733189046382904,1.0,0.21093174815177917,0.22068053483963013
productive,0.3203616142272949,0.22801175713539124,0.29002779722213745,0.13739581406116486,0.22455596923828125,0.7851808071136475,0.32288867235183716,0.19651472568511963,0.22455596923828125,0.28184929490089417,0.30353474617004395
potential,0.27308183908462524,0.3453369140625,0.3595958650112152,0.22017022967338562,0.27955570816993713,0.3964247405529022,0.4365708529949188,0.2684917747974396,0.27955570816993713,0.24499809741973877,0.20122039318084717
of,0.33290785551071167,0.22412827610969543,0.41548454761505127,0.1857982873916626,0.733189046382904,0.2269303798675537,0.21105368435382843,1.0,0.733189046382904,0.23458099365234375,0.1826142966747284
the,0.42745697498321533,0.28157877922058105,0.535392165184021,0.25369909405708313,1.0,0.22987580299377441,0.24997951090335846,0.733189046382904,1.0,0.21093174815177917,0.22068053483963013
poor,0.2570318877696991,0.2527383863925934,0.2869894206523895,0.0667506605386734,0.21093174815177917,0.24956996738910675,0.2160874456167221,0.23458099365234375,0.21093174815177917,1.0,0.12937016785144806
.,0.3567904531955719,0.24475505948066711,0.4645031690597534,0.22518719732761383,0.5934505462646484,0.2515305280685425,0.22488819062709808,0.5352458953857422,0.5934505462646484,0.2311597615480423,0.4130953550338745
