,many,organizations,have,recently,called,for,broader,acceptance,of,which,community,?
additionally,0.36873558163642883,0.21838046610355377,0.40886929631233215,0.3856604993343353,0.21641530096530914,0.40722236037254333,0.343728631734848,0.20210278034210205,0.2477567195892334,0.4309332072734833,0.19742317497730255,0.24129506945610046
",",0.40610817074775696,0.21690145134925842,0.3541618287563324,0.3094431459903717,0.26549121737480164,0.4464869201183319,0.29634571075439453,0.2508276104927063,0.4946078956127167,0.3658004403114319,0.2761111557483673,0.31091248989105225
many,0.9999999403953552,0.3596455752849579,0.5841760635375977,0.42942729592323303,0.3552800714969635,0.40972793102264404,0.2591603398323059,0.17142987251281738,0.37253960967063904,0.5168171525001526,0.2554699182510376,0.2124512493610382
organizations,0.3596455752849579,1.0,0.29898571968078613,0.20146848261356354,0.21088913083076477,0.3069128394126892,0.2910105884075165,0.23877114057540894,0.24586479365825653,0.30137717723846436,0.34614574909210205,0.22215601801872253
",",0.40610817074775696,0.21690145134925842,0.3541618287563324,0.3094431459903717,0.26549121737480164,0.4464869201183319,0.29634571075439453,0.2508276104927063,0.4946078956127167,0.3658004403114319,0.2761111557483673,0.31091248989105225
conferences,0.2339240163564682,0.4192258417606354,0.28189629316329956,0.2297525554895401,0.17482326924800873,0.2596597671508789,0.26052626967430115,0.25199151039123535,0.22132393717765808,0.23433993756771088,0.26673030853271484,0.14015959203243256
",",0.40610817074775696,0.21690145134925842,0.3541618287563324,0.3094431459903717,0.26549121737480164,0.4464869201183319,0.29634571075439453,0.2508276104927063,0.4946078956127167,0.3658004403114319,0.2761111557483673,0.31091248989105225
and,0.5296266674995422,0.2811741828918457,0.4711785912513733,0.3316797614097595,0.3251761794090271,0.5064792633056641,0.27898213267326355,0.22937741875648499,0.5116966962814331,0.506277859210968,0.2756517827510834,0.20544172823429108
congregations,0.31751418113708496,0.45151573419570923,0.24291972815990448,0.14462357759475708,0.23803366720676422,0.20909547805786133,0.22314469516277313,0.2227381020784378,0.2844245731830597,0.2872367799282074,0.36637258529663086,0.18817296624183655
have,0.5841760635375977,0.29898571968078613,0.9999999403953552,0.536590039730072,0.34887513518333435,0.41175219416618347,0.34272515773773193,0.2117997407913208,0.3802283704280853,0.49652695655822754,0.26068314909935,0.32991164922714233
recently,0.42942729592323303,0.20146848261356354,0.536590039730072,0.9999998807907104,0.15163478255271912,0.35907360911369324,0.24104861915111542,0.2112167626619339,0.21953822672367096,0.36012446880340576,0.2851406931877136,0.18352322280406952
called,0.3552800714969635,0.21088913083076477,0.34887513518333435,0.15163478255271912,1.0,0.29870352149009705,0.18675661087036133,0.10710655152797699,0.4222904443740845,0.5573342442512512,0.1117333248257637,0.18963319063186646
for,0.40972793102264404,0.3069128394126892,0.41175219416618347,0.35907360911369324,0.29870352149009705,0.9999999403953552,0.22906894981861115,0.31476712226867676,0.4185989499092102,0.44095608592033386,0.24596118927001953,0.264628142118454
broader,0.2591603398323059,0.2910105884075165,0.34272515773773193,0.24104861915111542,0.18675661087036133,0.22906894981861115,1.0000001192092896,0.32354316115379333,0.271144837141037,0.3766825497150421,0.3086264133453369,0.31004589796066284
acceptance,0.17142987251281738,0.23877114057540894,0.2117997407913208,0.2112167626619339,0.10710655152797699,0.31476712226867676,0.32354316115379333,1.0000001192092896,0.20055295526981354,0.21980436146259308,0.30456236004829407,0.29332998394966125
of,0.37253960967063904,0.24586479365825653,0.3802283704280853,0.21953822672367096,0.4222904443740845,0.4185989499092102,0.271144837141037,0.20055295526981354,1.0,0.5011631846427917,0.2367410808801651,0.1826142966747284
the,0.4335206151008606,0.2850687503814697,0.40389683842658997,0.2774651348590851,0.489897221326828,0.4739971458911896,0.3188554048538208,0.19179219007492065,0.733189046382904,0.6521818041801453,0.2601400911808014,0.22068053483963013
lgbt,0.28488436341285706,0.3530859053134918,0.24432037770748138,0.13275572657585144,0.12470441311597824,0.1718437820672989,0.2824048697948456,0.31260946393013,0.21437877416610718,0.18769948184490204,0.3040086030960083,0.1972026824951172
community,0.2554699182510376,0.34614574909210205,0.26068314909935,0.2851406931877136,0.1117333248257637,0.24596118927001953,0.3086264133453369,0.30456236004829407,0.2367410808801651,0.2314024716615677,0.9999998807907104,0.2380419820547104
within,0.2613624930381775,0.2679230868816376,0.32346946001052856,0.20769236981868744,0.24071745574474335,0.3087334632873535,0.3515060544013977,0.23328769207000732,0.39594778418540955,0.43539655208587646,0.2614595592021942,0.1870293766260147
the,0.4335206151008606,0.2850687503814697,0.40389683842658997,0.2774651348590851,0.489897221326828,0.4739971458911896,0.3188554048538208,0.19179219007492065,0.733189046382904,0.6521818041801453,0.2601400911808014,0.22068053483963013
umc,0.18203456699848175,0.29691338539123535,0.26201900839805603,0.251689076423645,0.22966033220291138,0.20637543499469757,0.182230606675148,0.20595501363277435,0.18128293752670288,0.22190320491790771,0.2822507917881012,0.2609967589378357
.,0.3974229395389557,0.2218165397644043,0.41614407300949097,0.2900089621543884,0.300344854593277,0.4726039469242096,0.2226323038339615,0.2151331901550293,0.5352458953857422,0.45942068099975586,0.2594514787197113,0.4130953550338745
