,what,class,of,ships,is,an,example,of,large,passenger,liners,?
this,0.5489566326141357,0.23250019550323486,0.45148900151252747,0.20979198813438416,0.480927973985672,0.41881775856018066,0.4614826440811157,0.45148900151252747,0.3440819978713989,0.1798902004957199,0.330524742603302,0.3155723512172699
made,0.23419176042079926,0.0702376663684845,0.33167365193367004,0.2058771550655365,0.29543453454971313,0.2376096546649933,0.22777177393436432,0.33167365193367004,0.19187776744365692,0.10402384400367737,0.2381243109703064,0.17218779027462006
the,0.42745697498321533,0.18034407496452332,0.733189046382904,0.279244989156723,0.5823672413825989,0.4207492768764496,0.3755223751068115,0.733189046382904,0.3828733265399933,0.22676396369934082,0.21686457097530365,0.22068053483963013
4-cylinder,0.1007780060172081,0.14406079053878784,0.18113386631011963,0.20477159321308136,0.21404007077217102,0.19944660365581512,0.2365846186876297,0.18113386631011963,0.24579399824142456,0.23630739748477936,0.24449026584625244,0.1297142207622528
triple-expansion,0.2918427288532257,0.14177830517292023,0.2892477214336395,0.22638802230358124,0.2270662486553192,0.17423251271247864,0.2979637682437897,0.2892477214336395,0.29179006814956665,0.21279841661453247,0.2036338448524475,0.20721246302127838
engine,0.18463268876075745,0.1652061492204666,0.17095594108104706,0.1964113414287567,0.18856970965862274,0.18337401747703552,0.17986296117305756,0.17095594108104706,0.18553940951824188,0.3695234954357147,0.19251348078250885,0.17739196121692657
popular,0.186283677816391,0.1049998328089714,0.25281813740730286,0.12982091307640076,0.30144429206848145,0.17249290645122528,0.2016495317220688,0.25281813740730286,0.21094873547554016,0.15506428480148315,0.15763555467128754,0.13108457624912262
with,0.2464839518070221,0.17964689433574677,0.41827285289764404,0.1974010020494461,0.3250955045223236,0.2730048894882202,0.3082926869392395,0.41827285289764404,0.26124298572540283,0.20213325321674347,0.20261727273464203,0.2433311939239502
large,0.2017821967601776,0.17963100969791412,0.3569655418395996,0.2727562189102173,0.2971126437187195,0.25319868326187134,0.30934280157089233,0.3569655418395996,1.0000001192092896,0.163951575756073,0.21997685730457306,0.1355665624141693
passenger,0.1339142620563507,0.2384994924068451,0.19113630056381226,0.41684022545814514,0.19047372043132782,0.2021995633840561,0.1322617381811142,0.19113630056381226,0.163951575756073,1.0,0.3269656300544739,0.13056927919387817
liners,0.2631974518299103,0.19147922098636627,0.17677165567874908,0.4102798104286194,0.18755260109901428,0.10041440278291702,0.22975285351276398,0.17677165567874908,0.21997685730457306,0.3269656300544739,1.0,0.25179335474967957
