,what,is,the,name,of,another,type,of,modern,primality,test,?
modern,0.2655639946460724,0.24170172214508057,0.3283970355987549,0.17239713668823242,0.3482828736305237,0.17396774888038635,0.19044294953346252,0.3482828736305237,0.9999999403953552,0.22611944377422333,0.10214212536811829,0.12475407868623734
primality,0.2850114405155182,0.24844646453857422,0.25188151001930237,0.1399572342634201,0.28515246510505676,0.23624685406684875,0.19296477735042572,0.28515246510505676,0.22611944377422333,1.0,0.32035455107688904,0.24305593967437744
tests,0.28057941794395447,0.19474288821220398,0.24070581793785095,0.1125551238656044,0.20151495933532715,0.21711057424545288,0.25589218735694885,0.20151495933532715,0.16700369119644165,0.3223152756690979,0.7725468277931213,0.18650490045547485
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.25737348198890686,0.4185989499092102,0.36770403385162354,0.20848464965820312,0.4185989499092102,0.22431503236293793,0.2394213080406189,0.2297848016023636,0.264628142118454
general,0.24928055703639984,0.20144300162792206,0.28634732961654663,0.12844601273536682,0.28352999687194824,0.19686520099639893,0.10404401272535324,0.28352999687194824,0.10259630531072617,0.20099611580371857,0.148268923163414,0.1972234547138214
numbers,0.24586999416351318,0.19465886056423187,0.293011337518692,0.1817430555820465,0.228018656373024,0.25528380274772644,0.1971423625946045,0.228018656373024,0.18817472457885742,0.33137062191963196,0.15689226984977722,0.19297972321510315
n,0.16510315239429474,0.2254602462053299,0.18813885748386383,0.14595149457454681,0.18925218284130096,0.22666491568088531,0.15306822955608368,0.18925218284130096,0.11631318181753159,0.19567985832691193,0.20229095220565796,0.19161871075630188
can,0.34502777457237244,0.44256699085235596,0.312528520822525,0.1310177892446518,0.2603091299533844,0.3920363187789917,0.33094167709350586,0.2603091299533844,0.16479086875915527,0.2570280134677887,0.26913270354270935,0.3226337134838104
be,0.3929833769798279,0.4819129705429077,0.4248143136501312,0.19639723002910614,0.33904364705085754,0.42243969440460205,0.25716274976730347,0.33904364705085754,0.2118767350912094,0.23992806673049927,0.25003713369369507,0.3324260413646698
divided,0.2138991504907608,0.2042115330696106,0.34601110219955444,0.12169192731380463,0.37450557947158813,0.1759050041437149,0.08480475097894669,0.37450557947158813,0.2001308649778366,0.21693161129951477,0.08352134376764297,0.10190024226903915
into,0.2180619090795517,0.2619607150554657,0.39493247866630554,0.19626246392726898,0.32255905866622925,0.3257308304309845,0.14269600808620453,0.32255905866622925,0.19603824615478516,0.05844903737306595,0.15228073298931122,0.15662476420402527
two,0.23363454639911652,0.2315155267715454,0.43858039379119873,0.18348293006420135,0.37726253271102905,0.39954787492752075,0.14017313718795776,0.37726253271102905,0.2429143786430359,0.17501188814640045,0.13729165494441986,0.19645625352859497
main,0.2344268560409546,0.3009335994720459,0.38631999492645264,0.19928081333637238,0.3177044689655304,0.3640994429588318,0.19361430406570435,0.3177044689655304,0.202540323138237,0.140470951795578,0.16412128508090973,0.1665669083595276
classes,0.20746955275535583,0.13611210882663727,0.21469499170780182,0.06453651189804077,0.19099700450897217,0.20119836926460266,0.29090338945388794,0.19099700450897217,0.21086809039115906,0.20035412907600403,0.2148708999156952,0.14397528767585754
