,what,is,kenya,known,for,?
kenya,0.18398970365524292,0.17591087520122528,1.0,0.15456128120422363,0.22047242522239685,0.17197901010513306
is,0.28837618231773376,1.0,0.17591087520122528,0.41921812295913696,0.43268078565597534,0.22961433231830597
known,0.20381177961826324,0.41921812295913696,0.15456128120422363,1.0,0.363901823759079,0.18314571678638458
for,0.3017193675041199,0.43268078565597534,0.22047242522239685,0.363901823759079,0.9999999403953552,0.264628142118454
its,0.30393704771995544,0.4447362422943115,0.1375100165605545,0.31007078289985657,0.2992613911628723,0.15103481709957123
safaris,0.1822296530008316,0.14199335873126984,0.30304548144340515,0.20366637408733368,0.18903599679470062,0.2065168023109436
",",0.3087472915649414,0.4691906273365021,0.23432263731956482,0.3604377806186676,0.4464869201183319,0.31091248989105225
diverse,0.18528151512145996,0.228860005736351,0.2247001826763153,0.20441611111164093,0.1341170221567154,0.07389035075902939
climate,0.2854173183441162,0.26601269841194153,0.18503479659557343,0.1772458255290985,0.17355333268642426,0.19998492300510406
and,0.31309178471565247,0.3859752118587494,0.20742860436439514,0.3468935489654541,0.5064792633056641,0.20544172823429108
geography,0.28860387206077576,0.15174520015716553,0.20285163819789886,0.052961740642786026,0.17782731354236603,0.17832398414611816
",",0.3087472915649414,0.4691906273365021,0.23432263731956482,0.3604377806186676,0.4464869201183319,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.20742860436439514,0.3468935489654541,0.5064792633056641,0.20544172823429108
expansive,0.2689482569694519,0.2485935091972351,0.06534957140684128,0.1941291242837906,0.2534904181957245,0.16035804152488708
wildlife,0.19508853554725647,0.22846674919128418,0.28260818123817444,0.1532592922449112,0.2147459089756012,0.1283717304468155
reserves,0.16934223473072052,0.29675084352493286,0.239606112241745,0.18236808478832245,0.29156917333602905,0.09854976832866669
and,0.31309178471565247,0.3859752118587494,0.20742860436439514,0.3468935489654541,0.5064792633056641,0.20544172823429108
national,0.16882304847240448,0.23413582146167755,0.3120550811290741,0.17896312475204468,0.36267757415771484,0.15643028914928436
parks,0.1465490311384201,0.21400870382785797,0.29157909750938416,0.14854104816913605,0.26236870884895325,0.18846100568771362
such,0.23989605903625488,0.23545363545417786,0.17453786730766296,0.30818676948547363,0.36098620295524597,0.17851735651493073
as,0.31749409437179565,0.43216490745544434,0.18995212018489838,0.4815765619277954,0.44774648547172546,0.27043893933296204
the,0.42745697498321533,0.5823672413825989,0.21657514572143555,0.3624623417854309,0.4739971458911896,0.22068053483963013
east,0.19840149581432343,0.2596127688884735,0.2637212574481964,0.21003270149230957,0.20268000662326813,0.10070597380399704
and,0.31309178471565247,0.3859752118587494,0.20742860436439514,0.3468935489654541,0.5064792633056641,0.20544172823429108
west,0.1946573108434677,0.25201764702796936,0.22446927428245544,0.2015669196844101,0.17698325216770172,0.12088293582201004
tsavo,0.18646658957004547,0.20055001974105835,0.3091842830181122,0.19675205647945404,0.13994139432907104,0.2354823648929596
national,0.16882304847240448,0.23413582146167755,0.3120550811290741,0.17896312475204468,0.36267757415771484,0.15643028914928436
park,0.13500720262527466,0.2076987773180008,0.22821000218391418,0.15700466930866241,0.157673642039299,0.13508929312229156
",",0.3087472915649414,0.4691906273365021,0.23432263731956482,0.3604377806186676,0.4464869201183319,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,0.21657514572143555,0.3624623417854309,0.4739971458911896,0.22068053483963013
maasai,0.1718689650297165,0.17352348566055298,0.4612047076225281,0.2006676346063614,0.16849583387374878,0.15750250220298767
mara,0.13444402813911438,0.1460689753293991,0.31841954588890076,0.14788822829723358,0.14695273339748383,0.10502629727125168
",",0.3087472915649414,0.4691906273365021,0.23432263731956482,0.3604377806186676,0.4464869201183319,0.31091248989105225
lake,0.17778855562210083,0.22300897538661957,0.2589239776134491,0.12492307275533676,0.1457349956035614,0.07226386666297913
nakuru,0.22103124856948853,0.23336161673069,0.3709718585014343,0.2355947345495224,0.24626027047634125,0.2026929259300232
national,0.16882304847240448,0.23413582146167755,0.3120550811290741,0.17896312475204468,0.36267757415771484,0.15643028914928436
park,0.13500720262527466,0.2076987773180008,0.22821000218391418,0.15700466930866241,0.157673642039299,0.13508929312229156
",",0.3087472915649414,0.4691906273365021,0.23432263731956482,0.3604377806186676,0.4464869201183319,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.20742860436439514,0.3468935489654541,0.5064792633056641,0.20544172823429108
aberdares,0.16005001962184906,0.29611292481422424,0.34359151124954224,0.19779740273952484,0.22508935630321503,0.16188707947731018
national,0.16882304847240448,0.23413582146167755,0.3120550811290741,0.17896312475204468,0.36267757415771484,0.15643028914928436
park,0.13500720262527466,0.2076987773180008,0.22821000218391418,0.15700466930866241,0.157673642039299,0.13508929312229156
.,0.3567904531955719,0.4569662809371948,0.24234211444854736,0.283290296792984,0.4726039469242096,0.4130953550338745
