,what,was,the,name,of,the,first,huguenot,church,in,the,new,world,?
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.4127444326877594,0.26198551058769226,0.2493300437927246,1.0,0.6662389636039734,0.3758552670478821,0.3038199245929718,0.20430970191955566
1628,-0.27856943011283875,-0.14131560921669006,-0.1778489202260971,-0.20065072178840637,-0.10378311574459076,-0.1778489202260971,-0.2081708312034607,0.03126583993434906,-0.05140424519777298,-0.17665618658065796,-0.1778489202260971,-0.18273496627807617,-0.13536781072616577,-0.2901279926300049
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,1.0,0.49448907375335693,0.29557526111602783,0.23846197128295898,0.6662389636039734,1.0,0.3845241069793701,0.33604270219802856,0.22068053483963013
huguenots,0.22128188610076904,0.20650696754455566,0.30745792388916016,0.10512750595808029,0.27577435970306396,0.30745792388916016,0.17457492649555206,0.9459913372993469,0.3784845769405365,0.25916293263435364,0.30745792388916016,0.22766715288162231,0.20311762392520905,0.16010338068008423
established,0.14869536459445953,0.26515325903892517,0.33092597126960754,0.1540020853281021,0.2735237777233124,0.33092597126960754,0.2571922838687897,0.2207619845867157,0.21564553678035736,0.3118882477283478,0.33092597126960754,0.21703021228313446,0.1520475298166275,0.15917523205280304
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.26421117782592773,0.5052502155303955,0.5829201340675354,0.4287874400615692,0.22502337396144867,0.19588641822338104,0.539380669593811,0.5829201340675354,0.3214259147644043,0.22239887714385986,0.23916715383529663
congregation,0.16460371017456055,0.21125055849552155,0.2882172167301178,0.12236593663692474,0.28139111399650574,0.2882172167301178,0.11060278862714767,0.4121936857700348,0.613531768321991,0.21616820991039276,0.2882172167301178,0.1772744357585907,0.18776540458202362,0.1875634491443634
as,0.31749409437179565,0.3677520453929901,0.48381632566452026,0.2851914167404175,0.3886612355709076,0.48381632566452026,0.33842000365257263,0.15821954607963562,0.211966410279274,0.3887844979763031,0.48381632566452026,0.24585270881652832,0.22848254442214966,0.27043893933296204
l'église,0.19009260833263397,0.24278524518013,0.2895910143852234,0.20692208409309387,0.2907339930534363,0.2895910143852234,0.18041668832302094,0.5065169930458069,0.4454009234905243,0.2772943675518036,0.2895910143852234,0.16312511265277863,0.11326784640550613,0.236832395195961
française,0.1434035748243332,0.21164874732494354,0.2204832136631012,0.2201053947210312,0.1905551552772522,0.2204832136631012,0.21671275794506073,0.4510372281074524,0.21123960614204407,0.18075202405452728,0.2204832136631012,0.2231803834438324,0.24719718098640442,0.1806218922138214
